Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Inna Severenko,Methoden der Wimpernverlängerung,2014,,"1049,3",
Inno KAT Anlagentechnik GmbH,Ausbildung benachteiligter Jugendlicher/Landkreis Harz,2008,2009,2000,2000
"INNO-CON Innovation &#38;
Consulting Ltd.","Bulgarisch, Englisch, Russisch, Outlook, Word",2009,2012,7254,7254
Innospec Leuna GmbH,"Mitarbeiterqualifizierung Wirtschaftsenglisch/Quali-
RL/Saalekreis",2008,2013,"10978,46","10978,46"
"Innova Privat-Akademie Eisleben
GmbH",AO-006-08,2008,2013,"54702,03","54702,03"
"Innova Privat-Akademie Eisleben
GmbH",AO-068-09,2009,,"81174,78",
"Innova Privat-Akademie Eisleben
GmbH",AO-070-07,2007,2013,"111077,63","111077,63"
"Innova Privat-Akademie Eisleben
GmbH",AO-086-06,2008,2011,"31143,37","31143,37"
"Innova Privat-Akademie Eisleben
GmbH",AO-087-06,2008,2011,"16353,54","16353,54"
"Innova Privat-Akademie Eisleben
GmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen (PM)",2011,,"159328,89",
"Innova Privat-Akademie Eisleben
GmbH",Qualifizierung Strafgefangener in der JVA Volkstedt,2007,2011,"178775,59","178775,59"
"Innova Privat-Akademie GmbH & Co.
KG","Maßnahme der vertieften Berufsorientierung nach § 33 SGB
III (BRAFO) Los 21",2012,,"341199,01",
"Innovations- und Gründerzentrum
Altmarkkreis Salzwedel",Qualifizierung von Existenzgründern,2008,2010,"33106,97","33106,97"
"Innovations- und Gründerzentrum
Altmarkkreis Salzwedel","Qualifizierung, Betreuung und Begleitung von
Existenzgründern",2010,2012,"103033,57","103033,57"
"Innovations- und Gründerzentrum BIC
Altmark GmbH","Durchführung von Qualifizierungsmaßnahmen im Landkreis
Stendal entsprechend der Richtlinie über die Gewährung von
Zuwendung an Personen zur Gründung einer selbstständigen
Existenz, zur Qualifizierung und Begleitung während der
Selbstständigkeit mit Mittel",2011,2013,"305664,32","305664,32"
"Innovations- und Gründerzentrum BIC
Altmark GmbH","Durchführung von Qualifizierungsmaßnahmen im Landkreis
Stendal entsprechend der Richtlinie über die Gewährung von
Zuwendungen an Personen zur Gründung einer
selbstständigen Existenz, zur Qualifizierung und Begleitung
während der Selbstständigkeit mit Mitt",2013,,257625,
"Innovations- und Gründerzentrum BIC
Altmark GmbH","Durchführung von Qualifizierungsmaßnahmen im Landkreis
Stendal entsprechend der Richtlinie über die Gewährung von
Zuwendungen an Personen zur Gründung einer
selbstständigen Existenz, zur Qualifizierung und Begleitung
während der Selbstständigkeit mit Mitt",2011,,"275048,35",
"Innovations- und Gründerzentrum BIC
Altmark GmbH","Kontaktstelle  Fachkräftesicherung /FP LOK/Landkreis
Stendal",2010,2011,"9770,34","9770,34"
"Innovations- und Gründerzentrum BIC
Altmark GmbH",Qualifizierung von Existenzgründer/innen,2010,2013,"272193,84","272193,84"
"Innovations- und Gründerzentrum BIC
Altmark GmbH",Qualifizierung von Existenzgründern,2008,2012,"148644,51","148644,51"
"Innovations- und Gründerzentrum im
Landkreis Harz GmbH","Im Rahmen der Qualifizierung sollen Selbständige fachlich
begleitet und qualifiziert werden, um die Nachhaltigkeit der
Existenzgründung zu stärken. Die Durchführung der
Qualifizierung erfolgt in Gruppenseminaren. Hierdurch lassen
sich auch stärker Gründer",2010,2012,"243833,96","243833,96"
"Innovations- und Gründerzentrum im
Landkreis Harz GmbH","Im Rahmen der Qualifizierung sollen Selbständige fachlich
begleitet und qualifiziert werden, um die Nachhaltigkeit der
Existenzgründung zu stärken. Die Durchführung der
Qualifizierung erfolgt in Gruppenseminaren. Hierdurch lassen
sich auch stärker GründerQualifizierung erfolgt in Gruppenseminaren. Hierdurch lassen
sich auch stärker Gründer",2010,,"246629,18",
"Innovations- und Gründerzentrum im
Landkreis Harz GmbH","Im Rahmen der Qualifizierung sollen Selbständige fachlich
begleitet und qualifiziert werden, um die Nachhaltigkeit der
Existenzgründung zu stärken. Die Durchführung der
Qualifizierung erfolgt in Gruppenseminaren. Hierdurch lassen
sich auch stärker Gründer",2012,,"289752,7",
"Innovations- und Gründerzentrum im
Landkreis Harz GmbH","Im Rahmen der Qualifizierung sollen Selbständige fachlich
begleitet und qualifiziert werden, um die Nachhaltigkeit der
Existenzgründung zu stärken. Die Durchführung der
Qualifizierung erfolgt in Gruppenseminaren. Hierdurch lassen
sich auch stärker Gründer",2013,,"515250,36",
"Innovations- und Gründerzentrum im
Landkreis Harz GmbH",Qualifizierung von Existenzgründern,2008,2012,"146508,22","146508,22"
"Innovations- und Gründerzentrum
Magdeburg GmbH","Gewährung von Zuwendungen an Personen zur Gründung
einer selbstständigen Existenz zur Qualifizierung und
Begleitung während der Selbstständigkeit mit Mitteln des
ESF und des Landes Sachsen-Anhalt im Rahmen eines 4.
Projektes",2011,,"305727,28",
"Innovations- und Gründerzentrum
Magdeburg GmbH","Gewährung von Zuwendungen an Personen zur Gründung
einer selbstständigen Existenz zur Qualifizierung und
Begleitung während der Selbstständigkeit mit Mitteln des
ESF und des Landes Sachsen-Anhalt im Rahmen eines 4.
Projektes",2013,,"429375,3",
"Innovations- und Gründerzentrum
Magdeburg GmbH","Gewährung von Zuwendungen an Personen zur Gründung
einer selbständigen Existenz zur Qualifizierung und
Begleitung während der Selbständigkeit mit Mitteln des ESF
und des Landes Sachsen-Anhalt",2010,2012,"274539,17","274539,17"
"Innovations- und Gründerzentrum
Magdeburg GmbH",Qualifizierung von Existenzgründern,2008,2011,"146290,36","146290,36"
"INQUA Arbeitstherapeutische
Beschäftigungsgesellschaft
gemeinnützige GmbH",Face to Face/FP LOK/ Stadt Halle,2012,,"9625,16",
Insoft GmbH,EDV Qualifizierung MCSA MCSE MCTS,2009,2010,13461,13461
"Insolvenzverwaltung André
Schirrmeister","Qualifizierung in den Bereichen Einkommensteuer-
,Umsatzsteuer-, Bilanz- und Abgabenrecht",2010,,"3130,61",
Institut Braune GmbH,GAJL - Gegen Abwanderung junger Landeskinder,2009,,"150099,56",
"Institut f. Marktwirtschaft
gemeinnützige GmbH","Familiengerechte Vorbereitung für den Arbeitsmarkt/ FP
LOK/ Landeshauptstadt Magdeburg",2010,2011,9302,9302
"Institut f. Marktwirtschaft
gemeinnützige GmbH","Zukunft mit Arbeit in der Landeshauptstadt Magdeburg,
Nicolaiplatz 6 in 39124 Magdeburg und Dr. Grosz-Str. 1 in
39126 Magdeburg",2008,2013,"243348,86","243348,86"
"Institut fur Lacke und Farben e.V.
(iLF)","Deutsch als Fremdsprache, Business Englisch",2013,2014,"5118,75","5118,75"
"Institut für Alternative Betriebsführung
Dagmar Meinz + Partner GbR",Intensivsprachkurs Englisch,2013,2013,1960,1960
"Institut für Automatisierung und
Informatik GmbH",Innovationsassistent,2008,2010,"28515,65","28515,65"
"Institut für berufliche Bildung A.
Gesche",AO-020-08,2008,2014,"177130,9","177130,9"
"Institut für berufliche Bildung A.
Gesche",AO-053-07,2007,2013,"256669,51","256669,51"
"Institut für berufliche Bildung A.
Gesche",AO-145-06,2008,2011,"27163,65","27163,65"
"Institut für berufliche Bildung A.
Gesche",AO-146-06,2008,2011,"18632,03","18632,03"
"Institut für Berufliche Bildung
Annemarie Gesche",AO-006-09,2009,,"292240,66",
Institut für Berufliche Bildung GmbH,AO-013-06,2008,2011,"72136,28","72136,28"
Institut für Berufliche Bildung GmbH,AO-016-06,2008,2011,"3119,39","3119,39"
Institut für Berufliche Bildung GmbH,AO-022-07,2007,2013,"382745,89","382745,89"
Institut für Berufliche Bildung GmbH,AO-034-08,2008,2014,"185780,35","185780,35"
Institut für Berufliche Bildung GmbH,AO-038-09,2009,,"125392,94",
Institut für Berufliche Bildung GmbH,AO-062-06,2008,2011,"32266,9","32266,9"
Institut für Berufliche Bildung GmbH,AO-063-06,2008,2011,"8264,94","8264,94"
Institut für Berufliche Bildung GmbH,AO-067-08,2008,2014,"379490,02","379490,02"
Institut für Berufliche Bildung GmbH,AO-082-06,2008,2011,"44621,09","44621,09"
Institut für Berufliche Bildung GmbH,AO-095-07,2007,2013,"230540,4","230540,4"
Institut für Berufliche Bildung GmbH,AO-116-06,2008,2011,"26909,61","26909,61"
Institut für Berufliche Bildung GmbH,AO-117-06,2008,2011,"9141,18","9141,18"
Institut für Berufliche Bildung GmbH,GAJL - Gegen Abwanderung junger Landeskinder,2008,,"64082,2",
Institut für berufliche Bildung GmbH,Praktikumsmaßnahme für Zielgruppen,2009,,104831,
Institut für berufliche Bildung GmbH,"Praktikumsmaßnahme zur beruflichen Eingleiderung am
Arbeitsmarkt benachteiligter Personen",2008,2013,"116810,64","116810,64"
Institut für berufliche Bildung GmbH,"Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2009,2014,"110543,36","110543,36"
Institut für berufliche Bildung GmbH,"Projekt Bürgerarbeit Barleben, Beginn 15.02.2010 mit 23 TN,
Beginn 12.03.2010 mit 6 TN, Beginn 16.04.2010 mit 7 TN (in
Summe 36 TN) einheitliches Ende 14.02.2011",2010,2012,"429981,51","429981,51"
Institut für Berufspädagogik e. V.,Zertifikatsstudium Coaching (univ.),2013,,5640,
"Institut für Marketing &#38;
Management","Verbesserung der Therapiewilligkeit/Erwerbstätigkeit
suchtmittelabhängiger Hilfebedürftiger",2008,2009,9987,9987
"Institut für Marketing und
Management",Bürgerarbeit Oschersleben,2010,,656900,
Institut für Marktwirtschaft gGmbH,Berufliche Erprobung im Unternehmen,2014,,8640,
Institut für Marktwirtschaft gGmbH,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,15840,
"Institut für Sprachen und Wirtschaft
Dr. Hirsch GmbH","Unternehmensbezogener Personalpool - Service und
Vertrieb -",2010,,"278970,74",
"Institut für Wirtschafts- forschung
Halle e.V.","Wissenschaftliche Untersuchung zu Rahmenbedingungen
von Gründungen in Sachsen-Anhalt",2012,,"255362,47",
"INT - Ges. z. Förderung der Berufl. u.
soz. Integration GmbH","Schulsozialarbeit an der Förderschule ""Pestalozzi"" Halle",2012,,"119481,26",
"INT - Ges. z. Förderung der Berufl. u.
soz. Integration GmbH","Schulsozialarbeit Förderschule LB ""Jägerplatz"" Halle",2009,,"54548,29",
"INT - Ges. z. Förderung der Berufl. u.
soz. Integration GmbH","Schulsozialarbeit an der Förderschule ""Jägerplatz"" in Halle",2010,,"75015,97",
"INT-Ges. z. Förderung d. berufl. u.
soz. Integration mbH",UniWerk Magdeburg,2009,2014,"221839,34","221839,34"
"INT-Ges. z. Förderung d. berufl. u.
soz. Integration mbH",Willkommen um zu bleiben,2012,,"243919,47",
INTAR-Integration in Arbeit gGmbH,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"14101,81",
INTAR-Integration in Arbeit gGmbH,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"14588,94",
INTAR-Integration in Arbeit gGmbH,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"15154,59",
INTAR-Integration in Arbeit gGmbH,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"15154,59",
INTEGRA gGmbH Weißenfelser Land,Berufliche Erprobung im Unternehmen,2014,,"12007,8",
INTEGRA gGmbH Weißenfelser Land,Berufliche Erprobung im Unternehmen,2014,,13860,
INTEGRA gGmbH Weißenfelser Land,Berufliche Erprobung im Unternehmen,2014,,15840,
INTEGRA gGmbH Weißenfelser Land,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"13491,79",
integral systemtechnik GmbH,AEIS1; AEG2; Textwerkstatt I und II,2014,,"6373,63",
integral systemtechnik GmbH,"Anlagenverwaltung, Kostenrechnung, Finanzwesen und
Controlling",2012,2013,"2166,05","2166,05"
integral systemtechnik GmbH,"Delta Anwendungsentwicklung, DeMaS 2.0, INWB/ESB,
proAlpha V6.1",2013,2014,"11167,27","11167,27"
integral systemtechnik GmbH,"Entgeltabrechnung, RedHat und VMware vSphere 5",2012,2014,"5839,91","5839,91"
integral systemtechnik GmbH,Entwicklungsseminare AE 1-2 proAlpha,2012,,"2154,17",
integral systemtechnik GmbH,"Fertigungssteuerung, Materialwirtschaft und Produktion",2012,,"3224,36",
integral systemtechnik GmbH,Qualifizie rung der isM  2008,2008,2011,"55381,01","55381,01"
integral systemtechnik GmbH,"Software-Schulungen AEG1, AEG2, AE4, INBW, MCSE,
MCSA, VOS, VSTS, K2; Englisch",2013,,52110,
integral systemtechnik GmbH,Softwareschulung ProAlpha,2014,,"18259,44",
integral systemtechnik GmbH,VMware vSphere 4.1 und K4 DMS-Konfiguration,2011,,"3449,15",
intelli engeneering GmbH,"Qualifizierung in den Bereichen CATIA V 5, Elektrische
Antriebe und Mitarbeiterführung",2010,,30731,
"intema Industrietextilverarbeitung
GmbH",Fachtraining Englisch,2012,2014,13140,13140
Interact Tele Service AG,"Kundenservice, Schamhorststr., Stendal/FP-LOK",2009,2010,"6211,92","6211,92"
"Interessen- und Förderverein
""Geiseltalsee"" e.V.","Erarbeitung und Koordination neuer touristischer Angebote
am Geiseltalsee/ FP LOK/ Saalekreis",2010,2012,"8572,56","8572,56"
"Interessen- und Förderverein
Wiederaufbau Kirche Beuna e. V.","Nutzungskonzeption Gemeindezentrum
Hoppenhauptkirche/FP LOK/Landkreis Saalekreis",2012,2014,"4072,62","4072,62"
"Interessengemeinschaft Bildung
Leuna-Merseburg e.V.",AO-012-06,2008,2011,"7011,52","7011,52"
"Interessengemeinschaft Bildung
Leuna-Merseburg e.V.",AO-106-07,2007,2013,"565866,64","565866,64"
"Interessengemeinschaft Bildung
Leuna-Merseburg e.V.",AO-107-06,2008,2011,"56433,81","56433,81"
"Interessengemeinschaft Waldheil e.
V.","Schaffung einer Konzeption zum Erwerb, zur Restaurierung
und zur Umnutzung der ehemaligen Gaststätte ""Waldheil"" im
Ortsteil Lieskau der Gemeinde Sazatal/ FP LOK/ Saalekreis",2010,2011,"8410,34","8410,34"
"Interessenverein ""Sternreiten in der
Altmark"" e. V.",Erarbeitung Wanderrittheft/FP LOK/ Landkreis Stendal,2009,2011,"9834,68","9834,68"
"International Academy of Media and
Arts e.V.",European Animation Programm 2008 (EAP),2008,,"100408,07",
"International Academy of Media and
Arts e.V.","Leadership Master Class for European Media Executives
(LMC) 2008",2009,2009,"43365,65","43365,65"
International Sweet Trading e.K.,"Office Line Evolution - Warenwirtschft, Grundlagen, Lager,
OP-Verwaltung; Rechnungswesen, Grundlagen",2013,,"38499,3",
International Sweet Trading e.K.,Warenursprung und Präferenzen,2012,,"1966,92",
"Internationale
Jugendgemeinschaftsdienste","Durchführung FÖJ vom 01.09.2008 bis 31.08.2009 - 32
Plätze ESF",2008,,"232610,61",
"Internationale
Jugendgemeinschaftsdienste","Durchführung FÖJ vom 01.09.2009 bis 31.08.2010 - 32
Plätze ESF",2009,,"231422,51",
"Internationale
Jugendgemeinschaftsdienste","Durchführung FÖJ vom 01.09.2010 bis 31.08.2010 - 19
Zusatz-Plätze ESF",2010,2012,"90523,04","90523,04"
"Internationale
Jugendgemeinschaftsdienste","Durchführung FÖJ vom 01.09.2010 bis 31.08.2011 - 32
Plätze ESF",2010,2012,"217895,57","217895,57"
"Internationale
Jugendgemeinschaftsdienste","Durchführung des FÖJ vom 01.08.2011 bis 31.08.2012 - 32
FÖJ Plätze ESF",2011,2013,"234705,43","234705,43"
"Internationale
Jugendgemeinschaftsdienste","Durchführung des FÖJ vom 01.09.2013 bis 31.08.2014 - 81
FÖJ-Plätze",2013,,349253,
"Internationale
Jugendgemeinschaftsdienste","Durchführung des FÖJ vom 01.09.2014 bis 31.08.2015 für 81
Teilnehmer",2014,,661932,
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2007/2008,2007,,"310130,38",
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2008/2009,2008,,"233928,88",
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2010/ 2011,2010,,"157986,83",
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2011/2012,2011,,"122319,19",
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2012/2013,2012,2014,"110209,21","110209,21"
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2013/2014,2013,,134400,
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr 2014/2015,2014,,129600,
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr im kulturellen Bereich / Denkmal,2014,,48000,
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr im politischen Leben 2012/2013,2012,2014,"97818,92","97818,92"
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr im politischen Leben 2013/2014,2013,,114816,
"Internationale
Jugendgemeinschaftsdienste",Freiwilliges Soziales Jahr im politischen Leben 2014/2015,2014,,113568,
"Internationale
Jugendgemeinschaftsdienste","Freiwilliges Soziales Jahr in der Denkmalpflege 2013/2014
2013/2014",2013,,72000,
"Internationaler Bund  Jugendhilfe- u.
Ausbildungsverbund",AO-057-08,2008,2013,"126654,64","126654,64"
"Internationaler Bund  Jugendhilfe- u.
Ausbildungsverbund",AO-058-07,2007,2013,"120018,08","120018,08"
"Internationaler Bund  Jugendhilfe- u.
Ausbildungsverbund","Errichtung eines zusätzlichen Volleyballplatzes, einer
Kletterwand und einer Feuerstelle auf dem Gelände des
Soziokulturellen Zentrums Pferdestall",2008,2009,"9274,97","9274,97"
"Internationaler Bund  Jugendhilfe- u.
Ausbildungsverbund","Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in der Kindertagesstätte Bienchen OT
Apollensforf",2012,,5000,
"Internationaler Bund - IB Mitte
gGmbH für Bildung und soziale
Dienste",Berufliche Erprobung im Unternehmen,2014,,"10978,56",
Internationaler Bund e. V.,"Förderung von Projekten zur Verbesserung der
vorschulischen Bildung durch Qualifizierung des
Betreuungspersonals",2010,,3500,
Internationaler Bund e. V.,"Förderung von Projekten zur Verbesserung der
vorschulischen Bildung durch Qualifizierung des
Betreuungspersonals",2010,,3535,
Internationaler Bund e. V.,"Projekt zur Förderung der vorschulischen Bildung durch
Qualifizierung des Betreuungspersonals",2010,,3535,
Internationaler Bund e. V.,"Projekt zur Verbesserung der vorschulischen Bildung durch
Qualifizierung des Betreuungspersonals",2010,,1435,
Internationaler Bund e. V.,"Projekt zur Verbesserung der vorschulischen Bildung durch
Qualifizierung des Betreuungspersonals",2010,,3500,
Internationaler Bund e. V.,"Projekt zur Verbesserung der vorschulischen Bildung durch
Qualifizierung des Betreuungspersonals",2010,,3535,
Internationaler Bund e.V.,"Bedarfsorientierte Schulsozialarbeit an der Berufsbildenden
Schule I ""Eike von Repgow"" in Magdeburg",2013,,"94466,63",
Internationaler Bund e.V.,"Bedarfsorientierte Schulsozialarbeit an der Sekundarschule
""Werner Seelenbinder"" in Zielitz""Wilhelm Wundt"" in Tangerhütte",2013,,"112768,6",
Internationaler Bund e.V.,"Bildungsbezogenes Angebot Theaterstück zur
Gewaltprävention""Und dann kam Alex"" an der
Sekundarschule ""Am Weinberg""Havelberg",2010,2012,555,555
Internationaler Bund e.V.,"Familienwerkstatt - zur Verbesserung der wirtschaftlichen,
sozialen und netzwerkbezogenen Lebenslagen von
Bedarfsgemeinschaften in der Stadt Magdeburg",2012,,"532024,4",
Internationaler Bund e.V.,"Projekt zur Qualifizierung des pädagog.Betreuungspersonals
in Kitas",2010,,"1434,99",
Internationaler Bund e.V.,"Projekt zur Qualifizierung des pädagog.Betreuungspersonals
in Kitas",2010,,3500,
Internationaler Bund e.V.,"Projekt zur Qualifizierung des pädagog.Betreuungspersonals
in Kitas",2010,,3500,
Internationaler Bund e.V.,"Projekt zur Qualifizierung des pädagog.Betreuungspersonals
in Kitas",2010,,3535,
Internationaler Bund e.V.,"Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in Kitas",2010,,3535,
Internationaler Bund e.V.,"Schulsozialarbeit an der Berufsbildenden Schule ""Hermann
Beims"" in Magdeburg",2012,,"144558,7",
Internationaler Bund e.V.,"Schulsozialarbeit an der Berufsbildenden Schule II H. Beims
in Magdeburg",2009,2012,"37439,31","37439,31"
Internationaler Bund e.V.,"Schulsozialarbeit an der Berufsbildenden Schule II Hermann
Beims in Magdeburg",2010,2014,"77040,39","77040,39"
Internationaler Bund e.V.,"Schulsozialarbeit an der Integrierten Gesamtschule ""Willy
Brandt"" Magdeburg",2009,2012,"88050,34","88050,34"
Internationaler Bund e.V.,"Schulsozialarbeit an der Integrierten Gesamtschule ""Willy
Brandt"" in Magdeburg",2012,,"222343,21",
Internationaler Bund e.V.,"Schulsozialarbeit an der Integrierten Gesamtschule Willy
Brandt in Magdeburg",2010,2013,"133908,91","133908,91"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""A. S. Puschkin"" in
Oschersleben",2012,,"113301,25",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""A.S. Puschkin""
Oschersleben",2009,,"50145,1",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Am Weinberg""
Havelberg",2009,2012,"47609,45","47609,45"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Am Weinberg"" in
Havelberg",2012,,"122317,45",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Comenius"" Stendal",2009,,"51274,97",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Hinrich Brunsberg""
Tangermünde",2009,,"50566,38",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Hinrich Brunsberg""
in Tangermünde",2012,,"122405,45",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""J. W. v. Goethe"" in
Magdeburg",2012,,"112832,63",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Johann Wolfgang
von Goethe"" Magdeburg",2009,,"51457,8",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Thomas Müntzer""
in Ausleben",2012,,"118431,32",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule A.S.Puschkin in
Oschersleben",2010,2014,"58109,19","58109,19"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule Am Weinberg in
Havelberg",2010,2014,"65161,18","65161,18"
Internationaler Bund e.V.,Schulsozialarbeit an der Sekundarschule Comenius Stendal,2012,,"110645,38",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule Comenius in
Stendal",2010,2014,"65613,39","65613,39"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule H. Brunsberg in
Tangermünde",2010,2014,"63125,86","63125,86"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule J.W.v.Goethe in
Magdeburg",2010,2014,"62834,9","62834,9"
Internationaler Bund e.V.,Schulsozialarbeit an der Sekundarschule Sülzetal,2009,,"28008,77",
Internationaler Bund e.V.,Schulsozialarbeit an der Sekundarschule Sülzetal,2012,,"114438,43",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule Thomas Müntzer
Ausleben",2009,2013,"45418,29","45418,29"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule Thomas Müntzer in
Ausleben",2010,2014,"65203,01","65203,01"
Internationaler Bund e.V.,"Schüler helfen Schülern. Sekundarschule ""Comenius in
Stendal",2013,,2500,
Internationaler Bund e.V.,"Bildungsbezogenes Angebot ""Schule als Staat- IGS als
Staat"" an der Integrierten Gesamtschule in Halle",2011,2014,"2408,14","2408,14"
Internationaler Bund e.V.,"Bildungsbezogenes Angebot: ""Zirkus- ein ganzheitliches
Erlebnis der besonderen Art: Kompetenztraining durch
Zirkusunterricht"" für die Klassen 6",2013,,4500,
Internationaler Bund e.V.,"Bildungsbezogenes Angebot:""Zirkus- ein erlebnisorientiertes
Angebot der besonderen Art"" für die Klassen 5",2013,,4500,
Internationaler Bund e.V.,Schulsozialarbeit an der IGS Halle,2009,,"58628,19",
Internationaler Bund e.V.,Schulsozialarbeit an der IGS Halle,2010,,"86531,41",
Internationaler Bund e.V.,Schulsozialarbeit an der Integrierten Gesamtschule Halle,2012,,"143487,66",
Internationaler Bund e.V.,Schulsozialarbeit an der Sekundarschuel Teutschenthal,2010,2014,"61148,35","61148,35"
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule ""Kastanienallee""
Halle",2013,,"60254,72",
Internationaler Bund e.V.,"Schulsozialarbeit an der Sekundarschule Kastanienallee in
Halle",2009,2013,"46689,01","46689,01"
Internationaler Bund e.V.,Schulsozialarbeit an der Sekundarschule Teutschenthal,2012,,"115216,04",
"Internationaler Bund GmbH, NL Nord",AO-018-08,2008,2014,"47336,94","47336,94"
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Du bist dran"" Theaterprojekt für Mobbing betroffene Schüler
an der Förderschule ""J.H.Pestalozzi"" in Staßfurt",2013,,4570,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Gemeinsam zum Schulerfolg durch Schülerpatenschaften""
an der Sekundarschule ""Harzgerode"" in Harzgerode",2013,,1150,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Gewaltfrei - Ein gewaltpräventives Projekt"" am
Förderzentrum ""Pestalozzischule"" in Aschersleben",2013,,4765,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Gewaltfrei - ein gewaltpräventives Projekt für Schülerinnen
und Schüler"" an der Berufsbildenden Schulen Aschersleben-
Staßfurt ""WEMA "" in Aschersleben",2013,,4880,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Gewaltfrei - ein präventives Projekt für Schülerinnen und
Schüler"" am Regionalen Förderzentrum Aschersleben
""Pestalozzischule"" in Aschersleben",2012,,4940,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Gewaltfrei"" ein präventives Projekt für Schülerinnen und
Schüler an der Sekundarschule ""Am Tierpark"" in Staßfurt",2013,,4820,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Hinaus ins Leben - aber sicher!"" an der Berufsbildende
Schulen des LK Harz ""J.P.C.Heinrich Mette"" in Quedlinburg",2013,,3621,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Hinaus ins Leben, aber sicher "" an der Berusbildende
Schulen LK Harz ""J.P.C. Heinrich Mette"" in Quedlinburg",2012,,4125,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""ICH BIN ICH; DU BIST DU UND WIR SIND WIR!"" an der
Berufsbildende Schulen Aschersleben - Staßfurt ""WEMA"" in
Aschersleben",2013,,4985,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Ich bin so wie ich bin! Na und? Was dagegen?"" an der
Berufsbildende Schulen  Aschersleben - Staßfurt ""WEMA"" in
Aschersleben",2013,,4007,
"Internationaler Bund IB Mitte gGmbH
für Bildung und soziale Dienste","""Projekt für Lehrerinnen und Lehrer - Umgang mit sozial
abweichendem und aggressiven Verhalten"" an der
Berufsbildende Schulen ""Geschw. Scholl"" in Halberstadt/OT
Langenstein",2012,,4520,
