NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Landkreis Lüchow-Dannenberg,"Besucherlenkungskonzept Nationale Naturlandschaften Elbtalaue-
Wendland",,2014,,440000
Landkreis Lüchow-Dannenberg,"Erstellung einer Netzstrukturplanung für den Bereich des Land-
kreises Lüchow-Dannenberg",2014,,"123112,64",
Landkreis Lüchow-Dannenberg,"Netzwerk für energetische Gebäudesanierung
Businessplanerstellung",,2014,,41650
Landkreis Lüchow-Dannenberg,"Tourismuskonzept Erlebnisregion Elbtalaue-Wendland und Flussland
schaft Elbe",,2013,,"87595,91"
Landkreis Lüneburg,"Errichtung eines Artenschutzzentrums (Arche Zentrum Neuhaus) am
Standort Neuhaus",,2014,,500000
Landkreis Lüneburg,"Erstellung einer Machbarkeitsstudie zum Breitbandausbau im Land-
kreis Lüneburg",2013,,"178723,72",
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU) im Landkreis Lüneburg",,2010,,"984457,65"
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU) im Landkreis Lüneburg",,2012,,734000
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen im
Landkreis Lüneburg",,2012,,707400
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen im
Landkreis Lüneburg",,2013,,852300
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen im
Landkreis Lüneburg",,2014,,451800
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen im
Landkreis Lüneburg",2013,,"469142,36",
Landkreis Osterholz,"Arbeitsgemeinschaft Technologie- und Innovationsförderung Elbe-
Weser Region (ArTIE)",,2013,,"1232814,78"
Landkreis Osterholz,"Ausstattung des Gebiets des Naturschutzgroßprojekts ""Hammenieder
ung"" als Teil des Natura 2000-Gebiets im Bereich Hammeniederung/",,2015,,260000
Landkreis Osterholz,"Ausstattung des Naturschutzgroßprojekts ""Hammeniederung"" mit
Aussichts- und Beobachtungseinrichtungen",,2011,,184000
Landkreis Osterholz,"Breitbandversorgung für die Gewerbebetriebe in der Gemeinde Wor-
pswede, OT Weyerdeelen",2013,,72051,
Landkreis Osterholz,Erweiterung der großen Kunstschau in Worpswede,,2012,,"3061853,1"
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",,2010,,"449767,18"
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",,2012,,"706530,33"
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",,2012,,"739248,86"
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",,2013,,"501029,09"
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",,2014,,"175340,96"
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",2013,,"335877,35",
Landkreis Osterholz,Herstellung einer Wegeverbindung,2014,,239000,
Landkreis Osterholz,Masterplan Worpswede - Umsetzung der Machbarkeitsstudie,2010,,5785965,
Landkreis Osterholz,Masterplan Worpswede (Machbarkeitsstudie),,2009,,"108693,38"
Landkreis Osterholz,"Planung und Errichtung eines Aussichtsturms im Bereich des
Naturschutzgroßprojekts ""Hammeniederung""",,2009,,104000
Landkreis Osterholz,"Umsetzung der Machbarkeitsstudie zum ""Masterplan Worpswede""",,2013,,"547882,95"
Landkreis Osterholz,Wissens- und Technologietransfer,,2009,,298896
Landkreis Osterholz,"Wissens- und Technologietransfer in den Landkreisen Celle,
Cuxhaven, Rotenburg (W), Stade, Uelzen und Osterholz",,2010,,224172
Landkreis Rotenburg (Wümme),NaturErlebnis Tister Bauernmoor,,2014,,"151687,63"
Landkreis Rotenburg (Wümme),"Richtlinie zur Förderung von Investitionen in kleinen und mitt leren
Unternehmen im Landkreis Rotenburg (Wümme)",,2014,,"695450,33"
Landkreis Rotenburg (Wümme),"Richtlinie zur Förderung von Investitionen in kleinen und mitt leren
Unternehmen im Landkreis Rotenburg (Wümme)",2013,,"981667,98",
Landkreis Rotenburg (Wümme),"Richtlinie zur Förderung von Investitionen in kleinen und mitt- leren
Unternehmen im Landkreis Rotenburg (Wümme)",,2013,,"731776,12"
Landkreis Rotenburg (Wümme),"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Rotenburg (Wümme)",,2010,,"1068239,51"
Landkreis Rotenburg (Wümme),"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Rotenburg (Wümme)",,2012,,492451
Landkreis Rotenburg (Wümme),"Technisch-planerische Beratung bei der Verbesserung der Breitban
dinfrastruktur im Landkreis Rotenburg (Wümme)",,2011,,"65082,76"
Landkreis Stade,"Informations-Faltplan Schwingewiesen und Barger Heide (Hansestadt
Stade) und Informations-Faltplan Auetal und Frankenm",2014,,24000,
Landkreis Stade,Kreisstraße Stade Süd zwischen B73 - L124,,2012,,16899000
Landkreis Stade,Moor-Wasser-Wald-Erlebnis - Konzeption,2014,,"17011,05",
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betrieb- lichen
Wettbewerbsfähigkeit und Beschäftigung KMU im LK Stade",,2010,,"574664,6"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2012,,664700
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2013,,"401901,93"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2014,,163125
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2015,,86200
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betrieblich en
Wettbewerbsfähigkeit und Beschäftigung KMU im Landkreis Stade",,2012,,"763152,42"
Landkreis Stade,Verbesserung der radtouristischen Infrastruktur im Landkreis Sta de,,2013,,"189365,54"
Landkreis Uelzen,"Beratungs- und Planungsleistungen für den Aufbau eines NGA-Netz
es im Landkreis Uelzen",2013,,176730,
Landkreis Uelzen,"Breitbandausbau in unterversorgten Gebieten des Landkreises
Uelzen - Bad Bodenteich",2014,,30433,
Landkreis Uelzen,"Breitbandausbau in unterversorgten Gebieten des Landkreises
Uelzen - Woltersburg und Pieperhöfen",2014,,108000,
Landkreis Uelzen,Breitbandausbau in unterversorgten Gebieten des LK Uelzen -Ebstorf,2014,,149295,
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im Land
kreis Uelzen",,2012,,"350776,67"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im
Landkreis Uelzen",,2010,,"1745531,18"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",,2013,,207902
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",2011,,237417,
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",,2014,,"109896,91"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",2013,,13600,
Landkreis Uelzen,Naturerlebnisradweg Ilmenau,,2010,,"326496,24"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle Plus",,2012,,"185500,9"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle Plus",,2013,,"177247,78"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle Plus",,2014,,"187124,75"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
KoordinierungsstellePlus",2013,,300000,
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle-Plus",,2011,,"171345,43"
Landkreis Verden,"Koordinierungsstelle Frauen und Wirtschaft im Landkreis Verden und
KoordinierungsstellePlus",,2013,,"176021,76"
Landkreis Verden,"Koordinierungsstelle und KoordinierungsstellePlus Frau und
Wirtschaft Landkreis Verden",,2009,,"164853,95"
Landkreis Verden,Qualitätsoffensive Weser-Radweg im Landkreis Verden,2013,,"136881,97",
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) im Landkreis Verden",,2012,,"292330,11"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Verden",,2010,,"942458,12"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",,2012,,"503079,89"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",,2013,,"394886,09"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",2013,,"872670,23",
Landkreis Verden Körperschaft des öff. Rechts,"usau
.reann ras ru
ur
.e r ee u.n ernemen
nu.",2013,,"140597,2",
Landmaschinenvertrieb Bennigsen GmbH,Errichtung einer neuen Betriebsstätte in 29576 Eppensen,2014,,445800,
Landschaftspflegeverband Wendland-Elbetal e.V.,"""Route der alten Obstsorten"" im Wendland",,2010,,134056
Landschaftspflegeverband Wendland-Elbetal e.V.,Route der alten Obstsorten - Phase 3,,2014,,"227984,59"
Landschaftspflegeverband Wendland-Elbetal e.V.,Route der alten Obstsorten im Wendland Phase 2,,2012,,"128998,61"
Landwirtschaftskammer Niedersachsen,"Modernisierung der Lehr- und Versuchsanstalt für Tierhaltung in
Echem",2012,,17156368,
LBAG Schmalenbrücke eG,Beratung zu Erstellung einer professionellen Internetpräsenz,,2014,,10000
LBM Maschinen- und Anlagenbau GmbH,Entwicklung und Bau einer Ankörnvorrichtung,2013,,78200,
LBM Maschinen- und Anlagenbau GmbH,"Kontinuierliche Druckluftbereitstellung für sich auf einer
geschlossenen Bahn bewegender Verbraucher",,2013,,"3814,92"
LBM Produktionsgesellschaft mbH,Erweiterung einer Betriebsstätte,,2011,,"178738,98"
Lebenshilfe Rotenburg-Verden gGmbH,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezielte Web-Marketing-Maßnahmen",,2014,,10000
Lebenshilfe Stade e.V.,Erweiterung und Erneuerung des Corporate Designs,,2013,,6600
Lehmann Rollstuhlrampen und Hebelifte,"Erstellung um Umsetzung eines komplexen Marketingkonzeptes für
die Wachstumsphase",,2008,,2800
Lemke Bau GmbH,Beratung und Konzeption einer neuen Internetpräsenz,,2013,,4000
Leuphana Universität Lüneburg,"Abbau von Bürokratie für KMU in der Konvergenzregion. Gründung
eines Netzwerkes und Etablierung eines Ampel-Modells",2014,,"52573,88",
Leuphana Universität Lüneburg,Aktivierte Pflanzenkohle aus Elbauen,2013,,"207788,49",
Leuphana Universität Lüneburg,"Analyse, Ausbau und Anwendung eines Konzepts zum
ressourcenorien tierten Verhandeln",2014,,"179660,12",
Leuphana Universität Lüneburg,Art and Civic Media (ACM): Kunst und Medien der Zivilgesell- schaft,2012,,"3459940,66",
Leuphana Universität Lüneburg,Betriebliche Großtagespflege,2012,,"196383,25",
Leuphana Universität Lüneburg,"Case Studies in der Leuphana Graduate und Leuphana Professional
School",2011,,"1038798,89",
Leuphana Universität Lüneburg,Einfach gute Pflege finden,,2014,,"189709,86"
Leuphana Universität Lüneburg,"EnERgioN - Erzeugung, Speicherung und Vermarktung von
Erneuerbar er Energie in der Region Nord",2012,,"1583574,72",
Leuphana Universität Lüneburg,"Entwicklung von Verfahren zur Quantifizierung und Bewertung von
NSO-Heterocyclen in Umweltproben",,2014,,"194211,7"
Leuphana Universität Lüneburg,Existenzgründungsprojekte Module A und B,2010,,"778973,22",
Leuphana Universität Lüneburg,"FeQuan-Sensorsystem zur Früherkennung von
Verockerungstendenzen",,2013,,"183801,06"
Leuphana Universität Lüneburg,"Gesund im Beruf - Prävention, Versorgung und Wiedereingliederung
bei berufsbedingter Erkrankung",2013,,"2829251,87",
Leuphana Universität Lüneburg,GET.ON - GesundheitsTraining.Online,2010,,"3051692,33",
Leuphana Universität Lüneburg,Grundversorgung 2.0,2012,,"3519613,25",
Leuphana Universität Lüneburg,"HeaLinGo - Research Centre for Health and Language Integrated
Gaming Online",2013,,"570633,51",
Leuphana Universität Lüneburg,"Hybrid Publishing Lab: Wissenschaftliche Kommunikation im digitalen
Zeitalter",2012,,"3367983,37",
Leuphana Universität Lüneburg,"IKT-Infrastruktur - Regionale Wissensdatenbank und Vernetzungs-
plattform",2010,,"2467132,67",
Leuphana Universität Lüneburg,Implementierung eines Leuphana Weiterbildungsmodells,2011,,"1730397,72",
Leuphana Universität Lüneburg,Landwirtschaftliche Biogas-Direktvermarktung,2012,,"184335,79",
Leuphana Universität Lüneburg,Leuphana College,2011,,"4855871,08",
Leuphana Universität Lüneburg,Leuphana Graduate School,2010,,"4876058,18",
Leuphana Universität Lüneburg,"Management-Modelle in der integrierten Versorgung - neue Ansätze
für chronische Erkrankungen",2012,,"2045125,98",
Leuphana Universität Lüneburg,"Modul A, Forschungsnetz",2011,,"432479,31",
Leuphana Universität Lüneburg,"Modul B, Innovations- und Transferverbünde",2012,,"3244281,46",
Leuphana Universität Lüneburg,Modul C Gründungswettbewerb,2011,,"1526561,26",
Leuphana Universität Lüneburg,"Moving Image Lab (MIL): Entwicklung und Erforschung von Bewegt-
bild-Formaten",2010,,"4216154,05",
Leuphana Universität Lüneburg,"Nachhaltige Beschaffung in Städten und Gemeinden - Herausforderu
ngen und Gestaltungsoptionen für KMU, Verwaltung und Kammern",2013,,"95609,98",
Leuphana Universität Lüneburg,"Nachhaltigkeitsorientierte Geschäftsmodellbewertung - Sustainabi lity-
Oriented Business Model Assessment (SUST-BMA)",2014,,"201101,65",
Leuphana Universität Lüneburg,"One Lüneburg - Entwicklung eines nachhaltigen Quartiers in der
Hansestadt Lüneburg",2012,,"181545,78",
Leuphana Universität Lüneburg,Operations Excellence für kleine und mittlere Unternehmen,,2012,,"170677,66"
Leuphana Universität Lüneburg,Plattform für nachhaltige Biokerosinproduktion,2010,,"2626036,94",
Leuphana Universität Lüneburg,Programmentwicklung für den Aufbau eines Fahrsimulationszentrums,,2013,,"146274,27"
Leuphana Universität Lüneburg,Projektabwicklung und -administration,2010,,"3554942,13",
Leuphana Universität Lüneburg,Projekte mit der Kreativitätswirtschaft,2011,,"1953654,03",
Leuphana Universität Lüneburg,Regionale Vernetzung,2011,,"2084644,62",
Leuphana Universität Lüneburg,"Schlüsselfaktor Ressourceneffizienz - ein Prüfsystem für KMU zur
Verbesserung der Vollzugsfähigkeit von Umweltgesetzen",,2013,,"178453,55"
Leuphana Universität Lüneburg,"SEM-A2: SEM Account Aggregation - ein Verfahren zur Optimierung
der Suchmaschinenwerbung in KMU",,2014,,"173108,58"
Leuphana Universität Lüneburg,Thermische Batterie,2011,,"2193045,59",
Leuphana Universität Lüneburg,"TM 5.2 Neubau eines Zentralgebäudes inkl. Bau- und Forschungsin
frastruktur",2012,,13995600,
Leuphana Universität Lüneburg,"Transfer- und Innovationsassistenten, Modul A & B",2010,,"2325733,87",
Leuphana Universität Lüneburg,Vernetzte Versorgung für psychisch erkrankte Menschen,2011,,"5066901,47",
Leuphana Universität Lüneburg,Vorbereitende und koordinierende Maßnahmen Kompetenztandems,2011,,"1873496,5",
Leuphana Universität Lüneburg,"Wirtschaften in Netzen - Stärkung regionaler Absatzmärkte für KMU
als Beitrag zur nachhaltigen Entwicklung der Region",,2013,,"184698,13"
LG Rain GmbH Bewässerungstechnik,Erweiterung einer Betriebsstätte,,2011,,37500
LGRain GmbH Bewässerungstechnik,"Verbesserung der Marktwahrnehmung und Positionierung des
Unternehmens im Internet",2014,,6000,
Lightronics GmbH,Marketingmaßnahme zur Erschließung des deutschen Marktes,,2010,,9400
Lohmann Animal Health GmbH,"Komplementärer Einsatz der Phagen- und Impfstofftechnologie zur
Reduzierung von Campylobacter und Salmonella im Geflügel",,2014,,"248624,8"
Lohmann Animal Health GmbH,Neue Ansätze in der Tiergesundheit - Funktionelle Futtermittel,,2011,,"665416,02"
Lohrengel GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2011,,"13636,95"
Löns-Apotheke Herrn Wolf Hartmut Weber,"Entwicklung von Vorgaben und Handlungsrahmen für das Marketing
in allen relevanten Bereichen der Apotheke",,2009,,6000
Löwen Autohaus Fischer GmbH,Erstellung eines Web-Marketing-Konzeptes,,2012,,10000
LPS-Laser-Plasma-Schweisstechnik GmbH & Co. KG,"Verlagerung u. Erweiterung e. Betriebsstätte durch Übernahme e.
stillgelegten Betriebsstätte in 27336 Großhäuslingen, Hauptstr.8",2014,,104500,
Luhmühlener Mulden- un d Containerdienst GmbH,Beratung zu einer zukunftsfähigen Online-Positionierung,,2012,,3750
Lüllau Engineering GmbH,Beratung zur Erstellung eines Web-Marketingkonzeptes,,2011,,6600
Lüllau Engineering GmbH,Einstellung eines Innovationsassistenten,,2011,,12000
Lüllau Engineering GmbH,Einstellung eines Innovationsassistenten,,2012,,12000
Lüllau Engineering GmbH,Unternehmensgründung,,2013,,"24457,7"
Lüneburger Heide GmbH,"Aufbau einer Internetplattform zur Vermarktung der Destination
Lüneburger Heide",,2010,,32300
Lüßmann's Hof Gerke GbR,Erstellung von Konzepten zu Marketingaktivitäten über das Internet,,2013,,6000
Lütt Stina Illustration und Design Chtistine Schmidt,"Beratung hinsichtlich der Einsetzung des Socialmedia-Management
als Netzwerk für gezielte Umsatzsteigerung",,2013,,3500
M & M Automobile GmbH Herrn Carsten Meyer,Erhöhung der Kundenbindung,,2008,,10000
M bit GmbH & Co. KG,Erweiterung der Betriebsstätte,,2009,,97900
M+B Lasertechnik GmbH,Erarbeitung eines Web-Marketing-Konzeptes,,2012,,"8547,5"
Magers Metallbau Stahlbau GmbH,Erweiterung einer Betriebsstätte,2012,,49400,
MaiMed GmbH,"Grundstückskauf, Büro- u.Hallenbau, Maschinen, Anlagen,
Einrichtung",,2013,,685400
Malerei Johann Cornelius,Erstellung eines Web-Marketing-Konzeptes,,2013,,10000
Malereibetrieb Andreas Tiebe GmbH,"Kundenbindung und Neukundengewinn durch Neugestaltung des
Firmenauftrittes",,2008,,4150
Malereibetrieb Bernhard Lohbeck e.K.,Erstellung des Maßnahmeplanes zur Personalentwicklung,,2012,,10000
Malereibetrieb Kordes GmbH,Steigerung des Bekanntheitsgrades in der Region,,2009,,750
Malereibetrieb Thorsten Holst,"Erstellung eines Marketingkonzeptes zur Unternehmensstabilisieru
kontoll. Umsatzausweitung & zusätzliche Kundengewinnung",,2009,,6000
Marko Behr Zerspanungstechnik,Entwicklung eines sterilisierbaren Positionierungsgebers,,2015,,"50874,12"
MARKOWSKY Elektrotechnik GmbH,Erarbeitung und Erläuterung der Web-Marketingmaßnahmen,,2014,,5000
Marschland Naturkost GmbH,Erarbeitung eines zeitgemäßen Markenauftrittes,,2011,,9506
Martin Wegener GmbH,"Konzeptionelle Beratung zur Internetpräsenz im Hinblick auf das
neue Unternehmensziel",,2013,,1975
Masterrind GmbH,"Beeinflussung des Nachkommengeschlechts bei Rindern durch
Selektion von Spermien",,2011,,"891260,6"
Masytec Erhard Frässdorf,Marktstrategische Neuausrichtung des Unternehmens,,2010,,6000
Mattfeld - Lindner GmbH,Beratung zur Erstellung einer professionellen Internetpräsenz,,2014,,2800
Maussner Centro automobile italiano GmbH & Co. KG,Erarbeitung von Marketing-Maßnahmen,,2010,,10000
Max Stöckl e. K. Inh. Stefanie Stöckl,"Marketingberatung zur visuellen Darstellung des Unternehmens in
Abgrenzung zum Wettbewerb",,2009,,4800
Maxim Bendiks Engineering,"Gründung und Aufbau Ihres Unternehmens ""Maxim Bendiks
Engineering""",,2014,,18000
MaXX ambiente GmbH,"Aus- und Umbau der gemieteten, ehemaligen Lagerhalle",,2011,,"6301,45"
Mediline GmbH & Co. KG,Erstellung eines B2C-Konzeptes,,2010,,4640
Medivoss GmbH,"Beratung zur Erstellung eines On-/Off-Page Konzeptes für die
bestehende Web-Site",,2014,,4000
Medizin Elektronik Lüneburg GmbH & Co. KG,"Integration und Aufbau eines Nachfolgers in das Unternehmen mit
der Perspektive, schrittweise Anteile zu übernehmen",,2009,,"2042,88"
MeisterplanB GmbH,Einstellung einer Innovationsassistentin,,2013,,18000
mera Rabeler e.K.,Erstellung eines Web-Marketingkonzeptes,,2011,,8000
Mercure Hotel Walsrode/ Vorbrück Hotelges. mbH & Co. KG,"Entwicklung und begleitendes Coaching zur Umsetzung von
Marketingmaßnahmen",,2012,,10000
Mertens GmbH Kachelöfen und Fliesen,"Entwicklung einers raumluftunabhängigen Herdes für regenerative
Brennstoffe",,2012,,"12210,1"
Metal-Con. GmbH,Design eines alternativen Prozesses in der Verbindungstechnik,,2010,,9700
"mg LogSoft Service für Transport-Zoll-Logistik Stefan Müller-
Goldenstedt","Entwicklung eines einheitlichen Erscheinungsbildes des
Unternehmens",,2012,,1500
Michael Habben Nutzfahrzeuge Fahrzeugbau,Konzeptionelle Beratung zur Optimierung des Internetauftrittes,,2011,,6000
Michael Kröger Garten- und Landschaftsbau,Erfassung des Weiterbildungsbedarfes,,2013,,3333
Michael Pomplun GmbH,Marketingberatung für Projektmanagement und Konzeption,,2009,,910
Michael Witt Haustechnik,"Gewinnmaximierung durch Erstellung von möglichen Marketing-
strategien zur Neukundengewinnung",,2011,,6000
Michaelis Bedachungen Dachdeckerei,"Konzeptionelle Beratung zur Neukundengewinnung durch Web-
Marketing",,2013,,2800
MICON Downhole-Tools GmbH,Fertigung u. Reparatur von Bohrwerkzeugen,,2013,,1750000
Micon-Drilling GmbH,Errichtung einer Betriebsstätte,,2013,,997600
Milan Uhe - Training und Coaching,"Erstellung eines strategischen Marketingplans für den
Unternehmensauftritt im Web",,2012,,2000
Minners & Partner GbR,Konzeption eines marketingorientierten Corporate Designs,,2012,,8000
Missnatali Outlet - Natalya Mach,Erweiterung einer bestehenden Betriebsstätte,,2014,,"38397,85"
Missnatali Outlet - Natalya Mach,Erweiterung einer Betriebsstätte,,2011,,"37065,37"
Mittelweserverband,"Verbesserung der Deichsicherheit am linken Weserufer zwischen
Hoya und Bremen",,2008,,570000
MMB Martens Metallbearbeitung GmbH,Erstellung eines Marketingkonzeptes,,2010,,10000
Möbel Kranz GmbH,Überarbeitung der vorhandenen Marketingstrategie,,2010,,10000
Möbel Wolfrath GmbH,"Bauliche Veränderungen auf technische Ausrüstung zur Herstellung
einer eigenen Produktionsschiene",,2011,,"307386,29"
Mobil Punkt GmbH&Co.KG Joachim Rieckmann,"Sicherung und Anpassung von Kompetenzen der Beschäftigten auf
die aktuellen und zukünftigen Anforderungen",,2013,,6000
Modehaus Wilkens KG,"Marketingkonzeption - Entwickeln einer nachhaltigen Perspektive für
das Haus Wilkens und die Sicherung der Umsetzung",,2008,,6400
Möhlmann Transporte GmbH,Neuentwicklung des Corporate Designs,,2012,,4800
Mohr GmbH & Co. KG,"Beratung zur lebendigen und aussagekräftigen Gestaltung des
Webmarketing",,2014,,10000
Molkerei Lünzener Käseschmiede,Erweiterung einer Betriebsstätte zur Herstellung von Milchprodukten,,2008,,23400
Möller Agrarmarketing,Entwicklung eines Corporate Design,,2012,,4800
MOMO,Erstellung eines Web-Marketing-Konzeptes,,2012,,1150
Moorbahn Burgsittensen e. V.,"Erweiterung der Fahrstrecke der Moorbahn im Rahmen des Projekts
""NaturErlebnis Tister Bauernmoor""",,2014,,141000
Möwen Nest Sonja Gräper,"Beratung zur Neukundengewinnung und Bestandskundenbindung
durcgh gezieltes Web-Marketing",,2013,,2400
MRConcept UG (haftungsbeschränkt),Weiterentwicklung des Corporate Designs,,2010,,9800
Müller Bus Touristik,"Erarbeitung eines auf das Unternehmen zugeschnittenes Direkt-
marketingkonzeptes",,2008,,10000
Müller-Kunststoffe-24,Analyse zur Optimierung des Suchmaschinenrankings,,2011,,8800
Müllers Hausmacher Wurst GmbH & Co. KG,"Diversifizierung der Produktion einer Betriebsstätte in neue, zu
sätzliche Produkte",2009,,"168058,28",
Museumsdorf Hösseringen e.V.,"Ausstellung und Erlebnispfad ""Von der Lüneburger Heide zum Lüneb
urger Wald""",,2011,,"34818,1"
Museumsverein Stade e.V.,"Modernisierung und Neugestaltung der archäolog. Dauerausstellg.
sowie zentraler Servicebereiche im Museum Schwedenspeicher",2014,,1183400,
Museumsverein Stade e.V.,Umbau Museum Schwedenspeicher,,2012,,1467000
MÜTRON Müller GmbH & Co. KG,Erstellung eines Web-Marketing-Konzeptes,,2013,,"9997,5"
MVS Bau GbR,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,2400
NABU Niedersachsen e. V.,Kranicherlebnis und Kranichschutz im Landkreis Rotenburg,,2012,,"255053,8"
NABU Niedersachsen e. V.,Wildtiererlebnis,,2011,,"1059123,5"
NABU Rotenburg e. V.,Der Mitmach- und Erlebnisgarten auf dem Hartmannshof,2013,,325000,
NABU Rotenburg e. V.,"Großes und Weißes Moor: Konzept zur Aufwertung des Moores und
der Umgebung",,2011,,"126427,6"
NABU Rotenburg e. V.,Wege zur Artenvielfalt,2012,,212000,
NABU Uelzen e.V.,Wege in die Natur der Region Uelzen,,2009,,"68448,04"
nabuko Bio Großverbraucher-Service Torsten Bunge,Lebensmittelverarbeitung,,2010,,"30151,77"
Narcoscience GmbH & Co. KG,"Entwicklung eines Systems zur Narkosetiefebestimmung in
Mikrotechnologie",,2013,,760300
NASSAU DOOR GmbH & Co.KG,"Beratung für einen zukunftsorientierten Internetaufttritt unter
Einbeziehung der sozialen Netzwerke",,2014,,4000
NASSAU DOOR Vertriebs- und Montage GmbH,"Beratung in allgemeinen und besonderen Fragen der Unternehmens-
nachfolge",,2009,,5000
Nationalparkverwaltung Niedersächsisches Wattenmeer,"Bildungsnetzwerk Cuxland - BNE Programmentwicklung und -
erprobung für Nationalpark-Führer und Umweltbildungsakteure",2014,,87100,
Nationalparkverwaltung Niedersächsisches Wattenmeer,"Neuanlage einer Natur- und Informationseinrichtung an der Wurster
Küste",,2014,,174600
"Natur- und Jagdschule Schloss Lüdersburg Freiherr von
Spoercken & Co. oHG",Erstellung eines Online-Marketing-Konzeptes,,2014,,2600
natureConcept Peter Szekeres,"Einstellung
einer Innovationsassistentin",,2012,,9780
Naturkompost GbR,Errichtung einer Betriebsstätte,,2012,,"158020,34"
"Naturmuseum des Naturwissenschaftlichen Vereins für das
Fürstentum Lüneburg von 1851 e. V.","Ausstellung ""Wald in Zeiten des Klimawandels"" mit
Demonstrationsfläche im Wald",,2011,,"15083,06"
Naturpark Elbhöhen-Wendland e.V.,Neubau eines Aussichtsturmes auf dem Hohen Mechtin,2014,,"240212,66",
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"""Eine Schwalbe macht noch keinen Sommer"" und wir wollen mehr!", ,2014,,100000
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Attraktive Wander- und Spazierwege durch den Naturpark
Lüneburger Heide (Familienerlebniswege)",,2010,,37000
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Barrierefreies Naturerleben im Naturpark Lüneburger Heide,,2013,,"274790,68"
