NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Landkreis Rotenburg (Wümme),"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Rotenburg (Wümme)",,2015,,"922.847,19"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betrieb- lichen
Wettbewerbsfähigkeit und Beschäftigung KMU im LK Stade",,2010,,"562.729,60"
Landkreis Stade,Kreisstraße Stade Süd zwischen B73 - L124 K 30,,2015,,"16.174.380,72"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betrieblichen
Wettbewerbsfähigkeit und Beschäftigung KMU im Landkreis Stade",,2012,,"764.819,15"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2012,,"664.700,00"
Landkreis Stade,Verbesserung der radtouristischen Infrastruktur im Landkreis Stade,,2013,,"189.365,54"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2013,,"401.901,93"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2014,,"163.125,00"
Landkreis Stade,"Informations-Faltplan Schwingewiesen und Barger Heide (Hansestadt
Stade) und Informations-Faltplan Auetal und Frankenm.",,2015,,"19.506,33"
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betriebl.
Wettbewerbsfähigkeit und Beschäftigung KMU",,2015,,"86.200,00"
Landkreis Stade,Moor-Wasser-Wald-Erlebnis - Konzeption,,2015,,"17.011,05"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im
Landkreis Uelzen",,2010,,"1.745.531,18"
Landkreis Uelzen,Naturerlebnisradweg Ilmenau,,2010,,"326.496,24"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im
Landkreis Uelzen",,2012,,"350.776,67"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",,2013,,"207.902,00"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",,2015,,"233.924,84"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",,2014,,"109.896,91"
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen im Landkreis
Uelzen",,2015,,"13.600,00"
Landkreis Uelzen,"Beratungs- und Planungsleistungen für den Aufbau eines NGA-Netzes
im Landkreis Uelzen",,2015,,"176.730,00"
Landkreis Uelzen,"Breitbandausbau in unterversorgten Gebieten des Landkreises Uelzen
- Woltersburg und Pieperhöfen",,2016,,"108.000,00"
Landkreis Uelzen,"Breitbandausbau in unterversorgten Gebieten des Landkreises Uelzen
- Bad Bodenteich",,2015,,"30.433,00"
Landkreis Uelzen,"Breitbandausbau in unterversorgten Gebieten im Landkreis Uelzen -
Dreilingen, Niebeck und Teile von Wichtenbeck",,2015,,"62.540,49"
Landkreis Uelzen,Breitbandausbau in unterversorgten Gebieten des LK Uelzen -Ebstorf,,2015,,"149.295,00"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Verden",,2010,,"941.024,61"
Landkreis Verden,"Koordinierungsstelle und KoordinierungsstellePlus Frau und Wirtschaft
Landkreis Verden",,2009,,"164.853,95"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle-Plus",,2011,,"171.345,43"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Verden",,2012,,"292.182,55"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle Plus",,2012,,"185.500,90"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",,2012,,"503.079,89"
Landkreis Verden,"Koordinierungsstelle Frauen und Wirtschaft im Landkreis Verden und
KoordinierungsstellePlus",,2013,,"176.021,76"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",,2013,,"395.452,76"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle Plus",,2013,,"177.247,78"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",,2014,,"275.867,02"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle Plus",,2014,,"187.124,75"
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen im Landkreis Verden",,2015,,"872.670,23"
Landkreis Verden,Qualitätsoffensive Weser-Radweg im Landkreis Verden,,2015,,"121.651,51"
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
KoordinierungsstellePlus",,2016,,"311.935,27"
Landkreis Verden Körperschaft des öff. Rechts,"Ausbau d. Breitbandinfrastruktur f. Betriebe u. Unternehmen in GI u.
GG sowie in Ortslagen des LK Verden auf NGA- Standard",,2015,,"90.190,35"
Landschaftspflegeverband Wendland-Elbetal e.V.,"""Route der alten Obstsorten"" im Wendland",,2010,,"134.056,00"
Landschaftspflegeverband Wendland-Elbetal e.V.,Route der alten Obstsorten im Wendland Phase 2,,2012,,"128.998,61"
Landschaftspflegeverband Wendland-Elbetal e.V.,Route der alten Obstsorten - Phase 3,,2014,,"227.984,59"
Landwirtschaftskammer Niedersachsen,"Modernisierung der Lehr- und Versuchsanstalt für Tierhaltung in
Echem",,2016,,"17.156.368,00"
LBAG Schmalenbrücke eG,Beratung zu Erstellung einer professionellen Internetpräsenz,,2014,,"10.000,00"
LBM Maschinen- und Anlagenbau GmbH,"Kontinuierliche Druckluftbereitstellung für sich auf einer
geschlossenen Bahn bewegender Verbraucher",,2013,,"3.814,92"
LBM Maschinen- und Anlagenbau GmbH,Entwicklung und Bau einer Ankörnvorrichtung,,2016,,"22.238,79"
LBM Produktionsgesellschaft mbH,Erweiterung einer Betriebsstätte,,2011,,"178.738,98"
Lebenshilfe Rotenburg-Verden gGmbH,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezielte Web-Marketing-Maßnahmen",,2014,,"10.000,00"
Lebenshilfe Stade e.V.,Erweiterung und Erneuerung des Corporate Designs,,2013,,"6.600,00"
Lehmann Rollstuhlrampen und Hebelifte,"Erstellung um Umsetzung eines komplexen Marketingkonzeptes für
die Wachstumsphase",,2008,,"2.800,00"
Lemke Bau GmbH,Beratung und Konzeption einer neuen Internetpräsenz,,2013,,"4.000,00"
Leuphana Universität Lüneburg,E-Learning Content Leuphana Professional School,,2016,,"985.376,83"
Leuphana Universität Lüneburg,Operations Excellence für kleine und mittlere Unternehmen,,2012,,"170.677,66"
Leuphana Universität Lüneburg,Programmentwicklung für den Aufbau eines Fahrsimulationszentrums,,2013,,"146.274,27"
Leuphana Universität Lüneburg,"FeQuan-Sensorsystem zur Früherkennung von
Verockerungstendenzen",,2013,,"183.801,06"
Leuphana Universität Lüneburg,"Wirtschaften in Netzen - Stärkung regionaler Absatzmärkte für KMU
als Beitrag zur nachhaltigen Entwicklung der Region",,2013,,"184.698,13"
Leuphana Universität Lüneburg,Existenzgründungsprojekte Module A und B,,2015,,"771.765,66"
Leuphana Universität Lüneburg,Vorbereitende und koordinierende Maßnahmen Kompetenztandems,,2015,,"1.857.984,81"
Leuphana Universität Lüneburg,Projektabwicklung und -administration,,2015,,"3.490.388,21"
Leuphana Universität Lüneburg,"Transfer- und Innovationsassistenten, Modul A & B",,2016,,"2.297.541,12"
Leuphana Universität Lüneburg,"Case Studies in der Leuphana Graduate und Leuphana Professional
School",,2015,,"1.049.083,92"
Leuphana Universität Lüneburg,Leuphana Graduate School,,2016,,"4.886.007,30"
Leuphana Universität Lüneburg,"Modul B, Innovations- und Transferverbünde",,2016,,"3.204.804,70"
Leuphana Universität Lüneburg,"Modul A, Forschungsnetz",,2016,,"404.121,77"
Leuphana Universität Lüneburg,"Moving Image Lab (MIL): Entwicklung und Erforschung von
Bewegtbild-Formaten",,2015,,"4.147.357,50"
Leuphana Universität Lüneburg,Vernetzte Versorgung für psychisch erkrankte Menschen,,2016,,"4.815.061,65"
Leuphana Universität Lüneburg,"IKT-Infrastruktur - Regionale Wissensdatenbank und
Vernetzungsplattform",,2016,,"2.459.844,86"
Leuphana Universität Lüneburg,Regionale Vernetzung,,2015,,"2.041.240,97"
Leuphana Universität Lüneburg,Modul C Gründungswettbewerb,,2015,,"1.504.389,26"
Leuphana Universität Lüneburg,Leuphana College,,2016,,"4.809.209,03"
Leuphana Universität Lüneburg,Projekte mit der Kreativitätswirtschaft,,2015,,"1.943.572,58"
Leuphana Universität Lüneburg,Implementierung eines Leuphana Weiterbildungsmodells,,2016,,"1.696.269,77"
Leuphana Universität Lüneburg,Plattform für nachhaltige Biokerosinproduktion,,2015,,"2.571.960,19"
Leuphana Universität Lüneburg,GET.ON - GesundheitsTraining.Online,,2016,,"2.953.892,90"
Leuphana Universität Lüneburg,Einfach gute Pflege finden,,2014,,"189.709,86"
Leuphana Universität Lüneburg,"Schlüsselfaktor Ressourceneffizienz - ein Prüfsystem für KMU zur
Verbesserung der Vollzugsfähigkeit von Umweltgesetzen",,2013,,"178.453,55"
Leuphana Universität Lüneburg,"TM 5.2 Neubau eines Zentralgebäudes inkl. Bau- und Forschungsin
frastruktur",2012,,"13.995.600,00",
Leuphana Universität Lüneburg,"SEM-A2: SEM Account Aggregation - ein Verfahren zur Optimierung
der Suchmaschinenwerbung in KMU",,2014,,"173.108,58"
Leuphana Universität Lüneburg,"Entwicklung von Verfahren zur Quantifizierung und Bewertung von
NSO-Heterocyclen in Umweltproben",,2014,,"194.211,70"
Leuphana Universität Lüneburg,"Management-Modelle in der integrierten Versorgung - neue Ansätze
für chronische Erkrankungen",,2015,,"1.995.311,97"
Leuphana Universität Lüneburg,Thermische Batterie,,2015,,"2.134.071,48"
Leuphana Universität Lüneburg,"Gesund im Beruf - Prävention, Versorgung und Wiedereingliederung
bei berufsbedingter Erkrankung",,2015,,"2.817.318,08"
Leuphana Universität Lüneburg,Art and Civic Media (ACM): Kunst und Medien der Zivilgesell- schaft,,2016,,"3.360.289,61"
Leuphana Universität Lüneburg,"EnERgioN - Erzeugung, Speicherung und Vermarktung von
Erneuerbarer Energie in der Region Nord",,2015,,"1.578.720,02"
Leuphana Universität Lüneburg,"Hybrid Publishing Lab: Wissenschaftliche Kommunikation im digitalen
Zeitalter",,2016,,"3.281.873,69"
Leuphana Universität Lüneburg,Grundversorgung 2.0,,2016,,"3.491.897,31"
Leuphana Universität Lüneburg,Betriebliche Großtagespflege,,2015,,"189.814,82"
Leuphana Universität Lüneburg,Landwirtschaftliche Biogas-Direktvermarktung,,2015,,"181.627,73"
Leuphana Universität Lüneburg,"One Lüneburg - Entwicklung eines nachhaltigen Quartiers in der
Hansestadt Lüneburg",,2015,,"180.712,95"
Leuphana Universität Lüneburg,Aktivierte Pflanzenkohle aus Elbauen,,2015,,"205.371,57"
Leuphana Universität Lüneburg,"Nutzung von Chemieinformatikmodellen zur Entwicklung und
Optimierung chemischer Produkte",,2015,,"222.707,43"
Leuphana Universität Lüneburg,"Nachhaltige Beschaffung in Städten und Gemeinden -
Herausforderungen und Gestaltungsoptionen für KMU, Verwaltung
und Kammern",,2015,,"93.324,15"
Leuphana Universität Lüneburg,"HeaLinGo - Research Centre for Health and Language Integrated
Gaming Online",,2015,,"546.412,71"
Leuphana Universität Lüneburg,"Nachhaltigkeitsorientierte Geschäftsmodellbewertung - Sustainability-
Oriented Business Model Assessment (SUST-BMA)",,2015,,"193.528,10"
Leuphana Universität Lüneburg,"Analyse, Ausbau und Anwendung eines Konzepts zum
ressourcenorientierten Verhandeln",,2015,,"179.190,30"
Leuphana Universität Lüneburg,"Abbau von Bürokratie für KMU in der Konvergenzregion. Gründung
eines Netzwerkes und Etablierung eines Ampel-Modells",,2015,,"50.710,80"
LG Rain GmbH Bewässerungstechnik,Erweiterung einer Betriebsstätte,,2011,,"37.500,00"
LGRain GmbH Bewässerungstechnik,"Verbesserung der Marktwahrnehmung und Positionierung des
Unternehmens im Internet",,2015,,"6.000,00"
Lightronics GmbH,Marketingmaßnahme zur Erschließung des deutschen Marktes,,2010,,"9.400,00"
Lohmann Animal Health GmbH,Neue Ansätze in der Tiergesundheit - Funktionelle Futtermittel,,2011,,"640.507,01"
Lohmann Animal Health GmbH,"Komplementärer Einsatz der Phagen- und Impfstofftechnologie zur
Reduzierung von Campylobacter und Salmonella im Geflügel",,2014,,"239.366,67"
Lohrengel GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2011,,"13.636,95"
Löns-Apotheke Herrn Wolf Hartmut Weber,"Entwicklung von Vorgaben und Handlungsrahmen für das Marketing in
allen relevanten Bereichen der Apotheke",,2009,,"6.000,00"
LPS-Laser-Plasma-Schweisstechnik GmbH & Co. KG,"Verlagerung u. Erweiterung e. Betriebsstätte durch Übernahme e.
stillgelegten Betriebsstätte in 27336 Großhäuslingen, Hauptstr.8",,2015,,"76.208,63"
Luhmühlener Mulden- un d Containerdienst GmbH,Beratung zu einer zukunftsfähigen Online-Positionierung,,2012,,"3.750,00"
Lüllau Engineering GmbH,Unternehmensgründung,,2013,,"24.457,70"
Lüllau Engineering GmbH,Beratung zur Erstellung eines Web-Marketingkonzeptes,,2011,,"6.600,00"
Lüllau Engineering GmbH,Einstellung eines Innovationsassistenten,,2011,,"12.000,00"
Lüllau Engineering GmbH,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
Lüneburger Heide GmbH,"Aufbau einer Internetplattform zur Vermarktung der Destination
Lüneburger Heide",,2010,,"32.300,00"
Lüßmann's Hof Gerke GbR,Erstellung von Konzepten zu Marketingaktivitäten über das Internet,,2013,,"6.000,00"
Lütt Stina Illustration und Design Chtistine Schmidt,"Beratung hinsichtlich der Einsetzung des Socialmedia-Management
als Netzwerk für gezielte Umsatzsteigerung",,2013,,"3.500,00"
LVB-Steinbrink GmbH,Errichtung einer neuen Betriebsstätte in 29576 Eppensen,,2015,,"445.800,00"
M & M Automobile GmbH Herrn Carsten Meyer,Erhöhung der Kundenbindung,,2008,,"10.000,00"
M bit GmbH & Co. KG,Erweiterung der Betriebsstätte,,2009,,"97.900,00"
M+B Lasertechnik GmbH,Erarbeitung eines Web-Marketing-Konzeptes,,2012,,"8.547,50"
Magers Metallbau Stahlbau GmbH,Erweiterung einer Betriebsstätte,,2015,,"47.676,87"
MaiMed GmbH,"Grundstückskauf, Büro- u.Hallenbau, Maschinen, Anlagen, Einrichtung",,2013,,"685.400,00"
Malerei Johann Cornelius,Erstellung eines Web-Marketing-Konzeptes,,2013,,"10.000,00"
Malereibetrieb Andreas Tiebe GmbH,"Kundenbindung und Neukundengewinn durch Neugestaltung des
Firmenauftrittes",,2008,,"4.150,00"
Malereibetrieb Bernhard Lohbeck e.K.,Erstellung des Maßnahmeplanes zur Personalentwicklung,,2012,,"10.000,00"
Malereibetrieb Kordes GmbH,Steigerung des Bekanntheitsgrades in der Region,,2009,,"750,00"
Malereibetrieb Thorsten Holst,"Erstellung eines Marketingkonzeptes zur Unternehmensstabilisieru
kontoll. Umsatzausweitung & zusätzliche Kundengewinnung",,2009,,"6.000,00"
Marko Behr Zerspanungstechnik,Entwicklung eines sterilisierbaren Positionierungsgebers,,2015,,"50.874,12"
MARKOWSKY Elektrotechnik GmbH,Erarbeitung und Erläuterung der Web-Marketingmaßnahmen,,2014,,"5.000,00"
Marschland Naturkost GmbH,Erarbeitung eines zeitgemäßen Markenauftrittes,,2011,,"9.506,00"
Martin Wegener GmbH,"Konzeptionelle Beratung zur Internetpräsenz im Hinblick auf das neue
Unternehmensziel",,2013,,"1.975,00"
Marwede GmbH,Erarbeitung von Marketing-Maßnahmen,,2010,,"10.000,00"
Masterrind GmbH,"Beeinflussung des Nachkommengeschlechts bei Rindern durch
Selektion von Spermien",,2011,,"863.122,68"
Masytec Erhard Frässdorf,Marktstrategische Neuausrichtung des Unternehmens,,2010,,"6.000,00"
Mattfeld - Lindner GmbH,Beratung zur Erstellung einer professionellen Internetpräsenz,,2014,,"2.800,00"
Maussner Centro automobile italiano GmbH & Co. KG,Erarbeitung von Marketing-Maßnahmen,,2010,,"10.000,00"
Max Stöckl e. K. Inh. Stefanie Stöckl,"Marketingberatung zur visuellen Darstellung des Unternehmens in
Abgrenzung zum Wettbewerb",,2009,,"4.800,00"
Maxim Bendiks Engineering,"Gründung und Aufbau Ihres Unternehmens ""Maxim Bendiks
Engineering""",,2014,,"18.000,00"
MaXX ambiente GmbH,"Aus- und Umbau der gemieteten, ehemaligen Lagerhalle",,2011,,"6.301,45"
Mediline GmbH & Co. KG,Erstellung eines B2C-Konzeptes,,2010,,"4.640,00"
Medivoss GmbH,"Beratung zur Erstellung eines On-/Off-Page Konzeptes für die
bestehende Web-Site",,2014,,"4.000,00"
Medizin Elektronik Lüneburg GmbH & Co. KG,"Integration und Aufbau eines Nachfolgers in das Unternehmen mit der
Perspektive, schrittweise Anteile zu übernehmen",,2009,,"2.042,88"
MeisterplanB GmbH,Einstellung einer Innovationsassistentin,,2013,,"18.000,00"
mera Rabeler e.K.,Erstellung eines Web-Marketingkonzeptes,,2011,,"8.000,00"
Mercure Hotel Walsrode/ Vorbrück Hotelges. mbH & Co. KG,"Entwicklung und begleitendes Coaching zur Umsetzung von
Marketingmaßnahmen",,2012,,"10.000,00"
Mertens GmbH Kachelöfen und Fliesen,"Entwicklung einers raumluftunabhängigen Herdes für regenerative
Brennstoffe",,2012,,"11.740,48"
Metal-Con. GmbH,Design eines alternativen Prozesses in der Verbindungstechnik,,2010,,"9.700,00"
"mg LogSoft Service für Transport-Zoll-Logistik Stefan Müller-
Goldenstedt","Entwicklung eines einheitlichen Erscheinungsbildes des
Unternehmens",,2012,,"1.500,00"
Michael Habben Nutzfahrzeuge Fahrzeugbau,Konzeptionelle Beratung zur Optimierung des Internetauftrittes,,2011,,"6.000,00"
Michael Kröger Garten- und Landschaftsbau,Erfassung des Weiterbildungsbedarfes,,2013,,"3.333,00"
Michael Pomplun GmbH,Marketingberatung für Projektmanagement und Konzeption,,2009,,"910,00"
Michael Witt Haustechnik,"Gewinnmaximierung durch Erstellung von möglichen Marketing-
strategien zur Neukundengewinnung",,2011,,"6.000,00"
Michaelis Bedachungen Dachdeckerei,"Konzeptionelle Beratung zur Neukundengewinnung durch Web-
Marketing",,2013,,"2.800,00"
MICON Downhole-Tools GmbH,Fertigung u. Reparatur von Bohrwerkzeugen,,2013,,"1.750.000,00"
Micon-Drilling GmbH,Errichtung einer Betriebsstätte,,2013,,"997.600,00"
Miele Gatzke GmbH - Miele Spezialvertragshändler,"Erstellung einer professionellen Internetpräsenz, unter Beachtung der
bisherigen Web-Strategie",,2012,,"10.000,00"
Milan Uhe - Training und Coaching,"Erstellung eines strategischen Marketingplans für den
Unternehmensauftritt im Web",,2012,,"2.000,00"
Minners & Partner GbR,Konzeption eines marketingorientierten Corporate Designs,,2012,,"8.000,00"
Missnatali Outlet - Natalya Mach,Erweiterung einer Betriebsstätte,,2011,,"37.065,37"
Missnatali Outlet - Natalya Mach,Erweiterung einer bestehenden Betriebsstätte,,2014,,"38.397,85"
Mittelweserverband,"Verbesserung der Deichsicherheit am linken Weserufer zwischen
Hoya und Bremen",,2008,,"570.000,00"
MMB Martens Metallbearbeitung GmbH,Erstellung eines Marketingkonzeptes,,2010,,"10.000,00"
Möbel Kranz GmbH,Überarbeitung der vorhandenen Marketingstrategie,,2010,,"10.000,00"
Möbel Wolfrath GmbH,"Bauliche Veränderungen auf technische Ausrüstung zur Herstellung
einer eigenen Produktionsschiene",,2011,,"307.386,29"
Mobil Punkt GmbH&Co.KG Joachim Rieckmann,"Sicherung und Anpassung von Kompetenzen der Beschäftigten auf
die aktuellen und zukünftigen Anforderungen",,2013,,"6.000,00"
Modehaus Wilkens KG,"Marketingkonzeption - Entwickeln einer nachhaltigen Perspektive für
das Haus Wilkens und die Sicherung der Umsetzung",,2008,,"6.400,00"
Möhlmann Transporte GmbH,Neuentwicklung des Corporate Designs,,2012,,"4.800,00"
Mohr GmbH & Co. KG,"Beratung zur lebendigen und aussagekräftigen Gestaltung des
Webmarketing",,2014,,"10.000,00"
Molkerei Lünzener Käseschmiede,Erweiterung einer Betriebsstätte zur Herstellung von Milchprodukten,,2008,,"23.400,00"
Möller Agrarmarketing,Entwicklung eines Corporate Design,,2012,,"4.800,00"
MOMO,Erstellung eines Web-Marketing-Konzeptes,,2012,,"1.150,00"
Moorbahn Burgsittensen e. V.,"Erweiterung der Fahrstrecke der Moorbahn im Rahmen des Projekts
""NaturErlebnis Tister Bauernmoor""",,2014,,"141.000,00"
Möwen Nest Sonja Gräper,"Beratung zur Neukundengewinnung und Bestandskundenbindung
durcgh gezieltes Web-Marketing",,2013,,"2.400,00"
MRConcept UG (haftungsbeschränkt),Weiterentwicklung des Corporate Designs,,2010,,"9.800,00"
Müller Bus Touristik,"Erarbeitung eines auf das Unternehmen zugeschnittenes Direkt-
marketingkonzeptes",,2008,,"10.000,00"
Müller-Kunststoffe-24,Analyse zur Optimierung des Suchmaschinenrankings,,2011,,"8.800,00"
Müllers Hausmacher Wurst GmbH & Co. KG,"Diversifizierung der Produktion einer Betriebsstätte in neue, zu
sätzliche Produkte",2009,,"168.058,28",
Müllers Hoff,Entwicklung eines einheitlichen Kommunikationskonzeptes,,2011,,"3.000,00"
Museumsdorf Hösseringen e.V.,"Ausstellung und Erlebnispfad ""Von der Lüneburger Heide zum
Lüneburger Wald""",,2011,,"34.818,10"
Museumsverein Stade e.V.,Umbau Museum Schwedenspeicher,,2012,,"1.467.000,00"
Museumsverein Stade e.V.,"Modernisierung und Neugestaltung der archäolog. Dauerausstellg.
sowie zentraler Servicebereiche im Museum Schwedenspeicher",,2015,,"1.183.400,00"
MÜTRON Müller GmbH & Co. KG,Erstellung eines Web-Marketing-Konzeptes,,2013,,"9.997,50"
MVS Bau GbR,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"2.400,00"
NABU Niedersachsen e. V.,Wildtiererlebnis,,2011,,"1.059.123,50"
NABU Niedersachsen e. V.,Kranicherlebnis und Kranichschutz im Landkreis Rotenburg,,2012,,"255.053,80"
NABU Rotenburg e. V.,"Großes und Weißes Moor: Konzept zur Aufwertung des Moores und
der Umgebung",,2011,,"126.427,60"
NABU Rotenburg e. V.,Wege zur Artenvielfalt,,2015,,"199.296,72"
NABU Rotenburg e. V.,Der Mitmach- und Erlebnisgarten auf dem Hartmannshof,,2015,,"285.106,89"
NABU Uelzen e.V.,Wege in die Natur der Region Uelzen,,2009,,"68.448,04"
nabuko Bio Großverbraucher-Service Torsten Bunge,Lebensmittelverarbeitung,,2010,,"30.151,77"
Narcoscience GmbH & Co. KG,"Entwicklung eines Systems zur Narkosetiefebestimmung in
Mikrotechnologie",,2013,,"760.300,00"
NASSAU DOOR GmbH & Co.KG,"Beratung für einen zukunftsorientierten Internetaufttritt unter
Einbeziehung der sozialen Netzwerke",,2014,,"4.000,00"
NASSAU DOOR Vertriebs- und Montage GmbH,"Beratung in allgemeinen und besonderen Fragen der
Unternehmensnachfolge",,2009,,"5.000,00"
Nationalparkverwaltung Niedersächsisches Wattenmeer,"Neuanlage einer Natur- und Informationseinrichtung an der Wurster
Küste",,2014,,"174.600,00"
Nationalparkverwaltung Niedersächsisches Wattenmeer,"Bildungsnetzwerk Cuxland - BNE Programmentwicklung und -
erprobung für Nationalpark-Führer und Umweltbildungsakteure",,2015,,"53.717,98"
"Natur- und Jagdschule Schloss Lüdersburg Freiherr von
Spoercken & Co. oHG",Erstellung eines Online-Marketing-Konzeptes,,2014,,"2.600,00"
natureConcept Peter Szekeres,"Einstellung
einer Innovationsassistentin",,2012,,"9.780,00"
Naturkompost GbR,Errichtung einer Betriebsstätte,,2012,,"158.020,34"
"Naturmuseum des Naturwissenschaftlichen Vereins für das
Fürstentum Lüneburg von 1851 e. V.","Ausstellung ""Wald in Zeiten des Klimawandels"" mit
Demonstrationsfläche im Wald",,2011,,"15.083,06"
Naturpark Elbhöhen-Wendland e.V.,Neubau eines Aussichtsturmes auf dem Hohen Mechtin,,2015,,"240.212,66"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur auf dem Pferd erleben - Aktivierung des bestehenden
Reitwegepotentials im erweiterten Naturpark Lüneburger Heide",,2009,,"44.476,43"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur zu Fuß erleben - Nordic Walking im erweiterten Naturpark
Lüneburger Heide",,2009,,"31.000,00"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur auf dem Rad erleben - Themenorientiertes Premiumrad-
fahren im erweiterten Naturpark Lünreburger Heide",,2010,,"78.500,00"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Internetpräsentation der Natur und naturbezogener Angebote des
Naturparks Lüneburger Heide",,2009,,"34.999,99"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Attraktive Wander- und Spazierwege durch den Naturpark Lüneburger
Heide (Familienerlebniswege)",,2010,,"37.000,00"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Themenwandern im Naturpark Lüneburger Heide,,2010,,"74.540,82"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Naturwunder im Naturpark Lüneburger Heide,,2012,,"63.964,27"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Barrierefreies Naturerleben im Naturpark Lüneburger Heide,,2013,,"274.790,68"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Naturblicke im Naturpark Lüneburger Heide - Planung,,2013,,"40.000,00"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"""Eine Schwalbe macht noch keinen Sommer"" und wir wollen mehr!",,2014,,"100.000,00"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Naturblicke im Naturpark Lüneburger Heide Teil 2 - Umsetzung,,2015,,"204.966,19"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Naturerlebnisse mit mobilen Technologien im Naturpark Lüneburger
Heide",,2015,,"31.500,00"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur auf dem ""Joelette"" im Naturpark Lüneburger Heide",,2015,,"12.907,93"
Naturschutzstiftung des Landkreises Cuxhaven,"Erstellung der Broschüre ""Naturerlebnis Cuxland""",,2009,,"35.284,74"
Naturschutzstiftung des Landkreises Cuxhaven,Modernisierung des Waldmuseums Wingst,,2014,,"130.521,84"
ND Montage,Konzept zur Erstellung einer professionellen Internetpräsenz,,2013,,"2.800,00"
Nerak GmbH Fördertechnik,Entwicklung eines Nahrungsmittelförderbechers,,2010,,"9.600,00"
Netzwerk Nachhaltiges Bauen e. V.,Netzwerk Nachhaltiges Bauen,,2012,,"347.957,15"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,Niedersächsisches Breitbandkompetenzzentrum Osterholz,,2011,,"1.061.034,40"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Errichtung einer Werkstatt-, Produktions- und Lagerhalle beim NETZ-
Zentrum",,2012,,"413.359,47"
