Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Ausbildungs- und Berufsförderungsstätte Albstadt e.V.,Jobvision,Jobvision - Vermeiden von Schulabbrüchen und Verbesserung der Ausbildungsfähigkeit,01.01.2015,31.12.2015,"137.357,62",72379,Deutschland,115,C 1.1,.
Auto Maier GmbH & Co.KG  ,Coaching,Förderprogramm Coaching 2016,10.03.2016,09.03.2017,"9.000,00",72116,Deutschland,106,A 5.1,www.amw-auto.de
Autoglasservice Hewig/ Schwabo Autoglas Pforzheim Inh. Thomas Hewig,Coaching,Förderprogramm Coaching 2015,22.07.2015,30.06.2016,"11.600,00",75175,Deutschland,106,A 5.1,www.autoglasservice-hewig.de
Autohaus Dieter Klützke GmbH ,Coaching,Förderprogramm Coaching 2016,07.03.2016,31.12.2016,"9.000,00",73037,Deutschland,106,A 5.1,www.autohaus-kluetzke.de
Autohaus Dreher GmbH  ,Coaching,Förderprogramm Coaching 2015,24.04.2015,24.04.2016,"12.000,00",88239,Deutschland,106,A 5.1,www.autohaus-dreher.de
Autohaus Eberhard Uhl GmbH  ,Coaching,Förderprogramm Coaching 2015,04.01.2016,03.01.2017,"12.000,00",88348,Deutschland,106,A 5.1,www.uhl.mercedes-benz.de
Autohaus Hils e.K.  ,Coaching,Förderprogramm Coaching 2015,10.04.2015,10.10.2016,"12.000,00",78713,Deutschland,106,A 5.1,www.autohaus-hils.de
Autohaus Holderbach GmbH ,Coaching,Förderprogramm Coaching 2015,26.06.2015,26.06.2016,"12.000,00",71691,Deutschland,106,A 5.1,www.autohaus-holderbach.de
Autohaus Immanuel Bock GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,01.10.2015,31.12.2016,"8.000,00",72574,Deutschland,106,A 5.1,www.bock.mecedes-benz.de
Autohaus Joachim Blatt ,Coaching,Förderprogramm Coaching 2015,20.06.2015,19.06.2016,"12.000,00",71566,Deutschland,106,A 5.1,www.autohaus-blatt.de
Autohaus Karl Russ GmbH & Co.KG ,Coaching,Förderprogramm Coaching 2015,15.04.2015,15.04.2016,"12.000,00",73265,Deutschland,106,A 5.1,www.russonline.de
Autohaus Lehleiter GmbH  ,Coaching,Förderprogramm Coaching 2016,15.02.2016,30.11.2016,"9.000,00",88367,Deutschland,106,A 5.1,www.autohaus-lehleiter.de
Autohaus Leinfelden Stollsteimer GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,09.11.2015,08.11.2016,"8.000,00",70771,Deutschland,106,A 5.1,www.autohaus-leinfelden.de
Autohaus Scharfenberger GmbH ,Coaching,Förderprogramm Coaching 2015,15.06.2015,15.06.2016,"600,00",71642,Deutschland,106,A 5.1,www.autohaus-scharfenberger.de
Autohaus Wildermuth GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,15.06.2015,14.06.2016,"8.000,00",74321,Deutschland,106,A 5.1,www.wildermuth.mercedes-benz.de
Autohaus Wilhelm Fuß GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,01.04.2015,01.04.2016,"12.000,00",72461,Deutschland,106,A 5.1,www.fuss-mercedes.de
Axel und Alfred Wendt Werkzeugbau GbR ,Coaching,Förderprogramm Coaching 2015,11.09.2015,11.09.2016,"12.000,00",73235,Deutschland,106,A 5.1,www.wendt-fraestechnik.de
Aziz Beauty Lounge  ,Coaching,Förderprogramm Coaching 2015,15.07.2015,15.02.2016,"12.000,00",69115,Deutschland,106,A 5.1,www.aziz-spa-heidelberg.de
B & S GmbH  ,Coaching,Förderprogramm Coaching 2016,25.01.2016,24.01.2017,"9.000,00",72336,Deutschland,106,A 5.1,www.bunds-gmbh.de
BAG-Raiffeisen e.G. Bezugs- und Absatzgenossenschaft,Coaching,Förderprogramm Coaching 2015,01.06.2015,31.05.2016,"12.000,00",88094,Deutschland,106,A 5.1,www.bag-oberteuringen.raiffeisen.de
BAUR WohnFaszination GmbH  ,Coaching,Förderprogramm Coaching 2015,01.04.2015,31.03.2016,"11.500,00",79862,Deutschland,106,A 5.1,www.baur-bwf.de
BBQ Berufliche Bildung gGmbH ,KO BO NT BK TP2,"Koopartive Berufsorientierung Teilprojekt 2 Schulamt Nürtingen und Backnang
     
     Umsetzung von Projektideen zur Kooperativen Berufsorientierung mit Schülergruppen unter Einbindung außerschulischer Kooperationspartner",22.06.2015,31.07.2017,"466.594,38",73728,Deutschland,118,C 4.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Famos FDS 2015/16,Famos Freudenstadt 2015-2016,01.01.2015,31.12.2016,"130.979,60",72250,Deutschland,109,B 1.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,BPJ 21 2016-2018 (1),BPJ 21 - Berufspraktisches Jahr,01.01.2016,31.12.2016,"3.183.462,00",70469,Deutschland,103,A 2.1,.
BBQ Berufliche Bildung gGmbH ,Migranten+B.Bildung,"""TEaCH Stuttgart - Türkische Eltern arbeiten an Chancen"" wird von BBQ gGmbH umgesetzt und ist ein integratives Unterstützungsangebot für Familien mit türkischem Migrationshintergrund im Bereich der beruflichen Aus- und Weiterbildung",01.05.2015,30.04.2018,"160.425,00",70469,Deutschland,106,A 5.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,KO BO RA OG TP6,"Kooperative Berufsorientierung Teilprojekt 6 Rastatt und Offenburg
     
     Umsetzung von Projektideen zur kooperativen Berufsorientierung mit Schülergruppen unter Einbindung außerschulischer Kooperationspartner",22.06.2015,31.07.2017,"466.594,38",76437,Deutschland,118,C 4.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Migranten+B.Bildung,"""TEaCH Waiblingen - Türkische Eltern arbeiten an Chancen"" wird von BBQ gGmbH umgesetzt und ist ein integratives Unterstützungsangebot für Familien mit türkischem Migrationshintergrund im Bereich der beruflichen Aus- und Weiterbildung",01.05.2015,30.04.2018,"198.720,00",71332,Deutschland,106,A 5.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,AidaTuttlingen 15-16,Aida Tuttlingen 2015 - 2016,01.01.2015,31.12.2016,"237.116,00",78532,Deutschland,109,B 1.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,ManPower TÜ 16,"Manpower erhöht durch sozialpädagogischem Coaching und therapeutischer Unterstützung, die Beschäftigungsfähigkeit von Männern mit physischen und psychischen Beeinträchtigungen. Die TN werden bis zu sechs Monate betreut.",01.01.2016,31.12.2016,"74.487,18",72072,Deutschland,109,B 1.1,.
BBQ Berufliche Bildung gGmbH ,runway V-S 2016,"runway V-S 2016 - Schulbegleitendes Angebot für junge Flüchtlinge / Migranten beim Übergang Schule-Beruf: Informationsvermittlung, Bewerbungstraining, Praxistage, sozialpädagogische Betreuung, Ferienangebote, Mentoring.",01.01.2016,31.12.2016,"99.008,88",78050,Deutschland,115,C 1.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,JuFA 2016 - 2018,"JuFA 2016-2018 - Entwicklung/Erprobung neuer Ausbildungsmodelle für Flüchtlinge, Kooperation mit Unternehmen und Berufsschulen, Ausbildungsvorbereitung und Begleitung TN, Übergangsgestaltung, AsA, Netwerkarbeit",01.02.2016,31.01.2018,"388.320,00",76135,Deutschland,103,A 2.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Ausb. International,Go for Europe - Internationalisierung der beruflichen Ausbildung,01.01.2015,31.12.2017,"1.230.190,57",70469,Deutschland,106,A 5.1,www.bbq-zukunftskurs.de
BBQ Berufliche Bildung gGmbH ,BPJ 21 2015,BPJ 21 2015 - Berufspraktisches Jahr,01.01.2015,31.12.2015,"3.183.488,00",70469,Deutschland,103,A 2.1,.
BBQ Berufliche Bildung gGmbH ,KO BO KO DS TP8,"Kooperative Berufsorientierung Teilprojekt 8 Schulamt Konstanz und Donaueschingen
     
     Umsetzung von Projektideen zur kooperativen Berufsorientierung mit Schülergruppen unter Einbindung außerschulischer Kooperationspartner",22.06.2015,31.07.2017,"466.594,38",78467,Deutschland,118,C 4.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Migranten+B.Bildung,"""TEaCH Ulm - Türkische Eltern arbeiten an Chancen"" wird von BBQ gGmbH umgesetzt und ist ein integratives Unterstützungsangebot für Familien mit türkischem Migrationshintergrund im Bereich der beruflichen Aus- und Weiterbildung",01.05.2015,30.04.2018,"168.912,00",89073,Deutschland,106,A 5.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Aktiv HD 2016,Aktiv HD 2016 - Das Projekt Aktiv unterstützt durch intensive sozialpädagogische Begleitung benachteiligte junge Frauen und Männer bei der persönlichen Stabilisierung und dem Einstieg in den ersten Arbeitsmarkt.,01.01.2016,31.12.2016,"116.230,32",69115,Deutschland,115,C 1.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Aida Rottweil 15-16,Aida Rottweil 15-16,01.01.2015,31.12.2016,"235.940,00",78628,Deutschland,109,B 1.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,KO BO FB LÖ TP7,"Kooperative Berufsorientierung Teilprojekt 7 Freiburg und Lörrach
       
       Umsetzung von Projektideen zur kooperativen Berufsorientierung mit Schülergruppen unter Einbindung außerschulischer Kooperationspartner",22.06.2015,31.07.2017,"466.594,38",79100,Deutschland,118,C 4.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,KO BO ALB TÜ TP10,"Kooperative Berufsorientierung Teilprojekt 10 Schulamt Albstadt und Tübingen
     
     Umsetzung von Projektideen zur kooperativen Berufsorientierung mit Schülergruppen unter Einbindung außerschulischer Kooperationspartner",22.06.2015,31.07.2017,"466.594,38",72458,Deutschland,118,C 4.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Leuchtturm ES 2016,"Individuelle Unterstützung von Jugendlichen u. 25 Jahre in der Schule, im Übergang Schule-Beruf und in der Ausbildung. Einsatz von Mentoren, Akquise, Betreuung und Fortbildung ehrenamtlicher Mentoren.",01.01.2016,31.12.2016,"115.000,00",73728,Deutschland,115,C 1.1,.
BBQ Berufliche Bildung gGmbH ,ZIB Balingen 15-16,ZIB Balingen 15-16,01.01.2015,31.12.2016,"136.000,00",72336,Deutschland,109,B 1.1,.
BBQ Berufliche Bildung gGmbH ,BWK Instensiv ZAK 15,BWK Instensiv ZAK 15-16,01.01.2015,31.12.2016,"245.370,00",72336,Deutschland,115,C 1.1,.
BBQ Berufliche Bildung gGmbH ,RIA RT 2016,"Individuelle Unterstützung von jungen Erwachsenen unter 25 Jahren, die mehrfache Vermittlungshemmnisse aufweisen und aktuell als nicht auf den Arbeitsmarkt vermittelbar gelten.",01.01.2016,31.12.2016,"118.947,12",72762,Deutschland,109,B 1.1,.
BBQ Berufliche Bildung gGmbH ,Migranten+B.Bildung,"""TEaCH Göppingen - Türkische Eltern arbeiten an Chancen"" wird von BBQ gGmbH umgesetzt und ist ein integratives Unterstützungsangebot für Familien mit türkischem Migrationshintergrund im Bereich der beruflichen Aus- und Weiterbildung",01.05.2015,30.04.2018,"138.690,00",73033,Deutschland,106,A 5.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,KO BO GP TP11,"Kooperative Berufsorientierung Teilprojekt 11 Schulamt Göppingen
     
     Umsetzung von Projektideen zur Kooperativen Berufsorientierung mit Schülergruppen unter Einbindung außerschulischer Kooperationspartner",22.06.2015,31.07.2017,"232.128,66",73033,Deutschland,118,C 4.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,RIA Reutlingen 15-16,RIA Reutlingen 2015-2016,01.01.2015,31.12.2015,"117.832,00",72762,Deutschland,109,B 1.1,.
BBQ Berufliche Bildung gGmbH ,Aktiv Heidelberg 15,Aktiv Heidelberg 2015,01.01.2015,31.12.2015,"100.195,19",69115,Deutschland,115,C 1.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,Leuchtturm ES 2015,Leuchtturm Esslingen 2015,01.01.2015,31.12.2015,"120.000,00",73728,Deutschland,115,C 1.1,.
BBQ Berufliche Bildung gGmbH ,PotENZial Enzkr15-16,PotENZial Enzkreis 2015-16,01.01.2015,31.12.2016,"206.892,00",75172,Deutschland,109,B 1.1,www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,FAMOS Calw 15-16,Famos Calw 2015 - 2016,01.01.2015,31.12.2016,"206.436,00",75363,Deutschland,109,B 1.1,http://www.biwe-bbq.de
BBQ Berufliche Bildung gGmbH ,BPJ 21 2016-2018 (2),BPJ 21 - Berufspraktisches Jahr,01.01.2017,31.12.2018,"6.392.224,00",70469,Deutschland,103,A 2.1,.
BBQ Berufliche Bildung gGmbH ,Familienbew. Arbeit,Familienbewusste Arbeitswelt (familyNET 2015-2017),01.01.2015,31.12.2017,"1.712.319,27",70469,Deutschland,106,A 5.1,www.biwe-bbq.de
BED Dienstleistungen Inh. Bärbel Elixmann ,Coaching,Föderprogramm Coaching 2015,23.03.2015,23.06.2016,"1.600,00",74078,Deutschland,106,A 5.1,www.rkw-bw.de
BEQUA gGmbH  ,SUCHT u. ARBEIT PLUS,SUCHT und ARBEIT PLUS: Langzeitarbeitslose Menschen mit Problemen im Umgang mit Alkohol und den häufig daraus folgenden psychosozialen Folgeproblemen werden im Projekt individuell und intensiv sozialpädagogisch begleitet.,01.01.2016,31.12.2016,"134.881,45",76646,Deutschland,109,B 1.1,www.bequa-ggmbh.de
BEQUA gGmbH  ,Sucht u. Arbeit Plus,Sucht und Arbeit Plus,01.01.2015,31.12.2015,"164.256,68",76646,Deutschland,109,B 1.1,www.bequa-ggmbh.de
"BFI Baubetreuungs-, Finanzierungsvermittlungs- und Immobilien GmbH",Coaching,Förderprogramm Coaching 2015,15.12.2015,30.03.2016,"12.000,00",71706,Deutschland,106,A 5.1,www.bfi-immo.de
BIMwelt Systems  ,Coaching,Förderprogramm Coaching 2015,15.07.2015,30.06.2016,"12.000,00",70188,Deutschland,106,A 5.1,www.bimwelt.de
BITSTEPS Alpine e.K. Inh. Michael Helbig,Coaching,Förderprogramm Coaching 2015,29.06.2015,31.05.2016,"12.000,00",88045,Deutschland,106,A 5.1,www.bitsteps-alpine.de
BJS alphaloop GmbH  ,Coaching,Förderprogramm Coaching 2015,21.10.2015,20.10.2016,"12.000,00",71287,Deutschland,106,A 5.1,www.bjs-alphaloop.de
BJS alphaloop GmbH  ,Coaching,Förderprogramm Coaching 2016,20.02.2016,19.02.2017,"9.000,00",71287,Deutschland,106,A 5.1,www.bjs-alphaloop.de
BTI Business Training International GmbH ,Coaching,Förderprogramm Coaching 2016,15.04.2016,14.04.2017,"9.000,00",70176,Deutschland,106,A 5.1,www.bti-online.com
BUT Blech- und Tortechnik GmbH ,Coaching,Förderprogramm Coaching 2015,15.06.2015,31.05.2016,"12.000,00",77933,Deutschland,106,A 5.1,www.but-lahr.de
BVB Kraftfahrschule Rheinfelden GmbH ,Fachkurse,Förderprogramm Fachkurse 2015-2016,16.01.2016,31.08.2016,"89.835,00",79618,Deutschland,106,A 5.1,www.bvbgmbh.de
BW Business Bridge UG  ,Coaching,Förderprogramm Coaching 2015,23.07.2015,31.12.2015,"12.000,00",70178,Deutschland,106,A 5.1,www.bwbb.de
BWHM GmbH Beratungs- und Wirtschaftsf.gesellsch. f. Handwerk u. Mittelstand,Fachkurse,Förderprogramm Fachkurse 2015-2016,07.04.2016,13.07.2016,"29.175,00",74078,Deutschland,106,A 5.1,www.bwhm-beratung.de
BWHM GmbH Beratungs- und Wirtschaftsf.gesellsch. f. Handwerk u. Mittelstand,Fachkurse,Förderprogramm Fachkurse 2015,07.05.2015,03.07.2015,"2.622,77",88046,Deutschland,106,A 5.1,www.bwhm-beratung.de
BWHM GmbH Beratungs- und Wirtschaftsf.gesellsch. f. Handwerk u. Mittelstand,EXI-Gründung,EXI-Gründungsgutscheine - Vorgründungsberatung,01.01.2015,31.12.2017,"1.624.830,70",70191,Deutschland,106,A 5.1,www.bwhm-beratung.de
Baden-Württembergischer Landesverband f. Prävention u. Rehabilitation gGmbH,Chance 2015-ZIEL,Chance 2015-ZIEL,01.01.2015,31.12.2015,"131.056,66",77933,Deutschland,109,B 1.1,www.bw-lv.de
Baden-Württembergischer Landesverband f. Prävention u. Rehabilitation gGmbH,DO IT,"""DO IT"", ein Arbeitsprojekt für langzeitarbeitslose Drogenabhängige/suchtgefährdete Menschen im SGB II Bezug. Es dient der Orientierung, der Integration ins Erwerbsleben und somit der Teilhabe in der Gemeinschaft.",01.01.2016,31.12.2016,"129.733,50",77933,Deutschland,109,B 1.1,www.bw-lv.de
Bader Elektrotechnik e.K. ,Coaching,Förderprogramm Coaching 2015,21.04.2015,20.04.2016,"0,00",71549,Deutschland,106,A 5.1,www.elektrotechnik-bader.de
Bader Pulverbeschichtung GmbH ,Coaching,Förderprogramm Coaching 2015,05.05.2015,05.05.2016,"12.000,00",73434,Deutschland,106,A 5.1,www.bader-pulver.de
Bau-Flaschnerei Winter  ,Coaching,Förderprogramm Coaching 2015,19.05.2015,19.05.2016,"12.000,00",73431,Deutschland,106,A 5.1,www.bauflaschnerei-winter.de
Bauakademie Biberach  ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"101.880,00",88400,Deutschland,106,A 5.1,www.akademie-biberach.de
Bauakademie Biberach  ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"238.875,00",88400,Deutschland,106,A 5.1,www.akademie-biberach.de
Bauer Studios GmbH  ,Coaching,Förderprogramm Coaching 2015,23.07.2015,20.07.2016,"12.000,00",71634,Deutschland,106,A 5.1,www.bauerstudios.de
Baumgardt GmbH  ,Coaching,Förderprogramm Coaching 2016,10.02.2016,31.01.2017,"9.000,00",70437,Deutschland,106,A 5.1,www.baumgardt.com
Baumgartner Gaststätten Betriebe GmbH ,Coaching,Förderprogramm Coaching 2015,01.04.2015,01.04.2016,"12.000,00",79110,Deutschland,106,A 5.1,www.hirschen-freiburg.de
BdNI Akademie e.K.  ,Fachkurse,Förderprogramm Fachkurse 2015,20.04.2015,30.09.2015,"0,00",71141,Deutschland,106,A 5.1,www.bdni.de
Belle electronic GmbH  ,Coaching,Förderprogramm Coaching 2015,05.11.2015,05.11.2016,"4.000,00",74360,Deutschland,106,A 5.1,www.belle-electronic.de
Berghof Products + Instruments GmbH ,Coaching,Förderprogramm Coaching 2016,04.04.2016,01.04.2017,"9.000,00",72800,Deutschland,106,A 5.1,www.berghof.com
Bergmann & Hillebrand GmbH & Co.KG ,Coaching,Förderprogramm Coaching 2015,28.09.2015,27.09.2016,"12.000,00",76344,Deutschland,106,A 5.1,www.bergmannhillebrand.de
Berlin's Krone Lamm Hotelbetrieb GmbH ,Coaching,Förderprogramm Coaching 2015,01.11.2015,31.10.2016,"12.000,00",75385,Deutschland,106,A 5.1,www.berlins-hotel.de
Berlitz Deutschland GmbH  ,Fachkurse,Förderprogramm Fachkurse 2015,01.04.2015,31.08.2015,"0,00",79098,Deutschland,106,A 5.1,www.berlitz.de
Berlitz Deutschland GmbH  ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"182.741,06",79098,Deutschland,106,A 5.1,www.berlitz.de
Bernhard Heinzelmann  ,Coaching,Förderprogramm Coaching 2015,20.04.2015,19.04.2016,"12.000,00",72379,Deutschland,106,A 5.1,www.landgasthaus-kaiser.de
Berufliche Bildungsstätte Tuttlingen GmbH ,Fachkurse EM,Förderprogramm Fachkurse 2015 Schwerpunkt Elektromobilität,01.01.2015,31.08.2015,"0,00",78532,Deutschland,106,A 5.1,www.bbt-tut.de
Berufliche Bildungsstätte Tuttlingen GmbH ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"1.057,00",78532,Deutschland,106,A 5.1,www.bbt-tut.de
Berufliche Bildungsstätte Tuttlingen GmbH ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"238.259,00",78532,Deutschland,106,A 5.1,www.bbt-tut.de
Berufliche Bildungsstätte Tuttlingen GmbH ,Fachkurse EM,Förderprogramm Fachkurse EM 2015/2016,01.09.2015,31.08.2016,"20.696,00",78532,Deutschland,106,A 5.1,www.bbt-tut.de
Berufliche Fortbildungszentren der Bayerischen Wirtschaft,JuFA  2016-2018,JuFA  2016-2018 -Integration durch Ausbildung: Junge Flüchtlinge werden intensiv auf die Aufnahme einer Ausbildung vorbereitet und das Ausbildungsverhältnis in weiteren Verlauf stabilisiert.,01.02.2016,31.01.2018,"183.284,80",73431,Deutschland,103,A 2.1,www.bfz.de
Berufsbildungswerk Adolf Aich gGmbH ,IMPULS F,"IMPULS F - Verbesserung der Beschäftigungsfähigkeit und Teilhabechancen von Menschen, die besonders von Armut und Ausgrenzung bedroht sind.",18.01.2016,18.12.2016,"152.241,97",88214,Deutschland,109,B 1.1,.
Berufsbildungswerk Adolf Aich gGmbH ,IMPULS,IMPULS - Verbesserung der Beschäftigungs- und Vermittlungsfähigkeit von Langzeitarbeitslosen mit besonderen Vermittlungshemmnissen.,07.01.2015,31.12.2015,"155.960,78",88214,Deutschland,109,B 1.1,.
Berufsbildungswerk Neckargemünd gGmbH ,Jobscout Heidelberg ,"Jobscout Heidelberg - Jobscout ist ein Coaching- und Integrationsprojekt, das erwerbsfähige Leistungsberechtigte unterstützt, einen Platz auf dem Arbeitsmarkt zu finden.",01.01.2016,31.12.2016,"136.720,60",69123,Deutschland,109,B 1.1,www.bbw-neckargmünd.de
Berufsbildungswerk Neckargemünd gGmbH ,AMVIA 2015,"AMVIA
      Alleinerziehende Mütter und Väter realisieren den beruflichen Einstieg in Ausbildung und Arbeit; Vorbereitung und Vermittlung in (Teilzeit-) Ausbildung und Strukturerhebung der Kinderbetreuungsmöglichkeiten (auch im Notfall)",01.01.2015,31.12.2015,"99.069,89",69123,Deutschland,109,B 1.1,www.bbw-neckargemuend.de
Berufsbildungswerk Neckargemünd gGmbH ,AMVIA 2016,"AMVIA 2016 - Beratung und Begleitung von Alleinerziehenden bei Berufsorientierung und Stellensuche, Organisation des Alltags zur Stabilisierung von Berufseinstieg und Nachhaltigkeit einer Ausbildung oder Beschäftigung.",01.01.2016,31.12.2016,"137.280,60",69151,Deutschland,109,B 1.1,www.bbw-neckargmünd.de
Berufsbildungswerk Neckargemünd gGmbH ,Jugendperspektive 16,"Jugendperspektive - Praxisnahe, zügige und individuelle Unterstützung des Übergangs Schule-Beruf sowie Berufswegeplanung nach längerer Arbeitslosigkeit mit (Neu-) Entdeckung von Ressourcen. Ziel ist die Vermittlung in Ausbildung oder Arbeit.",01.01.2016,31.12.2016,"210.499,88",69123,Deutschland,115,C 1.1,www.bbw-neckargmünd.de
Berufsbildungswerk Neckargemünd gGmbH ,Jobscout Schw.,"Jobscout Schwetzingen - Jobscout ist Coaching- und Integrationsprojekt, das erwerbsfähige Leistungsberechtigte unterstützt, einen Platz auf dem Arbeitsmarkt zu finden.",01.01.2016,31.12.2016,"136.720,60",68723,Deutschland,109,B 1.1,www.bbw-neckargmünd.de
Berufsbildungswerk Neckargemünd gGmbH ,ArgeS Plus Schw. 15,"ArgeS Plus
    Arbeit im gesunden System widmet sich dem Zusammenhang von Arbeitslosigkeit und Krankheit in wechselseitiger Beziehung mit Zielen einer geregelten Tagesstruktur, gesundheitbewusstem Lebensstil sowie Integration in Beschäftigung.",01.01.2015,31.12.2015,"119.740,18",68723,Deutschland,109,B 1.1,www.bbw-neckargemuend.de
Berufsbildungswerk Neckargemünd gGmbH ,ArgeS+ Heidelberg,"ArgeS Plus Heidelberg
    Arbeit im gesunden System widmet sich dem Zusammenhang von Arbeitslosigkeit und Krankheit in wechselseitiger Beziehung mit Zielen einer geregelten Tagesstruktur, gesundheitsbewusstem Lebenstil sowie Integration in Beschäftigung.",01.01.2015,31.12.2015,"125.210,46",69123,Deutschland,109,B 1.1,www.bbw-neckargemuend.de
Berufsbildungswerk Neckargemünd gGmbH ,Jugendperspektive 15,"esf-jugendperspektive.rnk 2015
     Praxisnahe, rechtzeitige und individuelle Unterstützung des Übergangs Schule-Beruf. Berufswegeplanung nach längerer Arbeitslosigkeit mit Neu- Entdeckung von Ressourcen. Integration in Ausbildung oder Beschäftigung.",01.01.2015,31.12.2015,"163.576,28",69123,Deutschland,115,C 1.1,www.bbw-neckargemuend.de
Berufsbildungswerk Waiblingen gGmbH ,SMARTmobil,Smartmobil: Stabilisierung/Miteinander/Arbeit/Respekt/Toleranz,01.01.2015,31.12.2015,"121.087,72",73730,Deutschland,109,B 1.1,","
Berufsbildungswerk Waiblingen gGmbH ,Mehr!,"Mehr! -sprechen, - verstehen, -erreichen
 Jugendliche für Schulabschluss und einen Übergang in eine duale Berufsausbildung stark machen: Individuell fördern, Barrieren der Sprachkompetenz und Schulmüdigkeit überwinden, Abbrüche vermeiden.",01.01.2015,31.12.2015,"170.217,08",71332,Deutschland,115,C 1.1,www.bbw-waiblingen.de
Berufsbildungswerk Waiblingen gGmbH ,Mehr erreichen!,"Mehr erreichen!
     Intensivförderung für Schüler/innen mit multiplen Problemlagen, nicht ausreichenden sprachlichen Kompetenzen zur Erlangung von HSA oder Ausbildung.Zielgruppe:Schüler/innen der Förder- u. Gemeinschaftsschule u. Berufsbildungswerk Waibl",01.01.2016,31.12.2016,"106.222,44",71332,Deutschland,115,C 1.1,www.bbw-waiblingen.de
Berufsbildungswerk Waiblingen gGmbH ,SMARTmobil 2016,"SMARTmobil 2016: S = Stabilisierung, M = Miteinander, A = Arbeit, R = Respekt, T = Toleranz",01.01.2016,31.12.2016,"109.423,80",73730,Deutschland,109,B 1.1,.
Berufsbildungswerk Waiblingen gGmbH ,JUMP UP,JUMP UP - junge Menschen mit Fluchterfahrung haben Plan und Perspektive,01.01.2016,31.12.2016,"112.528,45",73730,Deutschland,109,B 1.1,.
Berufsbildungswerk des DGB GmbH bfw  Unternehmen f.,ZAP,ZAP - Zukunft in Arbeit mit Perspektive: berufliche und soziale Integration von Strafgefangenen. Das Projekt ist eine Koordinierungsstelle und stellt bereits während der Haft die Verbindungen in die Arbeitswelt und zu den sozialen Strukturen her.,01.01.2015,31.12.2017,"1.463.442,75",88212,Deutschland,109,B 1.1,.
Berufsfortbildungswerk Gem. Bildungseinrichtung des DGB GmbH,ReSo Adelsheim,"ReSo Adelsheim: Schulische, berufliche, ausbildungsbegleitende und kulturelle Integration junger Strafgefangener.",01.01.2015,31.12.2017,"1.571.831,85",74740,Deutschland,109,B 1.1,www.bfw.de
Berufsförderungswerk der Südbadischen Bauwirtschaft GmbH  (BFW),Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"162.450,00",79100,Deutschland,106,A 5.1,www.bau-bildung-bw.de
