Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
OMO sg Tongerlo,OMO sg Tongerlo,,ESF,,"Da Vinci College bereidt met subsidie van het ESF meer dan honderd van de eigen praktijkleerlingen voor op een al dan niet beschermde baan. Ook een mbo-vervolgopleiding op niveau 1 behoort tot de mogelijkheden. De leerlingen krijgen:��
coaching en training in sociale vaardigheid;��
    realistische arbeidstraining tijdens interne en externe stages;��
    vakcursussen, bijvoorbeeld Heftruck of VCA;��
    nazorg: begeleiding nadat ze de school verlaten hebben.
",,267.606,,,669.016,40,11.02.2016,31.07.2008,30.07.2009,
CSG &quot;Liudger&quot; - locatie De Ring ( Praktijkonderwijs),CSG &quot;Liudger&quot; - locatie De Ring (Praktijkonderwijs),,ESF,,"Horzion Educatief Centrum begeleidt met subsidie van het ESF jongeren naar een baan of naar vervolgonderwijs op mbo-1-niveau. De vijftig deelnemende leerlingen krijgen:��
een toets die hun mogelijkheden en de eisen van de arbeidsmarkt op elkaar afstemt en die een individueel profiel oplevert;��
    praktijktraining;��
    vakcursussen zoals horeca, houtbewerking, lassen, fitness of schoonmaken.
",,98.058,,,245.147,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool De Sluis,Praktijkschool De Sluis,,ESF,,"Praktijkschool De Sluis begeleidt met subsidie van het ESF zijn leerlingen naar een plek op de regionale arbeidsmarkt. Het project bestaat uit de volgende onderdelen:��
leerling-werkplaatsen;��
    vakcursussen;��
    nazorg: begeleiding van oud-leerlingen;��
    netwerkvorming.
",,121.500,,,306.608,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool De Schakel,Praktijkschool De Schakel,,ESF,,"De Schakel begeleidt met subsidie van het ESF zijn praktijkleerlingen naar een baan. Het project bestaat uit de volgende onderdelen:��
nabootsing van praktijksituaties;��
    stages;��
    vaktrainingen;��
    nazorg: begeleiding van oud-leerlingen.
",,40.546,,,103.102,39,11.02.2016,31.07.2008,30.07.2009,
Grotius College,Grotius College,,ESF,,Het Grotius College begeleidt met subsidie van het ESF zijn praktijkleerlingen naar een al dan niet beschermde baan. Voorbereiding op een vervolgopleiding behoort binnen dit project ook tot de mogelijkheden. Dat komt in de praktijk neer op een opleiding op mbo-1-niveau of beroepsbegeleidend onderwijs.,,243.040,,,607.600,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool De Maat,Praktijkschool De Maat,,ESF,,"De Maat begeleidt honderd leerlingen naar een baan of naar vervolgonderwijs op mbo-1-niveau. Dat gebeurt deels met geld van het ESF. De scholieren hebben moeite met leren of zij hebben gedragsproblemen. Het project bevat de volgende elementen:��
een toets die de mogelijkheden van elke leerling en de eisen van vervolgonderwijs of arbeidsmarkt op elkaar afstemt;��
    leerling-werkplaatsen: nabootsing en oefenen van praktijksituaties;��
    vakcursussen.
",,173.446,,,433.616,40,11.02.2016,31.07.2008,30.07.2009,
stichting respont,Stichting Respont,,ESF,,"Het Bolwerk bereidt met subsidie van het ESF zijn praktijkleerlingen voor op een baan. De leerlingen krijgen:��
praktijktraining naar keus;��
    vakcursussen met certificaat naar keus;��
    stages;��
    baangarantietrajecten.
De Spinaker werkt hierbij samen met landelijke en regionale opleidingscentra, werkgevers en andere organisaties uit het werkgebied.",,170.728,,,437.256,39,11.02.2016,31.07.2008,30.07.2009,
"Etty Hillesum Lyceum, lokatie Arkelstein","Etty Hillesum Lyceum, lokatie Arkelstein",,ESF,,"Etty Hillesum Lyceum Arkelstein bereidt 130 praktijkleerlingen voor op een baan of op vervolgonderwijs op mbo-1-niveau. Dat gebeurt deels met ESF-geld. De scholieren hebben moeite met leren of zij hebben gedragsproblemen. Het project bevat de volgende elementen:��
het testen van vaardigheden in leerling-werkplaatsen: nabootsing en oefenen van praktijksituaties in bijvoorbeeld groenonderhoud of verzorging;��
    theorievakken: beroepenori��ntatie, stagebespreking, sollicitatietraining en training werknemersvaardigheden;
    vakcursussen, zoals houtbewerking, metaal of zorghulp;��
    nazorg: begeleiding van oud-leerlingen.
",,243.245,,,608.114,40,11.02.2016,31.07.2008,30.07.2009,
Heliomare Onderwijs VSO,Heliomare Onderwijs VSO,,ESF,,"Heliomare is een school voor Speciaal en Voortgezet Speciaal Onderwijs voor kinderen en jongeren met een lichamelijke, verstandelijke of meervoudige beperking. De school bereidt met ESF-subsidie honderd leerlingen voor op een baan. Het project bevat de volgende elementen: een toets die de mogelijkheden van de leerling en de eisen van de arbeidsmarkt op elkaar afstemt;�� nabootsing van praktijksituaties;�� individuele begeleiding;�� vakcursussen, afgerond met een certificaat;�� nazorg: begeleiding van oud-leerlingen;�� samenwerking met andere partijen uit het werkveld.",,382.534,,,956.336,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool Westfriesland locatie Hoorn,Praktijkschool Westfriesland locatie Hoorn,,ESF,,"Praktijkschool Westfriesland Hoorn begeleidt 125 jongeren naar een baan, een beschermde werkplek of naar vervolgonderwijs. Dat gebeurt met steun van het ESF. Het project bestaat uit de volgende onderdelen:��
arbeidskundig onderzoek: de mogelijkheden van elke leerling afstemmen op de eisen van arbeidsmarkt of vervolgonderzoek;��
    nabootsing van praktijksituaties in leerling-werkplaatsen;��
    aanbieden van vakcursussen in samenwerking met andere scholen;��
    nazorg: begeleiding van oud-leerlingen;��
    netwerken met scholen, bedrijven en instanties.
",,175.353,,,438.383,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool Westfriesland locatie Stede Broec,Praktijkschool Westfriesland locatie Stede Broec,,ESF,,"Praktijkschool Westfriesland Stede Broec begeleidt honderd jongeren naar een baan, een beschermde werkplek of naar vervolgonderwijs. Dat gebeurt met steun van het ESF. Het project bestaat uit de volgende onderdelen:��
arbeidskundig onderzoek: de mogelijkheden van elke leerling afstemmen op de eisen van arbeidsmarkt of vervolgonderzoek;��
    nabootsing van praktijksituaties in leerling-werkplaatsen;��
    aanbieden van vakcursussen in samenwerking met andere scholen;
    nazorg: begeleiding van oud-leerlingen;��
    netwerken met scholen, bedrijven en instanties.
",,198.428,,,496.071,40,11.02.2016,31.07.2008,30.07.2009,
Stichting Roelof van Echten College,Stichting Roelof van Echten College,,ESF,,"Praktijkschool Westfriesland Stede Broec begeleidt honderd jongeren naar een baan, een beschermde werkplek of naar vervolgonderwijs. Dat gebeurt met steun van het ESF. Het project bestaat uit de volgende onderdelen:��
arbeidskundig onderzoek: de mogelijkheden van elke leerling afstemmen op de eisen van arbeidsmarkt of vervolgonderzoek;��
    nabootsing van praktijksituaties in leerling-werkplaatsen;��
    aanbieden van vakcursussen in samenwerking met andere scholen;��
    nazorg: begeleiding van oud-leerlingen;��
    netwerken met scholen, bedrijven en instanties.
",,165.475,,,413.688,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool De Pijler,Praktijkschool De Pijler,,ESF,,"De Pijler is een school voor praktijkonderwijs. De school begeleidt zijn leerlingen naar een baan of naar een situatie waarin leren en werken gecombineerd worden. Dat gebeurt met steun van het ESF. Het project bestaat uit de volgende onderdelen:��
een toets die de mogelijkheden van de leerling en de eisen van de arbeidsmarkt op elkaar afstemt;��
    nabootsing van praktijksituaties in leerling-werkplaatsen;��
    vakcursussen;��
    nazorg: begeleiding van oud-leerlingen;��
    deelname in een regionaal netwerk.
",,166.711,,,420.468,40,11.02.2016,31.07.2008,30.07.2009,
dr. D. Herdersche̻school,dr. D. Herdersche̻school,,ESF,,"De dr. D. Herdersche̻school is een school voor jongeren die zeer veel moeite hebben met leren. Met steun van het ESF begeleidt de school deze leerlingen naar een baan of naar begeleid werk. Het project bevat de volgende elementen:��
het testen van de mogelijkheden van de leerling;��
    leer-werkplaatsen: oefenen van praktijksituaties;��
    stages;��
    ontwikkelen van vakcursussen;��
    deelname in regionale netwerken.
",,199.187,,,497.968,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkschool Arentheem,Praktijkschool Arentheem,,ESF,,"Praktijkschool Arentheem begeleidt 98 leerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau. Dit project wordt gesubsidieerd door het ESF en bestaat uit de volgende onderdelen:��
arbeidskundig onderzoek: afstemmen van de mogelijkheden van de leerling op de eisen van de arbeidsmarkt;��
    leerling-werkplaatsen: nabootsing van praktijksituaties en testen van competenties;��
    arbeidstraining;��
    vakcursussen, zoals veilig werken met de vorkheftruck of de motorkettingzaag;��
    nazorg: begeleiding van oud-leerlingen;
    intensieve deelname aan netwerken.
",,188.218,,,470.546,40,11.02.2016,31.07.2008,30.07.2009,
RSG Steenwijk,RSG Steenwijk,,ESF,,"RSG Tromp Meesters begeleidt 65 praktijkleerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau. Deze jongeren leren moeilijk of hebben gedragsproblemen. Het project, deels betaald door het ESF, bestaat uit de volgende onderdelen:��
leerling-werkplaatsen: nabootsing van praktijksituaties en testen van competenties;��
    arbeidstraining;��
    vakcursussen;
    nazorg: begeleiding van oud-leerlingen;
    intensieve deelname aan netwerken.
",,131.296,,,328.242,40,11.02.2016,31.07.2008,30.07.2009,
't Anker ZMLK,'t Anker ZMLK,,ESF,,"'t Anker is een school voor Speciaal en Voortgezet Speciaal Onderwijs voor zeer moeilijk lerende kinderen en jongeren. De school heeft verschillende 'uitstroomprofielen': textiel, schoonmaak in de groothuishouding, groenvoorziening, winkelassistent, assistent zorg en horeca. Met steun van het ESF helpt de school zijn leerlingen op weg naar een zo zelfstandig mogelijke plek in de samenleving. Het project bevat de volgende elementen:
een toets die de mogelijkheden en interesses van de leerlingen afstemt op de eisen van de arbeidsmarkt;
    arbeidstraining;
    snuffelstages;
    praktijkvakken met excursies en gastdocenten;
    jobcoaching voor oud-leerlingen.
",,140.818,,,352.046,40,11.02.2016,31.07.2008,30.07.2009,
Accent Nijkerk,Accent Nijkerk,,ESF,,"Accent is een school voor Praktijkonderwijs voor leerlingen met een leerachterstand voor wie het reguliere vmbo te hoog gegrepen is. Met steun van het ESF helpt de school 176 leerlingen op weg naar een zo zelfstandig mogelijke plek op de arbeidsmarkt.
Het ESF-traject begint met een toets, die de mogelijkheden van de leerling en de eisen van de arbeidsmarkt in kaart brengt. Op basis daarvan krijgt elke leerling een individueel begeleidingsplan. Situaties op de werkvloer worden nagebootst en geanalyseerd. Eenmaal aan het werk krijgen de oud-leerlingen nog steeds hulp van de school.
Accent werkt bij deze trajecten intensief samen met het bedrijfsleven, vrijwilligers, sportverenigingen, andere scholen, instellingen voor re-integratie en instellingen voor zorg en welzijn. De school benadrukt vooral de kansen van de leerling, niet zijn beperkingen.",,83.714,,,209.285,40,11.02.2016,31.07.2008,30.07.2009,
Merewade College,Merewade College,,ESF,,"Het Merewade College bereidt met subsidie van het ESF zijn praktijkleerlingen voor op een baan. De leerlingen krijgen:��
een toets die hun mogelijkheden en de eisen van de arbeidsmarkt op elkaar afstemt;��
    praktijktraining in leerling-werkplaatsen;��
    vakcursussen en trainingen;
    nazorg: begeleiding nadat ze de school verlaten hebben.
Het Merewade College werkt hierbij samen met organisaties uit het werkgebied.",,216.016,,,540.041,40,11.02.2016,31.07.2008,30.07.2009,
Herman Broerenschool,Herman Broerenschool,,ESF,,"De Herman Broerenschool begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Het project wordt gesteund door het ESF. Ongeveer honderdvijftig leerlingen van vijftien jaar en ouder doen eraan mee.",,305.171,,,762.928,40,11.02.2016,31.07.2008,30.07.2009,
Praktijkonderwijs Boxtel,Praktijkonderwijs Boxtel,,ESF,,"Praktijkonderwijs Boxtel begeleidt zijn leerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Het project krijgt subsidie van het ESF. Ongeveer 83 leerlingen van vijftien jaar en ouder hebben zich ingeschreven.",,126.366,,,317.169,40,11.02.2016,31.07.2008,30.07.2009,
praktijkschool De Sprong,Praktijkschool De Sprong,,ESF,,"De Sprong begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op het niveau van mbo-1 of 2. Aan dit ESF-project doen ongeveer 62 leerlingen van vijftien jaar en ouder mee.",,180.440,,,451.102,40,11.02.2016,31.07.2008,30.07.2009,
Gooise Praktijkschool,Gooise Praktijkschool,,ESF,,"De Gooise Praktijkschool begeleidt met subsidie van het ESF zijn leerlingen naar een al dan niet beschermde baan. Ook een combinatie van werken en leren behoort tot de mogelijkheden. De school gebruikt daarvoor de volgende instrumenten:��
een toets die de mogelijkheden van elke leerling en de eisen van de arbeidsmarkt op elkaar afstemt;��
    nabootsing van praktijksituaties in leerling-werkplaatsen;��
    vakcursussen;
    nazorg: begeleiding van oud-leerlingen, zodat ze hun baan behouden of hun nieuwe opleiding succesvol afronden.
",,278.610,,,696.525,40,11.02.2016,31.07.2008,30.07.2009,
De Rietlanden,De Rietlanden,,ESF,,"De Rietlanden begeleidt met subsidie van het ESF zijn praktijkleerlingen naar een baan. Het project bestaat uit de volgende onderdelen:
een toets die de mogelijkheden van elke individuele leerling en de eisen van de arbeidsmarkt op elkaar afstemt;
    begeleiding van stages in leerling-werkplaatsen;
    nazorg: begeleiding van oud-leerlingen;
    netwerken: contacten met andere scholen, bedrijfsleven, UWV WERKbedrijf en gemeente.
",,162.082,,,405.205,40,11.02.2016,31.07.2008,30.07.2009,
Zonnehuizen,Zonnehuizen,,ESF,,"De Zonnehuisschool begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Aan dit ESF-project doen ongeveer 75 leerlingen van vijftien jaar en ouder mee.",,416.395,,,1.055.276,39,11.02.2016,31.07.2008,30.07.2009,
G.Spijkers,G.Spijkers,,ESF,,"Het Eldecollege begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Aan dit ESF-project doen ongeveer 35 leerlingen van vijftien jaar en ouder mee.",,75.654,,,198.112,38,11.02.2016,31.07.2008,30.07.2009,
Jac.Fruytier Scholengemeenschap,Jac.Fruytier Scholengemeenschap,,ESF,,"Scholengemeenschap Jacques Fruytier begeleidt met subsidie van het ESF zijn leerlingen naar een baan. Het project bestaat uit de volgende onderdelen:��
een toets die de mogelijkheden en interesses van de leerling in kaart brengt;��
    stages;��
    vakcursussen op het gebied van bijvoorbeeld heftruck, horeca of tractor.
",,93.033,,,232.584,40,11.02.2016,31.07.2008,30.07.2009,
Rentray Onderwijs,Rentray Onderwijs,,ESF,,"Het Arbeids Trainings Centrum begeleidt zijn leerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau. Het project wordt deels betaald door het ESF en bestaat uit de volgende elementen:��
een toets die de mogelijkheden van elke individuele leerling en de eisen van de arbeidsmarkt of vervolgonderwijs op elkaar afstemt;��
    leerling-werkplaatsen: nabootsing van praktijksituaties;
    vakcursussen;
    nazorg: begeleiding van oud-leerlingen.
",,213.697,,,540.244,40,11.02.2016,31.07.2008,30.07.2009,
Korczakschool,Korczakschool,,ESF,,"De Korczakschool begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Aan dit door het ESF gesubsidieerde project doen ongeveer veertig leerlingen van vijftien jaar en ouder mee.",,291.396,,,728.492,40,11.02.2016,31.07.2008,30.07.2009,
Xaveriusschool,Xaveriusschool,,ESF,,"De Xaveriusschool begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Aan dit door het ESF gesubsidieerde project doen ongeveer zestig leerlingen van vijftien jaar en ouder mee.",,214.238,,,538.596,40,11.02.2016,31.07.2008,30.07.2009,
VSO Maarland,VSO Maarland,,ESF,,Vso KEGG begeleidt met subsidie van het ESF jongeren naar een baan. De leerlingen zijn slechthorend of doof. Door een uitdagende leeromgeving met vakcursussen en praktijksituaties raken zij optimaal gemotiveerd. De school zorgt voor een goed functionerend netwerk.,,76.385,,,190.965,40,11.02.2016,31.07.2008,30.07.2009,
Prof. Grewelschool,Prof. Grewelschool,,ESF,,"RENN4 is een school Voortgezet Speciaal Onderwijs voor zeer moeilijk lerende en moeilijk opvoedbare jongeren. Met steun van het ESF helpt de school 136 leerlingen op weg naar een zo zelfstandig mogelijke plek op de arbeidsmarkt. Deze scholieren zijn sociaal kwetsbaar en kunnen wel een zetje in de rug gebruiken.
Elke leerling krijgt een individueel begeleidingsplan. Situaties op de werkvloer worden nagebootst en geanalyseerd. Ook biedt de school vakcursussen die worden afgerond met een certificaat. Eenmaal aan het werk krijgen de oud-leerlingen nog steeds hulp van de school.
RENN4 werkt samen andere organisaties uit het werkveld. ",,432.310,,,1.081.792,40,11.02.2016,31.07.2008,30.07.2009,
Mytylschool de Trappenberg,Mytylschool de Trappenberg,,ESF,,"De Trappenberg te Huizen begeleidt 29 praktijkleerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau. Deze jongeren leren moeilijk of hebben gedragsproblemen. Het project, gesubsidieerd door het ESF, bestaat uit de volgende onderdelen:
��
leerling-werkplaatsen: nabootsing van praktijksituaties en testen van competenties;
    stages;
    vakcursussen.
",,117.474,,,293.687,40,11.02.2016,31.07.2008,30.07.2009,
Werkenrode School,Werkenrode School,,ESF,,"Werkenrode School is een school voor Voortgezet Speciaal Onderwijs voor leerlingen tussen de twaalf en twintig jaar met een lichamelijke beperking. Ook chronisch zieke jongeren zijn er welkom. Met steun van het ESF geeft de school de scholieren perspectief op een volwaardige plek in de samenleving. Dat kan op drie manieren:
De toegepaste leerweg. Leerlingen bereiden zich meer voor op het dagelijks leven in de maatschappij dan in de beroepspraktijk. Zij leren door te doen, op straat, in de winkel of in het verkeer.
    De praktijkgerichte leerweg: wat kan en wil ik later worden? De leerweg kent veel praktische vakken, zoals groenvoorziening, metaal, handel &amp;amp; administratie en horeca.
    De theoretische leerweg, die de jongeren ondanks hun fysieke beperking naar diploma's of certificaten brengt: vmbo, havo 1 of 2 en vwo 1 of 2.
",,170.649,,,465.403,37,11.02.2016,31.07.2008,30.07.2009,
Christelijke Scholengemeenschap Veenendaal,Christelijke Scholengemeenschap Veenendaal,,ESF,,"Christelijke Scholengemeenschap Veenendaal bereidt zijn praktijkleerlingen voor op een zo zelfstandig mogelijke plaats in de samenleving. Dat gebeurt deels met subsidie van het ESF. Elke leerling krijgt individuele en gerichte begeleiding die uitgaat van zijn mogelijkheden. De praktijkvakken die hij volgt, worden waar mogelijk afgesloten met een certificaat.
De jongere verlaat de school als hij een baan of een beschermde werkplek heeft gevonden. Hij kan dan een vakopleiding op assistent-niveau volgen.",,222.918,,,557.296,40,11.02.2016,31.07.2008,30.07.2009,
K. Aarden,K. Aarden,,ESF,,"Aquarius en Nautilus, twee instellingen voor Voortgezet Speciaal Onderwijs, willen hun leerlingen buiten de sociale werkvoorziening om naar een echte baan loodsen. Zij doen dat met steun van het ESF. Het gaat om zeer moeilijk lerende jongeren of leerlingen met een vorm van autisme.
Het leertraject van de scholen voorziet in praktische theorie, praktijkbegeleiding en stages. De deelnemende scholieren kunnen kiezen uit houtbewerking, metaalbewerking, persoonlijke verzorging, administratie en horeca.
Intensieve nazorg van oud-leerlingen is onderdeel van het project.",,292.286,,,889.570,33,11.02.2016,31.07.2008,30.07.2009,
Koningin Wilhelma College afd. PrO,Koningin Wilhelma College afd. PrO,,ESF,,"Het Koningin Wilhelmina College bereidt met subsidie van het ESF 35 praktijkleerlingen voor op een baan. De leerlingen zijn weinig zelfstandig en zonder intensieve begeleiding maken zij weinig kans op de arbeidsmarkt. Het project bestaat uit de volgende onderdelen:��
nabootsing en analyse van situaties op de werkvloer;��
    lessen in zelfstandig wonen;��
    netwerkvorming: contact met organisaties in het werkveld.
",,38.376,,,95.942,40,11.02.2016,31.07.2008,30.07.2009,
Prof. Dr. Leo Kannerschool,Prof. Dr. Leo Kannerschool,,ESF,,"De Prof. Dr. Leo Kannerschool begeleidt zijn leerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau. Deze jongeren hebben een vorm van autisme. Het project, deels betaald door het ESF, bestaat uit de volgende onderdelen:
een toets die de mogelijkheden van elke individuele leerling en de eisen van de arbeidsmarkt of vervolgonderwijs op elkaar afstemt;��
    leerling-werkplaatsen: nabootsing van praktijksituaties en testen van competenties;��
    interne stage;��
    vakcursussen, zoals groenvoorziening, horeca of fietstechniek;��
    nazorg: begeleiding van oud-leerlingen binnen een netwerk van organisaties.
",,164.100,,,410.250,40,11.02.2016,31.07.2008,30.07.2009,
Sensis Onderwijs,Sensis Education,,ESF,,Sensis Onderwijs is een vso-school voor blinde en slechtziende jongeren. Met steun van het ESF voert de school een zogeheten arbeidskundig onderzoek uit. Hiermee worden de wensen en mogelijkheden van de leerlingen afgestemd op de eisen van de arbeidsmarkt. Na het onderzoek krijgt de leerling een individueel begeleidingsplan naar een baan of een beschermde werkplek.,,78.484,,,196.211,40,11.02.2016,31.07.2008,30.07.2009,
De Wingerd,De Wingerd,,ESF,,"De Wingerd begeleidt veertig praktijkleerlingen naar een baan of naar een vervolgopleiding. Het gaat om jongeren die moeilijk leren of gedragsproblemen hebben. Daardoor lukt het hun niet om via het reguliere onderwijs aan een diploma te komen. Het project, deels betaald door het ESF, bestaat uit de volgende onderdelen:
een toets die de mogelijkheden van de leerling en de eisen van de arbeidsmarkt of vervolgonderwijs op elkaar afstemt;
    leerwerkplaatsen: nabootsing van praktijksituaties;
    vakcursussen;
    netwerken: contacten met andere organisaties uit het werkveld.
",,89.936,,,224.842,40,11.02.2016,31.07.2008,30.07.2009,
Raayland College,Raayland College,,ESF,,"Het Raayland College bereidt met subsidie van het ESF 45 praktijkleerlingen voor op een baan, een beschermde werkplek of een vervolgopleiding. De leerlingen krijgen:��
een toets die hun mogelijkheden en de eisen van de arbeidsmarkt op elkaar afstemt;��
    nabootsing van situaties op de werkvloer in leerling-werkplaatsen;��
    vakcursussen;
    nazorg: begeleiding nadat ze de school verlaten hebben.
Voor een optimaal resultaat werkt het Raayland College samen met UWV WERKbedrijf, MEE, re-integratiebureaus, het bedrijfsleven en de sociale werkvoorziening.",,100.625,,,251.564,40,11.02.2016,31.07.2008,30.07.2009,
CSG Prins Maurits,CSG Prins Maurits,,ESF,,"Christelijke Scholengemeenschap Prins Maurits begeleidt 37 praktijkleerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau. Het gaat om jongeren die moeilijk leren of gedragsproblemen hebben. Het project, deels betaald door het ESF, bevat de volgende elementen:��
een toets die de mogelijkheden van de leerling en de eisen van de arbeidsmarkt of vervolgonderwijs op elkaar afstemt;��
    leerling-werkplaatsen: nabootsing van praktijksituaties en testen van competenties;��
    arbeidstraining;��
    vakcursussen;��
    netwerken: contacten leggen met alle betrokken instanties.
",,85.189,,,212.973,40,11.02.2016,31.07.2008,30.07.2009,
Het Kwadrant,Het Kwadrant,,ESF,,"Het Kwadrant begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Het ESF subsidieert dit project. ",,130.388,,,325.970,40,11.02.2016,31.07.2008,30.07.2009,
Bonh̦ffer College Praktijkonderwijs,Bonh̦ffer College Praktijkonderwijs,,ESF,,"Op het Bonhoeffer College Vlierstraat in Enschede is een locatie voor praktijkonderwijs. De leerlingen komen op grond van hun capaciteiten niet in aanmerking voor het vmbo. De school begeleidt met subsidie van het ESF 124 jongeren naar een baan, een beschermde werkplek of vervolgonderwijs. Het project bestaat uit de volgende onderdelen:
arbeidskundig onderzoek: een toets die de mogelijkheden van elke individuele leerling en de eisen van de arbeidsmarkt op elkaar afstemt;
    nabootsing van praktijksituaties op leerling-werkplaatsen;
    trainingen: sociale vaardigheden, sollicitatie, computer;
    vakcursussen, bijvoorbeeld groenvoorziening, horeca of zorg;
    samenwerking met het regionale bedrijfsleven.
",,217.850,,,544.626,40,11.02.2016,31.07.2008,30.07.2009,
Wartburg College locatie Marnix,Wartburg College locatie Marnix,,ESF,,"Het Wartburg College bereidt met subsidie van het ESF zijn praktijkleerlingen voor op zo zelfstandig mogelijke plek in de samenleving. De leerlingen krijgen:��
professionele begeleiding;��
    praktijktraining;��
    vakcursussen, waar mogelijk met certificering;��
    opleiding op assistent-niveau (AKA).
",,84.798,,,211.996,40,11.02.2016,31.07.2008,30.07.2009,
Fioretti College,Fioretti College,,ESF,,"Het Fioretti College begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Aan dit door het ESF gesubsidieerde project doen ongeveer honderd leerlingen van vijftien jaar en ouder mee.",,167.546,,,418.866,40,11.02.2016,31.07.2008,30.07.2009,
de Oranjeschelp,de Oranjeschelp,,ESF,,"De Oranjeschelp begeleidt zijn praktijkleerlingen naar een baan, een beschermde werkplek of een vervolgopleiding op mbo-1-niveau. Aan dit door het ESF gesubsidieerde project doen ongeveer veertig leerlingen van vijftien jaar en ouder mee.",,96.942,,,242.355,40,11.02.2016,31.07.2008,30.07.2009,
ZPC Rotterdam,ZPC Rotterdam,,ESF,,"LMC Praktijkonderwijs Huismanstraat begeleidt 118 praktijkleerlingen naar een baan of naar een vervolgopleiding op mbo-1-niveau of assistent-niveau. Het gaat om jongeren die moeilijk leren of gedragsproblemen hebben. Het project, deels betaald door het ESF, bestaat uit de volgende onderdelen:
een toets die de mogelijkheden van elke individuele leerling en de eisen van de arbeidsmarkt of vervolgonderwijs op elkaar afstemt;
    leerling-werkplaatsen: nabootsing van praktijksituaties en testen van competenties;
    arbeidstraining;
    stages;
    vakcursussen.
",,133.424,,,338.700,39,11.02.2016,31.07.2008,30.07.2009,
Stichting Opleidingsfonds HBD,Stichting Opleidingsfonds HBD,,ESF,,"De scholingsgraad in de detailhandel is traditioneel laag. Met steun van het ESF probeert de Stichting Opleidingsfonds HBD daarin verandering te brengen. Laag opgeleide werknemers uit de sector kunnen zich inschrijven voor cursussen en opleidingen. Daarmee neemt hun kennis en kansen toe, evenals de professionaliteit binnen de branche. ",,2.995.836,,,7.489.590,40,11.02.2016,01.02.2009,31.01.2010,
Stichting Opleidings- en Ontwikkelingsfonds voor de schoonmaak- en glazenwassersbranche,Stichting Opleidings- en Ontwikkelingsfonds voor de schoonmaak- en glazenwassersbranche,,ESF,,"Het werk in de schoonmaaksector wordt steeds ingewikkelder. Dat vraagt meer dan ooit om goed gekwalificeerd personeel. Medewerkers in de branche kunnen zich met steun van het ESF laten bijscholen tot echte specialisten. Laagopgeleiden zijn welkom bij een hele serie opleidingen, cursussen en trainingen. Daarmee verhogen zij hun perspectief op de arbeidsmarkt en verbreden zij hun inzetbaarheid.
De opleidingen uit het programma gaan tot mbo-4-niveau. ",,2.999.819,,,7.499.548,40,11.02.2016,01.01.2009,31.12.2009,
Stichting Opleidingsfonds LIFT group,Stichting Opleidingsfonds LIFT group,,ESF,,"Voor honderden laag gekwalificeerde medewerkers uit de textiel-, tapijt-, mode- en interieurbranche is met steun van het ESF een opleidingsplan opgesteld. Het gaat om mensen met een opleidingsniveau tot en met mbo-4. Zij vergroten hun professionele vaardigheden en daarmee hun mogelijkheden op de arbeidsmarkt. Bedrijven met goed opgeleid personeel versterken hun concurrentiepositie en de uitstraling van de hele branche.
SO LIFT is het sectorfonds voor bedrijven in de branche. Dit fonds verzorgt de aanvragen van ESF-subsidie, die rechtstreeks naar de bedrijven gaat die scholing inkopen. ",,1.529.962,,,3.824.907,40,11.02.2016,30.04.2009,29.04.2010,
