Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
KKB Alternative Energie GmbH,Pyrolyseanlage zur Energiegewinnung,2011,2013," 64.624,00"," 64.624,00"
KKS Apparatebau GmbH,Organisationsoptimierung,2007,2008," 3.000,00"," 3.000,00"
Klaus Brehme,Risikomanagement,2009,2016," 0,00"," 0,00"
Klaus Buckup,Thermohydrolog,2008,2014," 172.398,00"," 172.398,00"
Klaus Diße,Erweiterung einer Betriebsstätte,2010,2013," 299.800,00"," 299.800,00"
Klaus Erxleben,Risikomanagement/Fachkräftesicherung,2014,2014," 3.600,00"," 3.600,00"
Klaus Jacobs,Agra  ́2009 Ort: Leipzig,2009,2009," 443,50"," 443,50"
Klaus Jacobs,Agra  ́2011 Ort: Leipzig,2011,2011," 1.033,20"," 1.033,20"
Klaus Krüger,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2011," 112.985,29"," 112.985,29"
Klaus Liedtke,Efa  ́2009 Ort: Leipzig,2009,2010," 692,09"," 692,09"
Klaus Liedtke,HAUS-GARTEN-FREIZEIT  ́2014 Ort: Leipzig,2014,2014," 943,32"," 943,32"
Klaus Liedtke,HAUS-GARTEN-FREIZEIT  ́2015 Ort: Leipzig,2015,2015," 1.989,64"," 1.989,64"
Klaus Liedtke,Haus-Bau & Energie  ́2013 Ort: Ilsenburg,2013,2013," 699,00"," 699,00"
Klaus Liedtke,Haus-Bau & Energie  ́2015 Ort: Ilsenburg,2015,2015," 657,00"," 657,00"
Klaus Liedtke,LBA '2015 Ort: Magdeburg,2015,2015," 1.204,68"," 1.204,68"
Klaus Liedtke,LBA  ́2012 Ort: Magdeburg,2012,2013," 821,52"," 821,52"
Klaus Liedtke,LBA  ́2014 Ort: Magdeburg,2014,2014," 661,32"," 661,32"
Klaus Liedtke,SaaleBau  ́2010 Ort: Halle,2010,2010," 632,40"," 632,40"
Klaus Liedtke,SaaleBau  ́2011 Ort: Halle,2011,2011," 975,12"," 975,12"
Klaus Liedtke,SaaleBau  ́2012 Ort: Halle,2012,2013," 1.113,79"," 1.113,79"
Klaus Liedtke,SaaleBau  ́2013 Ort: Halle,2013,2013," 1.152,88"," 1.152,88"
Klaus Liedtke,SaaleBau  ́2014 Ort: Halle,2014,2014," 1.162,93"," 1.162,93"
Klaus Liedtke,SaaleMesse `2008 Ort: Halle/Saale,2008,2016," 0,00"," 0,00"
Klaus Liedtke,SaaleMesse `2011 Ort: Halle,2011,2011," 938,40"," 938,40"
Klaus Liedtke,SaaleMesse  ́2009 Ort: Halle,2009,2010," 1.159,50"," 1.159,50"
Klaus Liedtke,"SaaleMesse  ́2010 - Bereich ""Handwerk der Region""  Ort:
Halle",2010,2011," 1.164,28"," 1.164,28"
Klaus Liedtke,mitteldeutsche handwerksmesse  ́2009 Ort: Leipzig,2009,2009," 664,15"," 664,15"
Klaus Liedtke,mitteldeutsche handwerksmesse  ́2010 Ort: Leipzig,2010,2010," 864,87"," 864,87"
Klaus Liedtke,mitteldeutsche handwerksmesse  ́2012 Ort: Leipzig,2012,2013," 3.068,70"," 3.068,70"
Klaus-Dieter Poege,Organisationsoptimierung,2014,2015," 3.600,00"," 3.600,00"
Klaus-Dieter Poege,Organisationsoptimierung,2011,2012," 6.000,00"," 6.000,00"
Klebl GmbH,Biologisch-abbaubare Schalungsmittel,2008,2010," 57.275,00"," 57.275,00"
"Klebl GmbH Michael Klebl GmbH &
Co.KG","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2013," 0,00"," 0,00"
Klemmer Maschinenbauteile KG,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2012," 20.101,48"," 20.101,48"
Klemmer Maschinenbauteile KG,Erweiterung einer BetriebsstättePassivhaus sowie für normale Anwendungen,2013,2014," 111.960,23"," 111.960,23"
Klenner GmbH,Organisationsoptimierung,2012,2013," 3.000,00"," 3.000,00"
Klenner GmbH,Organisationsoptimierung,2008,2009," 6.000,00"," 6.000,00"
Klenner GmbH,Risikomanagement,2009,2010," 3.600,00"," 3.600,00"
Klenner GmbH,Stärkung des Innovationspotentials,2013,2013," 3.000,00"," 3.000,00"
Klenner GmbH,Stärkung des Innovationspotentials,2009,2010," 3.600,00"," 3.600,00"
Klenner GmbH,Stärkung des Innovationspotentials,2010,2011," 4.800,00"," 4.800,00"
KlesyMa GmbH,Erweiterung einer Betriebsstätte,2011,2014," 8.027,10"," 8.027,10"
KLETKE Advanced Composites AG,Organisationsoptimierung,2010,2011," 7.200,00"," 7.200,00"
"Klingenberger GmbH
Energiespartechnik,","Entwicklung einer kompakten Energiesparsteuerung für
öffentliche Schwimm- bäder",2008,2009," 150.234,00"," 150.234,00"
"Klingenberger GmbH
Energiespartechnik,",Interbad `2008                                               Ort: Stuttgart,2008,2009," 5.200,00"," 5.200,00"
"Klingenberger GmbH
Energiespartechnik,","Wissenstransfer zu neuen und innovativen Technologien der
Wasseraufbereitung als Basis der strategischen Ausrichtung
des Unternehmens",2009,2010," 47.250,00"," 47.250,00"
"Klingenberger GmbH
Energiespartechnik,",interbad '2014 Ort: Stuttgart,2014,2015," 6.500,00"," 6.500,00"
"Klingenberger GmbH
Energiespartechnik,",interbad `2010 Ort: Stuttgart,2010,2010," 6.500,00"," 6.500,00"
"Klingenberger GmbH
Energiespartechnik,",interbad `2012 Ort: Stuttgart,2012,2013," 6.500,00"," 6.500,00"
KLN Leislau GmbH,Stärkung des Innovationspotentials,2010,2010," 6.000,00"," 6.000,00"
Kloster-Apotheke Jerichow e.K,Organisationsoptimierung,2013,2014," 3.000,00"," 3.000,00"
Klötze,"""Am Hegefeld / Zichtauer Weg"" Oberflächengestaltung 1. BA",2010,2014," 449.450,40"," 449.450,40"
Klötze,Skaterbahn,2014,2015," 100.000,00"," 100.000,00"
Klötze,Zichtauer Weg 2. BA,2011,2014," 178.427,74"," 178.427,74"
Klötze,"Zichtauer Weg 3. BA inklusive Parkplatz
Oberflächengestaltung",2012,2015," 337.503,87"," 337.503,87"
"Klötzer Verkehrsgesellschaft mit
beschränkter Haftung",Organisationsoptimierung,2013,2014," 2.610,00"," 2.610,00"
"KMB Technologie Gesellschaft für
rationelle Fertigung mbH",Erweiterung einer Betriebsstätte,2011,2015," 770.478,53"," 770.478,53"
"KMB Technologie Gesellschaft für
rationelle Fertigung mbH",Erweiterung einer Betriebsstätte,2010,2012," 892.500,00"," 892.500,00"
Knut Röhrich,mitteldeutsche handwerksmesse '2014 Ort: Leipzig,2014,2014," 1.028,68"," 1.028,68"
Knut Schaarschmidt,Risikomanagement / Fachkräftesicherung,2014,2016," 0,00"," 0,00"
Knuth Franke,Risikomanagement,2013,2015," 1.800,00"," 1.800,00"
Koch Edelstahltechnik GmbH,Brau Beviale `2011 Ort: Nürnberg,2011,2012," 5.434,09"," 5.434,09"
Koch Konfektionierungen GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2012," 49.313,51"," 49.313,51"
Koch Konfektionierungen GmbH,Organisationsoptimierung,2010,2011," 7.200,00"," 7.200,00"
Koch-Melktechnik GmbH,Agra  ́2009 Ort: Leipzig,2009,2009," 3.201,93"," 3.201,93"
"Kommunaler Zweckverband Berg-
baufolgelandschaft Goitzsche",Poucher Dorfplatz 3 Plangn./Beratgs.l.,2010,2013," 54.747,26"," 54.746,86"
"Kommunaltechnik Landtechnik
Nutzfahrzeuge Leisla","Entwicklung einer universellen Adapters als Zubehör für
Importfahrzeuge zur Erzeugung von Mulch",2009,2011," 40.015,00"," 40.015,00"
Konditorei Stehwien GmbH,Energie- und Umweltberatung,2010,2011," 7.200,00"," 7.200,00"
Konditorei Stehwien GmbH,Organisationsoptimierung,2009,2010," 3.600,00"," 3.600,00"
KRAFOTEC Pannier GmbH,Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
"KRAFOTEC Pannier GmbH u.
D.Pannier & G. Woitschig GbR","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2009," 34.500,00"," 34.500,00"
"Kraftfahrzeugservice Meineweh
GmbH",Risikomanagement,2012,2013," 2.400,00"," 2.400,00"
"Kraftfahrzeugservice Meineweh
GmbH",Risikomanagement,2013,2015," 3.000,00"," 3.000,00"
"Kraftfahrzeugservice Meineweh
GmbH",Risikomanagement,2011,2012," 4.500,00"," 4.500,00"
"Kraftfahrzeugservice Meineweh
GmbH",Risikomanagement,2009,2010," 6.750,00"," 6.750,00"
"Krage & Gerloff Logistik GmbH und
Gerloff & Krage Grundstücksverw.-
ges. mbH",Erweiterung einer Betriebsstätte,2008,2011," 930.000,00"," 930.000,00"
"KRAIBURG Relastec GmbH & Co.
KG",Erweiterung einer Betriebsstätte,2010,2014," 1.026.198,73"," 1.026.198,73"
Kralitschka & Garz GbR,Risikomanagement,2011,2012," 4.800,00"," 4.800,00"
"Kramer & Best Process Engineering
GmbH","Online-Ermittlung des Korrosionsgrades bei der
Glasherstellung mittels neuronaler Netze",2010,2013," 182.701,00"," 182.701,00"
KRD GmbH,Stärkung des Innovationspotentials,2010,2011," 9.000,00"," 9.000,00"
Kreativ-Fenster-Center GmbH,Organisationsoptimierung,2013,2015," 3.600,00"," 3.600,00"
Kreativ-Fenster-Center GmbH,Risikomanagement,2012,2013," 3.600,00"," 3.600,00"
Krebs & Aulich GmbH,NEWAG,2008,2011," 201.995,00"," 201.995,00"
"Krebs & Aulich GmbH und Jörg-
Hinrich Krebs",Erweiterung einer Betriebsstätte,2012,2016," 0,00"," 0,00"
Kremer Landtechnik GmbH,MEN,2009,2016," 0,00"," 0,00"
Krex GmbH,Risikomanagement,2010,2013," 7.200,00"," 7.200,00"
"Kroppenstedter Ölmühle Walter
Döpelheuer GmbH",Organisationsoptimierung,2010,2011," 2.400,00"," 2.400,00"
"Kroppenstedter Ölmühle Walter
Döpelheuer GmbH",Organisationsoptimierung,2008,2010," 2.400,00"," 2.400,00"
"Kroppenstedter Ölmühle Walter
Döpelheuer GmbH",Organisationsoptimierung,2007,2010," 3.600,00"," 3.600,00"
"Kroppenstedter Ölmühle Walter
Döpelheuer GmbH und","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,," 0,00",
Krüger & Gothe GmbH,Erweiterung einer Betriebsstätte,2010,2015," 351.351,07"," 351.351,07"
Krüger & Gothe GmbH,Stärkung des Innovationspotentials,2009,2016," 0,00"," 0,00"
Krüger Elektronik GmbH,Stärkung des Innovationspotentials,2010,2011," 6.750,00"," 6.750,00"
"Krüger Elektronik GmbH und H. und
M. Krüger GbR",Erweiterung einer Betriebsstätte,2011,2016," 0,00"," 0,00"
Krügers Trockeneis Technik GmbH,HANNOVER MESSE/Industrial Supply  ́2013 Ort: Hannover,2013,2013," 2.106,04"," 2.106,04"
KS ATAG TRIMET Guss GmbH,Errichtung einer Betriebsstätte,2009,2014," 2.673.722,28"," 2.673.722,28"
"KSB AG Frankenthal/Pfalz Werk
Halle/Saale","Entwicklung hocheffizienter Kreiselpumpen-Systeme und
ihrer hocheffizienten elektrischen Antriebssysteme für
Abwasser-Anwendungen",2014,2015," 94.964,79"," 94.964,79"
"KSM Castings Group GmbH und Citic
Dicastal (Europe) Investment
Holdings",Erweiterung einer Betriebsstätte,2009,2014," 2.380.000,00"," 2.380.000,00"
KSM Castings Wernigerode GmbH,"gießtechnische Herstellung von hochfesten gehäuseförmigen
Aluminiumteilen",2009,2011," 112.464,00"," 112.464,00"
"KTS GmbH Kanal- Tief- und
Straßenbau",Organistionsoptimierung,2011,2012," 4.200,00"," 4.200,00"
"KUBRA GmbH Industrie- und
Kunststofftechnik und","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2013," 154.521,00"," 154.521,00"
Kuhnert Drahtwaren GmbH,Erweiterung einer Betriebsstätte,2014,2016," 0,00"," 0,00"
Kultusministerium (MK),"Lenkung innerschulischer pädagogischer und
organisatorischer Prozesse und Kommunikation mit
Schulbehörden",2009,2013," 422.579,99"," 422.579,99"
Kultusministerium (MK),"Lenkung innerschulischer pädagogischer und
organisatorischer Prozesse und Kommunikation mit
Schulbehörden",2009,2013," 934.360,15"," 934.360,15"
Kunststoff Autoplast GmbH,Errichtung einer Betriebsstätte,2008,2015," 0,00"," 0,00"
Kunststofftechnik Manthey GmbH,Organisationsoptimierung,2014,2015," 3.600,00"," 3.600,00"
Kupfer und Koch GmbH & Co.KG,LBA  ́2011 Ort: Magdeburg,2011,2011," 1.873,68"," 1.873,68"
"Kur- und Tagungshotel Stadt
Blankenburg GmbH & Co.KG",Erweiterung einer Betriebsstätte,2009,," 0,00",
"Kuratorium Ökumenisches
Domgymnasium e.V.","zur Anschaffung von 10 MT-Board inkl. PC, 1 Server-System,
4 Managed-Switch, 1 Optik System, 20 Access Points, 1
Router für das Ökumenische Domgymnasium in Magdeburg",2014,2016," 129.797,46"," 129.797,45"
Kuropka & Ermisch GbR,Marketing,2010,2011," 7.200,00"," 7.200,00"
Kuropka & Ermisch GbR,Organisationsoptimierung,2014,2014," 3.000,00"," 3.000,00"
Kuropka & Ermisch GbR,Organisationsoptimierung,2010,2010," 7.200,00"," 7.200,00"
Kuropka & Ermisch GbR,Stärkung des Innovationspotentials,2008,2010," 2.400,00"," 2.400,00"
Kuropka & Ermisch GbR,Stärkung des Innovationspotentials,2013,2014," 3.000,00"," 3.000,00"
Kuropka & Ermisch GbR,Stärkung des Innovationspotentials,2007,2010," 3.600,00"," 3.600,00"
Kuropka & Ermisch GbR,Stärkung des Innovationspotentials,2011,2011," 6.000,00"," 6.000,00"
"Kurt Seume Spezialmaschinen- bau
GmbH u. Andreas Seume",Erweiterung einer Betriebsstätte,2008,2013," 278.206,45"," 278.206,45"
"KWM Energie und Umwelt GmbH &
Co.KG",LBA  ́2012 Ort: Magdeburg,2012,2012," 780,72"," 780,72"
"KWM Energie und Umwelt GmbH &
Co.KG",SaaleBau  ́2009 Ort: Halle,2009,2009," 2.095,26"," 2.095,26"
"KWM Energie und Umwelt GmbH &
Co.KG",SaaleBau  ́2010 Ort: Halle,2010,2010," 1.495,80"," 1.495,80"
"KWM Energie und Umwelt GmbH &
Co.KG",SaaleBau  ́2011 Ort: Halle,2011,2011," 1.356,00"," 1.356,00"
"KWM Energie und Umwelt GmbH &
Co.KG",mitteldeutsche handwerksmesse  ́2013 Ort: Leipzig,2013,2013," 818,40"," 818,40"
Kälte-Technik GmbH Eisleben,"Entwicklung, Bau und Erprobung leistungsgeregelter
Hochtemperatur-Wärmepumpen zur Abwärmenutzung u. a.
in Verbindung mit einem innovativen Wärmespeicher",2013,2014," 46.687,50"," 46.687,50"
Kälte-Technik GmbH Eisleben,"Entwurf und Bau sowie Erprobung und Optimierung einer
Versuchs- und Demonstrations-Kälteanlage zur Tief- und
Normalkühlung mit dem natürlichen Kältemittel CO2",2013,2016," 0,00"," 0,00"
Könnern,"Leninplatz, 1. BA",2009,2010," 267.000,00"," 267.000,00"
Köthen,"Außenanlagen Spitalgebäude des Klosters der Barmherzigen
Brüder",2008,2010," 279.835,31"," 279.835,31"
Köthen,"Baumaßnahme Spitalgebäude des Klosters der
Barmherzigen Brüder",2007,2010," 1.635.142,48"," 1.635.142,48"
Köthen,Behinderten WC Rathaus Köthen,2009,2012," 42.073,97"," 42.073,97"
Köthen,Fahrstuhl Rathaus Köthen,2009,2012," 163.200,71"," 163.200,71"
Köthen,Freifläche südlich der Hirtengasse,2010,2012," 45.104,16"," 45.104,16"
Köthen,Gartenstraße,2009,2013," 125.653,98"," 125.653,98"
Köthen,Kleiner und Großer Plan sowie Fußweg Magdeburger Straße,2008,2010," 220.164,69"," 220.164,69"
Köthen,Stadtmauer Naumannschule,2009,2012," 65.918,92"," 65.918,92"
"Köthener Fleisch- und Wurstwaren
GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2011," 81.000,00"," 81.000,00"
"Köthener Spezialdichtungen GmbH
(KSD GmbH)",ACHEMA  ́2009 Ort: Frankfurt/Main,2009,2010," 3.414,83"," 3.414,83"
"Köthener Spezialdichtungen GmbH
(KSD GmbH)","Entwicklung einer anwendungsflexiblen und
werkstoffoptimierten Systemlösung zum industriemäßigen
lasergenerierten Aufbau von hoch leistungsfähigen
Verschleißschutzbbeschichtungen mit gezielt positionierten
und reproduzierbaren Materialeigenschaften am Bei",2009,2012," 299.355,00"," 299.355,00"
"Köthener Spezialdichtungen GmbH
(KSD GmbH)",Organisationsoptimierung,2011,2012," 2.100,00"," 2.100,00"
"Köthener Spezialdichtungen GmbH
(KSD GmbH)",Organisationsoptimierung,2014,2014," 3.600,00"," 3.600,00"
"Köthener Spezialdichtungen GmbH
(KSD GmbH)",Organisationsoptimierung,2010,2011," 7.800,00"," 7.800,00"
"Köthener Spezialdichtungen GmbH
(KSD GmbH)",Stärkung des Innovationspotentials,2008,2016," 0,00"," 0,00"
Kühne Asphaltbau GmbH,Unternehmensnachfolge,2010,2010," 9.000,00"," 9.000,00"
"L & P Behälter- und Apparatebau
GmbH",Außenwirtschaftsberatung,2008,2010," 2.400,00"," 2.400,00"
"L & P Behälter- und Apparatebau
GmbH",Außenwirtschaftsberatung,2008,2010," 3.600,00"," 3.600,00"
"L & P Behälter- und Apparatebau
GmbH","Entwicklung eines technisch-technologischen Verfahrens zur
geothermischen Gewinnung von Energie aus mineralisch
belasteten Grubenwasser am Beispiel des Schlüsselstollens
im Mansfelder Land",2013,," 0,00",
"L & P Behälter- und Apparatebau
GmbH",Organisationsoptimierung,2013,2016," 0,00"," 0,00"
"L & P Behälter- und Apparatebau
GmbH","Potenzialanalyse und Bewertung der Grubenwasserstandorte
in Sachsen-Anhalt unter dem Aspekt ihrer geothermischen
Nutzung",2011,2012," 72.000,00"," 72.000,00"
L&C stendal GmbH & Co. KG,Risikomanagement,2012,2013," 5.400,00"," 5.400,00"
"La Porte Hotel und Restaurant GmbH
& Co.KG",Erweiterung einer Betriebsstätte,2008,2010," 455.600,00"," 455.600,00"
Lackiercenter Haldens- leben GmbH,Organisationsoptimierung,2009,2009," 2.400,00"," 2.400,00"
Lackiercenter Haldens- leben GmbH,Organisationsoptimierung,2010,2010," 2.400,00"," 2.400,00"
Lackiererei Werner Helbig GmbH,Organisationsoptimierung,2013,2014," 2.400,00"," 2.400,00"
Lackiererei Werner Helbig GmbH,Organisationsoptimierung,2011,2012," 7.200,00"," 7.200,00"
Lacont Umwelttechnik GmbH,EuroTier `2008                                               Ort: Hannover,2008,2016," 0,00"," 0,00"
Laempe Mössner Sinto GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2007,2014," 295.160,82"," 295.160,82"
"Lagerhaus Klein Wanzleben GmbH &
Co. KG",Errichtung einer Betriebsstätte,2010,2012," 450.000,00"," 450.000,00"
"LAGOTEC Sensortechnik und
mikrob.Anlagensicher",BRAU Beviale `2008                                           Ort: Nürnberg,2008,2009," 1.397,68"," 1.397,68"
"LAGOTEC Sensortechnik und
mikrob.Anlagensicher","Entw. eines Biofilm-Kontrollsystems zur Reduzierung
mikrobiell verursachter Prod. ausfälle mit gleichz. Minimierg.
d. Reinigungsmitteleinsatzes",2008,2011," 111.076,00"," 111.076,00"
Land Sachsen-Anhalt MK,"Landesgymnasium LATINA Halle Sanierung Haus 42 und
Verbindungsbau",2010,2015," 7.700.766,37"," 7.700.766,37"
Landesbetrieb für Hochwasserschutz,"""AB HWS OL HBS"" und ""Rückbau Rabahnewehr"" (Priorität lt.
Maßnahmeplan: 99 und 192)",2010,2015," 1.022.521,68"," 1.022.521,68"
Landesbetrieb für Hochwasserschutz,"AB Böse Sieben Erdfallgebiet
(lfd. Nr. MPlan 2015: 614)",2015,2015," 4.100,06"," 4.100,06"
Landesbetrieb für Hochwasserschutz,AB Deich Espenlake (lfd.Nr. MP 2012: 46),2012,2015," 181.190,65"," 181.190,65"
Landesbetrieb für Hochwasserschutz,"AB Elbedeich HVB Nitzow km 84,075-87,14",2011,2012," 241.144,81"," 241.144,81"
Landesbetrieb für Hochwasserschutz,"AB HWS Deich Zeitz, 2. BA
(lfd. Nr. MPl. 2012: 495)",2012,2014," 49.396,90"," 49.396,90"
Landesbetrieb für Hochwasserschutz,"AB HWS Herrenmühlenschleuse, SS Kammerwände
(lfd. Nr. MPl. 2012: 111/112)",2012,2013," 36.383,90"," 36.383,90"
Landesbetrieb für Hochwasserschutz,"AB HWS Merseburg
(lfd. Nr. MPl. 2012: 101)",2012,2015," 1.573.680,85"," 1.573.680,85"
Landesbetrieb für Hochwasserschutz,AB HWS OL HBS - 3. BA (lfd. Nr. Maßnahmeplan 2011:419),2011,2014," 372.439,45"," 372.439,45"
Landesbetrieb für Hochwasserschutz,"AB HWS OL HBS 4. BA
(lfd. Nr. MPl. 2012: 499)",2012,2015," 809.925,56"," 809.925,56"
Landesbetrieb für Hochwasserschutz,AB Leinerückstaudeiche Bitterfeld (lfd. Nr. MPl 2012: 271),2012,2015," 1.992.969,71"," 1.992.969,71"
Landesbetrieb für Hochwasserschutz,"AB Maibachkanal, OL Theißen
(lfd. Nr. MPl 2012: 496/497)",2012,2015," 137.600,37"," 137.600,37"
Landesbetrieb für Hochwasserschutz,AB Stadtdeiche Raguhn (lfd. Nr. Maßnahmeplan 2011: 140),2011,2014," 113.854,94"," 113.854,94"
Landesbetrieb für Hochwasserschutz,"AB Umflutdeich li. Km  2,07-17,4 (Nr. MP10/ 69)",2010,2014," 706.344,01"," 706.344,01"
Landesbetrieb für Hochwasserschutz,"AB Wasserstadtdeich inkl. Scharte 2. BA
(lfd. Nr. MPl. 2012: 434)",2012,2014," 68.057,21"," 68.057,21"
Landesbetrieb für Hochwasserschutz,"AB Wilder Graben Eisleben
(lfd. Nr. MPl 2012: 114)",2012,2013," 685.220,57"," 685.220,57"
Landesbetrieb für Hochwasserschutz,"AB Wilder Graben Eisleben 2. BA
Lfd. Nr. M-Plan 2013: 290",2013,2015," 9.976,96"," 9.976,96"
Landesbetrieb für Hochwasserschutz,"Anpassung Steuerung SW Aken (Priorität Maßnahmeplan:
243)",2011,2012," 119.397,42"," 119.397,42"
Landesbetrieb für Hochwasserschutz,Ausbau Deich Egeln B 81 - B 81 n,2010,2013," 9.948,17"," 9.948,17"
Landesbetrieb für Hochwasserschutz,"Ausbau Deich Großkühnau Ost (lfd. Nr. Maßnahmeplan
2011: 112)",2011,2015," 1.027.402,97"," 1.027.402,97"
Landesbetrieb für Hochwasserschutz,Ausbau Deich Kleutsch,2010,2015," 857.315,17"," 857.315,17"
Landesbetrieb für Hochwasserschutz,"Ausbau Deich Umflutdeich rechts, km 10,6 - 13,1;
Gemarkung Magdeburg, Plötzky (Maßnahmeplan Nr.
399/400)",2009,2014," 1.870.851,60"," 1.870.851,60"
Landesbetrieb für Hochwasserschutz,"Ausbau Deich Umflutdeich rechts, km 6,3 - 10,1 Gemarkung
Magdeburg, Pechau, Biederitz, Gübs (Maßnahmeplan Nr.
397/398)",2009,2015," 2.760.155,29"," 2.760.155,29"
Landesbetrieb für Hochwasserschutz,"Ausbau Deich- Umflutdeich rechts km 2,85 - 6,3 (MP 2010,
Nr.:39/40",2010,2014," 2.457.306,84"," 2.457.306,84"
Landesbetrieb für Hochwasserschutz,"Ausbau Hochwasserschutz Böschung und Sohle, Thale
(Maßnahmeplan 251/252)",2009,2011," 56.763,77"," 56.763,77"
Landesbetrieb für Hochwasserschutz,"Ausbau Hochwasserschutz Ortslage Derenburg (Priorität
Maßnahmeplan: 47)",2010,2015," 679.420,59"," 679.420,59"
Landesbetrieb für Hochwasserschutz,"Ausbau Leinerückstaudeiche Bitterfeld  (MP 2010, Nr.15)",2010,2010," 10.175,12"," 10.175,12"
Landesbetrieb für Hochwasserschutz,"Ausbau Umflutdeich links B1 - Bahn Magdeburg, km 0,0 -
2,07 (Maßnahmeplan Nr. 391/392)",2009,2012," 1.187.928,91"," 1.187.928,91"
Landesbetrieb für Hochwasserschutz,"Ausbau und Deichlückenschluß Kühnau-West (MP 2010 Nr.:
29)",2010,2015," 904.498,58"," 904.498,58"
Landesbetrieb für Hochwasserschutz,"DLS Deich Zeitz, 3. BA
(lfd. Nr. M.-plan 2015: 196)",2015,2015," 118.284,64"," 118.284,64"
Landesbetrieb für Hochwasserschutz,"DRV Deich Dessau - Törten bis Möst (lfd. Nr. Maßnahmeplan
2011: 5)",2011,2015," 41.135,07"," 41.135,07"
Landesbetrieb für Hochwasserschutz,"Elbdeich re. OL SBK-Grünew. km 29,1-30,6 (lfd. Nr.
Maßnahmeplan 2011: 452)",2011,2014," 124.268,20"," 124.268,20"
Landesbetrieb für Hochwasserschutz,"HWS Havelberg
(lfd. Nr. M-Plan 2012: 315)",2012,2015," 1.452.058,44"," 1.452.058,44"
Landesbetrieb für Hochwasserschutz,HWS Havelberg (lfd. Nr. Maßnahmeplan 2011: 551),2011,2012," 51.647,90"," 51.647,90"
Landesbetrieb für Hochwasserschutz,HWS Jerichow (lfd. Nr. Maßnahmeplan 2011: 528),2011,2013," 408.889,83"," 408.889,83"
Landesbetrieb für Hochwasserschutz,HWS Roßlau -SW Rossel - 2. BA (lfd. Nr. MP 2012: 259),2012,," 4.006.464,19",
Landesbetrieb für Hochwasserschutz,"HWS Roßlau, SW Rossel (lfd. Nr. Maßnahmeplan 2011: 73)",2011,2013," 156.891,89"," 156.891,89"
Landesbetrieb für Hochwasserschutz,"HWS Südstraße Roßlau BA 1 LHW (lfd. Nr. Maßnahmeplan
2011: 725)",2011,2013," 205.738,09"," 205.738,09"
Landesbetrieb für Hochwasserschutz,"HWSK Stadt Zeitz
(lfd. Nr. MPl 2015: 666)",2015,2015," 33.086,76"," 33.086,76"
Landesbetrieb für Hochwasserschutz,Hochwasserschutz Jerichow (MP 2010.- Nr. 19),2010,2011," 25.305,95"," 25.305,95"
Landesbetrieb für Hochwasserschutz,"Hochwasserschutz Roßlau, Schöpfwerk Rossel
(Maßnahmeplan Nr. 30/31)",2009,2012," 457.737,57"," 457.737,57"
Landesbetrieb für Hochwasserschutz,"Hochwasserschutz Staßfurt, Errichtung einerHochwasserschutzwand im Bereich der Straße ""Neue Welt""",2010,2014," 921.126,58"," 921.126,58"
Landesbetrieb für Hochwasserschutz,"IS Abschlagbauwerk Bad-Kösen
(lfd. Nr. MPl 2015: 735)",2015,2015," 60.869,70"," 60.869,70"
Landesbetrieb für Hochwasserschutz,"IS Auftragsstrecke Böse Sieben
(lfd. Nr. MPl. 2012: 372)",2012,2015," 496.954,07"," 496.954,07"
Landesbetrieb für Hochwasserschutz,"IS Deich Halle-Neustadt, DVW-Überflutung
(lfd. Nr. MPl. 2012: 118)",2012,2015," 68.444,09"," 68.444,09"
Landesbetrieb für Hochwasserschutz,IS Deich Jeßnitz-West (lfd.Nr. MP 2012: 272),2012,2013," 35.012,58"," 35.012,58"
Landesbetrieb für Hochwasserschutz,"IS Deich Oberröblingen
(lfd. Nr. MPl 2012: 172)",2012,2015," 797.551,28"," 797.551,28"
Landesbetrieb für Hochwasserschutz,"IS Deich Predel
Lfd. Nr.: M-Plan 2013: 292",2013,2015," 51.399,54"," 51.399,54"
Landesbetrieb für Hochwasserschutz,"IS Deich Profen
lfd. Nr. M-Plan 293",2013,2015," 11.911,90"," 11.911,90"
Landesbetrieb für Hochwasserschutz,"IS Deich Schellsitz
(lfd. Nr. MPl. 2012: 104/105)",2012,2015," 715.883,66"," 715.883,66"
Landesbetrieb für Hochwasserschutz,IS Deich Wörlitz-Mittelhölzer (lfd. Nr. M-Plan 2011: 65),2011,2011," 42.816,27"," 42.816,27"
