Operation Name,Recipient organisation,ESF/ ERDF Grant requested,Total eligible expenditure,Programme,Description,Postcode,Union co-financing rate,Start date,End date,Theme,Country
YEI – Young Persons Programme,Dumfries & Galloway Council,1113298.82,1661640.02,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment.",G1 2PN,0.67,01/08/2015 , 30/09/2017,Strategic Intervention – Youth Employment Initiative ,Scotland
Youth Employment Initiative – East Dunbartonshire,East Dunbartonshire Council,134000,200000,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",G66 1NH,0.67,15/01/2016 , 29/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
Invest in Renfrewshire Youth Employment Initiative Delivery Programme,Renfrewshire Council,5030253.4,7507840.9,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",PA1 1ES,0.67,02/02/2015 , 30/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
Ayrshire Youth Employment Initiative – Consortium,East Ayrshire Council,1015050,1515000,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",KA1 1HU,0.67,01/01/2016 , 30/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
East Ayrshire Youth Employment Initiative,East Ayrshire Council,1950000,2910448,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",KA1 1HU,0.67,01/04/2015 , 30/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
YEI - Delivery,South Ayrshire Council,647950.5,971932.94,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",KA7 1DR,0.6666,01/04/2016 , 30/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
North Ayrshire Youth Employment Initiative,North Ayrshire Council,2129963,3190000,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",KA12 8EE,0.6677,01/04/2015 , 31/05/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
Glasgow’s Youth Gateway,Glasgow City Council,7966992,12071200,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",G1 1RX,0.66,01/01/2016 , 30/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
NLYEI,North Lanarkshire Council,5019999.78,7492537,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",G67 1JW,0.6699,01/04/2015 , 31/03/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
YEI Education Resources,South Lanarkshire Council,632298,945525,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",ML3 0AA,0.6687,01/04/2015 , 31/03/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
Regeneration,South Lanarkshire Council,2984190,4461000,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",ML3 0AA,0.6689,20/01/2016 , 31/04/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
SFC – YEI,Scottish Funding Council,27954825,71932248,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment",EH12 5HD,0.6666,01/08/2015 , 30/06/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
Community Led Transformation – Lowlands and Uplands (LUPS),Scottish Government (Regeneration Unit),4529700,11324250,ESF,A Challenge Fund will support applications from community bodies working through local partnerships to accelerate the delivery of sustainable community-led solutions that tackle inequalities and improve outcomes.  ,EH6 6QQ,0.4,01/09/16 , 31/12/18,,Scotland
Community Led Transformation – Highlands and Islands ,Scottish Government (Regeneration Unit),3774750,7549500,ESF,A Challenge Fund will support applications from community bodies working through local partnerships to accelerate the delivery of sustainable community-led solutions that tackle inequalities and improve outcomes.  ,EH6 6QQ,0.5,01/09/16 , 31/12/18,,Scotland
World Class Digital Connectivity - Backhaul for Small Islands,Scottish Government,10000000,25000000,ERDF,Improving the communications and connectivity issues in the Islands.  ,EH6 6QQ,0.4,02/04/18 , 30/11/18,Strategic Intervention – Digital Connectivity,Scotland
World Class Digital Connectivity – mobile infill,Scottish Government,10000000,25000000,ERDF,Provision of Mobile Broadband connectivity in rural and remote rural areas of Scotland’s Highland and Islands region.  ,EH6 6QQ,0.5,05/04/18 , 30/11/19,Strategic Intervention – Digital Connectivity,Scotland
