Recipient of funds,Name of Project,Type of fund,Summary of project (max 100 words),Start date,End date,ERDF/ESF investment £m,Total project costs £m,Percent of project funded by EU,Location (postcode),Local Enterprise Partnership area,Country,Type and focus of support (*Category of intervention)*
Big Lottery Fund (CFO),Building Better Opportunities - Dorset ,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion.  Within the Dorset LEP, this project is made up of three BBO activities, one focusing on encouraging social entrepreneurs and business start-up, one supporting disadvantaged groups and one addressing barriers to work and inclusion.",01. Jan 14,31. Dez 19,4422500,8845000,50%,EC4A 1DE,Dorset, England ,"109.  Active inclusion,including with a view to promoting equal opportunities and active participations, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities - Dorset ,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion.  Within the Dorset LEP, this project is made up of three BBO activities, one focusing on encouraging social entrepreneurs and business start-up, one supporting disadvantaged groups and one addressing barriers to work and inclusion.",02. Jan 14,01. Jan 20,4422501,8845001,150%,EC4A 1DE,Dorset, England ,"109.  Active inclusion,including with a view to promoting equal opportunities and active participations, and improving employability."
Department for Work and Pensions (DWP CFO),ESF 2014-2020 Provision,ESF,The project is aimed at individuals who have mental and/or physical barriers to work.  It will provide specialist interventions delivered against a personalised Action Plan. The Plan aims to secure re-entry into the workplace at the earliest opportunity for claimants who with the right support can re-enter the workforce and therefore prevent additional negative impacts on their health as a result of longer term unemployment.  This approach ensures those with complex barriers can receive the specialist support they need to re-build their confidence and skills in the work place whilst learning to adjust to health conditions.  This provision will prioritise the hardest to help claimants who are furthest from the labour market and it is therefore anticipated that more intensive support will be required.,01. Jan 14,31. Okt 19,3748500,7497000,50%,S1 4ER,Dorset, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Department for Work and Pensions (DWP CFO),ESF 2014  2020 Provision,ESF,Though unemployment in Gloucestershire has been falling there are a number of people who have not benefited from the recovery of the labour market. This project will deliver a package of tailored support to help disadvantaged participants improve their chances of securing and sustaining employment. The project will reduce worklessness amongst disadvantaged groups and help the local economy by increasing the economic activity rate amongst working age people.  This provision will prioritise the hardest to help claimants who are furthest from the labour market and it is therefore anticipated that more intensive support will be required.,01. Apr 14,31. Dez 20,1350000,2700000,50%,SA11 1LY,Gloucestershire, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Department for Work and Pensions (DWP CFO),ESF 2014-2020 Provision,ESF,"The provision is for a package of tailored support that addresses worklessness and prioritises support for the most disadvantaged customers and those furthest from the labour market in Cornwall and the Isles of Scilly. The focus is on unemployed people and those who are economically inactive who are not fully supported by existing employment programmes. Through flexible and personalised packages it will enhance engagement, work readiness and in work support to ensure sustained employment outcomes for the target groups. This provision will prioritise the hardest to help claimants who are furthest from the labour market and it is therefore anticipated that more intensive support will be required.",01. Jan 14,31. Dez 20,12900000,16125000,80%,SA11 1LY,Cornwall and Isles of Scilly, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Department for Work and Pensions (DWP CFO),ESF 2014-2020 Provision,ESF,"This Provision will aim to tackle the worklessness of disadvantaged individuals who have been unemployed or inactive for three months or more. The Provider will engage with Participants to identify and address barriers to work using a range of specialist support/provision, improving the Participants chances of securing and sustaining employment at the earliest opportunity. This provision will prioritise the hardest to help claimants and who are furthest from the labour market and it is therefore anticipated that more intensive support will be required. The ultimate purpose of the Project is to achieve sustained employment outcomes.",01. Jan 14,30. Sep 21,3000000,6000000,50%,SA11 1LY,Swindon and Wiltshire, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Big Lottery Fund (CFO),Building Better Opportunities-Greater Cambridge/Peterborough,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Greater Cambridgeshire and Peterborough LEP, this project is made up of three BBO activities, focussing on barriers to work, financial inclusion, and social isolation and poverty.",01. Jan 14,31. Dez 19,2500000,5000000,50%,EC4A 1DE,Greater Cambridge/Peterborough, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities - Hertfordshire,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Hertfordshire LEP, this project is made up of three activities, one focusing on supporting young people, one addressing financial confidence and one focusing on barriers to employment with the result of moving individuals towards and into work.",01. Jan 14,31. Dez 19,2840000,5680000,50%,EC4A 1DE,Hertfordshire, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities  Coast to Capital,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Coast to Capital LEP, this project is made up of several distinct activities, focussing on supporting different groups to address barriers and move towards and into employment. They activities fall into two categories: Supporting individuals furthest from the labour market Interventions with NEETs, return to work provision for the long term unemployed, family focused provision, health and wellbeing focused interventions and housing centred solutions for people out of work. Supporting unemployed individuals by encouraging social enterprise Developing community led ESF provision, supporting social enterprise set up and growth, community inclusion, social enterprise ESF delivery and increasing employment levels in social enterprises and community groups.",01. Jan 14,31. Dez 19,2667500,5335000,50%,EC4A 1DE,Coast to Capital, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities - Enterprise M3,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Enterprise M3 LEP, this project is made up of two BBO activities, one to develop the skills and capability of social entrepreneurs, and one to support socially excluded individuals at risk of discrimination to access employment.",01. Jan 14,31. Dez 19,1000000,2000000,50%,EC4A 1DE,Enterprise M3, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities-Oxfordshire,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Oxfordshire LEP, this project is made up of three distinct activities, focussing on pathways to employment for long-term unemployed, preventative work for those at risk of becoming NEET, and working with those already NEET.",01. Jan 14,31. Dez 19,1060000,2120000,50%,EC4A 1DE,Oxfordshire, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities - Thames Valley Berkshire ,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within Thames Valley Berkshire LEP, this project is made up of three distinct activities, focussing on supporting different groups to address barriers and move towards and into employment. Encouraging and developing social entrepreneurs. Addressing barriers to work in urban and rural areas targeted at excluded communities and neighbourhoods. Supporting Troubled Families.",01. Jan 14,31. Dez 19,1706250,3412500,50%,EC4A 1DE,Thames Valley and Berkshire, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Skills Funding Agency (SFA CFO),New Anglia LEP Priority 1 Application ,ESF,"The Skills Funding Agency will deliver Priority 1 activity designed to help unemployed people, inactive people and young NEETs to improve their employability and move into work, by improving their skills. The activity will be focused on, but not limited to, the New Anglia LEP area. A range of activity will be delivered. Example(s) include: * Activity to re-engage those aged 15-18 with employment, education or training, assisting either with the transition at age 16 into post 16 education or training or to remain in education and training post Year 12. * Activity to target those young people at highest risk of becoming NEET focussing on those at PRUs or education other than at school with the aim of increasing the sustained rate of transition into further education/training.",01. Apr 14,31. Dez 19,221814,443629,50%,CV12WT,New Anglia, England ,"103. Sustainable integration into the labour market of young people in particular those not in employment, education or training including young people at risk of social exclusion and young people from marginalised communities, including through the imple"
Skills Funding Agency (SFA CFO),New Anglia ,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels",01. Apr 14,31. Dez 19,2232000,4464000,50%,CV12WT,New Anglia, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance "
Skills Funding Agency (SFA CFO),Solent LEP,ESF,"The Skills Funding Agency will procure Priority 1activity as identified by Solent LEP to help unemployed people, inactive people and young NEETS to improve their employability and move into work, by improving their skills. The activity will be focussed on, but not limited to, to the Solent LEP area A range of activities will be delivered. Examples include: ? access to secure employment for adults of all ages, and ? a number of activities that aim to support young peoples integration. Projects will include: Support for unemployed adults, Apprenticeship Grants for Employers, Enhanced Traineeships, and Information, Advice and Guidance. All activities will have some focus on sectors with identified skills shortages and workforce development issues, as well as the Solents key growth sectors.",01. Apr 14,31. Dez 19,2310944,4621889,50%,CV12WT,Solent, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.         103. Sustainable integration into the labour market of young people in particular those not in employment, education or training including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee."
Skills Funding Agency (SFA CFO),Solent LEP P2,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs The activity will be focussed on, but not limited to the Solent LEP area A range of activity will be delivered. Examples include: Employer responsive skills provision focussing on key sectors but open to all sectors and businesses where a clear need for upskilling the workforce can be demonstrated. Activity will include industry specific training interventions, as well as broader capacity building for businesses, including professional training and leadership and management support.",01. Apr 14,31. Dez 19,2256667,4513333,50%,CV12WT,Solent, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competencies."
Big Lottery Fund (CFO),Solent  LEP Big Lottery Fund Opt In,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. The Solent LEP area project is one distinct activity, to support excluded groups to address barriers and move towards and into employment using an intermediate labour market approach combined with on-going wrap around support.",01. Jan 14,31. Dez 19,600000,1200000,50%,EC4A 1DE,Solent, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Skills Funding Agency (SFA CFO),Hertfordshire LEP Priority 2 ,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs.  The activity will be focused on, but not limited to, to the Hertfordshire LEP area. A range of activity will be delivered, covering two distinct activities to deliver key skills for local businesses:  * in work training to enhance skills and sustain employment and progress careers * independent, impartial skills advice for local SMEs leading to an increase investment in skills development of employees and improvement in business competitiveness.",01. Apr 14,31. Dez 19,7722778,15445556,50%,CV12WT,Hertfordshire, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competencies."
Skills Funding Agency (SFA CFO),Hertfordshire LEP Priority 1 ,ESF,"The Skills Funding Agency will deliver Priority 1 activity designed to help unemployed people, inactive people and young NEETs to improve their employability and move into work, by improving their skills. The activity will be focused on, but not limited to, to the Hertfordshire LEP area. A range of activity will be delivered. Example(s) covers two distinct activities to deliver key skills for local businesses: Investment Priority 1.1 - Providing skills support to those seeking employment. Investment Priority 1.2 - Improved employability skills and career pathways to employment for young people 15-24. Whilst focusing on different target groups, both projects will achieve skills acquisition to enable individuals to move into local employment opportunities.",01. Jan 14,31. Dez 19,2222222,4444444,50%,CV12WT,Hertfordshire, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    103. Sustainable integration into the labour market of young people in particular those not in employment, education or training including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee."
Skills Funding Agency (SFA CFO),Enterprise M3 LEP Priority 1 Application ,ESF,"The Skills Funding Agency will deliver Priority 1 activity designed to help unemployed people, inactive people and young NEETs to improve their employability and move into work, by improving their skills. The activity will be focused on, but not limited to, to the Enterprise M3 LEP area. A range of activity will be delivered. Example(s) include:  Employer led training for unemployed which will include employability and basic skills as well as vocational pathways. This activity will achieve access to employment for jobseekers and inactive people and promote active inclusion focussing on key growth and high employment sectors. Enhanced information, advice and guidance with a focus on the promotion of STEM opportunities. This activity will achieve access to employment for jobseekers and inactive people particularly focussing on school leavers (at risk of NEET), recent graduates and women.",01. Apr 14,31. Dez 19,1944444,3888889,50%,CV12WT,Enterprise M3, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiative and support for labour mobility,"
Skills Funding Agency (SFA CFO),Enterprise M3 LEP Priority 2 Application ,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs. The activity will be focused on, but not limited to, to the Enterprise M3 LEP area. A range of activity will be delivered. Example(s) include: * Employer Led Vocational pathways towards Higher Skills *  Enhanced Information, Advice and Guidance: Employer support for apprenticeships  * Response to redundancy. Achieving enhanced equal access to lifelong learning focussing on key growth and high employment sectors and support employers to grow their workforces.",01. Apr 14,31. Dez 19,1944444,3888889,50%,CV12WT,Enterprise M3, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance "
Skills Funding Agency (SFA CFO),Buckinghamshire TV LEP P2,ESF,"The Skills Funding Agency will procure and manage on behalf of Buckinghamshire Thames Valley LEP (BTVLEP), one operation that covers one distinct activity which will address key skills needs of local business. This project activity will be: Skills Brokerage to strengthen employers engagement with workforce development.",01. Apr 14,31. Dez 19,911111,1822222,50%,CV12WT,Buckinghamshire Thames Valley, England ,"118. Improving the labour market relevance of education and training systems, facilitating the transition from education to work, and strengthening vocational education and trainining systems and their quality, including throgh mechanisms for skills anticipation, adaptation of curricula and the establishment and development of work-based learning systems, including dual learning systems and apprenticeship schemes."
Skills Funding Agency (SFA CFO),Coast to Capital LEP,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs.  The activity will be focused on, but not limited to, to the Coast to Capital LEP area. A range of activity will be delivered. Example(s) include: 1. Support for Intermediate And Technical Skills for SMEs in priority sectors and other sectors of importance 2. Support for higher level skills in priority sectors and other sectors of importance 3. Support for workforce development skills in priority sectors and other sectors of importance 4. Support to improve the relevance of LMI and education and training provision. These activities will enable individuals to develop the skills they need to progress in key priority sectors and provide businesses with a skilled workforce enabling them to grow and increase the economic productivity.",01. Apr 14,31. Dez 19,1721472,3442944,50%,CV12WT,Coast to Capital, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competencies."
Skills Funding Agency (SFA CFO),"The Greater Cambridge, Greater Peterborough Priority 2 Application ",ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs. The activity will be focused on, but not limited to, to the GCGP LEP area. A range of activity will be delivered. Example(s) include: * Production and subsequent delivery of a Training Plan and Budget that articulates the necessary staff training and associated costs to address both short and medium term business development and growth needs. * Plans that link to growth strategies and sector priorities and identify and address barriers to growth. * Plans that assist the growth capability of SMEs, focus on developing skills within existing SMEs, engage more employers in skills development and contribute to economic growth.",01. Apr 14,31. Dez 19,6341667,12683333,50%,CV12WT,Greater Cambridge/Peterborough, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competencies."
Skills Funding Agency (SFA CFO),Oxfordshire LEP P1 ,ESF,"The Skills Funding Agency will deliver Priority 1 activity designed to help unemployed people, inactive people and young NEETs to improve their employability and move into work, by improving their skills. The Oxfordshire Community Grants Scheme (1.4) The aim is to mobilise the expertise and ideas of Oxfordshires thriving voluntary, faith and community sector to help the most marginalised and furthest from the labour market take steps towards fulfilling employment.  ",01. Apr 14,31. Dez 19,477778,955556,50%,CV12WT,Oxfordshire, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.        103. Sustainable integration into the labour market of young people in particular those not in employment, education or training including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee.    109. Active inclusion including with a view to promoting equal opportunities and active participations, and improving employability."
Skills Funding Agency (SFA CFO),South East Local Enterprise Partnership (SELEP) PA1,ESF,"The Skills Funding Agency will deliver Priority 1 activity designed to help unemployed people, inactive people and young people not in education, employment or training (NEET) to improve their employability and move into work by improving their skills. The activity will be focussed on, but not limited to the South East Local Enterprise Partnership (SELEP) area. A range of activity will be procured and delivered. The project activity is designed to deliver additional apprenticeship starts, increase the proportion of Apprenticeship starts at Advanced & Higher levels in these sectors and increase the take up of Apprenticeships by young people (YPs) aged 16-24 and from disadvantaged and vulnerable groups. Delivery priorities & examples include: ? innovative pre-apprenticeship engagement that adds value to current provision ? engagement of small and medium size companies to recruit apprentices in priority sectors ? focus on 16-24 plus progression of disadvantaged and vulnerable young people; progression to advanced and higher apprenticeships ? The project will also develop, promote and issue a careers website for 16/18 year olds and deliver industry-based activities for YPs in school.",01. Apr 14,21. Dez 19,16443333,32886667,50%,CV12WT,South East, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiative and support for labour mobility,"
Skills Funding Agency (SFA CFO),South East Local Enterprise Partnership (SELEP) PA2,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people or those at risk of becoming unemployed to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs. The activity will be focused on, but not limited to, the South East Local Enterprise Partnership (SELEP) area. A range of activity will be delivered, which is designed to: ? increase higher level skills in the workforce ? increase numbers of university graduates employed in growth sectors ? support employers to retain and upskill existing workforce ? recruit new employees in roles requiring digital technology skills ? increase employee access to higher level skills ? train more of the workforce to NVQ Level 3 and above ? support employers to recruit employees with higher level skills ? improve numeracy outcomes for individuals at below Level 2 An example of activity is to develop on-line skills advice resources to include gathering of employer skills, recruitment needs and to match employers to appropriate local training provision.",01. Apr 14,31. Dez 19,11312361,22624722,50%,CV12WT,South East, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competencies."
Big Lottery Fund (CFO),South East LEP Big Lottery Fund Opt In,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the South East LEP this project is made up of two distinct theme-based activities, available to three distinct groups of participants, split in to both the north and south area of the South East LEP. Activities focus on supporting participants to address transitions into employment, gaps and isolation that prevents people from seeking work and lone parents/carers.",01. Jan 14,31. Dez 19,8000000,16000000,50%,EC4A 1DE,South East, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Skills Funding Agency (SFA CFO),Thames Valley and Berkshire P2,ESF,"The Skills Funding Agency will deliver Priority 2 activity designed to help employed people, or those at risk of becoming unemployed, to improve their skills levels and improving the labour market relevance of education and training system by aligning skills development with economic needs The activity will be focused on, but not limited to, to the Thames Valley Berkshire LEP area. A range of activity will be delivered. These may include activities to enable employers to influence and collaborate with key stakeholders, on developing a strategy and interventions to increase the number of people entering into and progressing in STEM careers and thus addressing skills shortages and gaps in the STEM growth sectors/occupations. For example, some of the activities will cover the promotion of STEM careers: 1. developing responsive provision and promotion of apprenticeships will be delivered to achieve an increase in uptake of STEM careers; 2. a cohesive STEM strategy and career pathway; 3. improved careers advice leading to an increase in STEM learning and increased participation.",01. Apr 14,31. Dez 19,2013000,4026000,50%,CV12WT,Thames Valley and Berkshire, England ,"117. Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and completences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competencies."
Big Lottery Fund (CFO),New Anglia LEP Big Lottery Fund Opt In,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the New Anglia LEP area this project consists of four distinct activities, focussing on supporting long-term unemployed adults and young people to address barriers they face and move towards and into employment, each across two geographical areas..",01. Jan 14,31. Dez 19,3722000,7444000,50%,EC4A 1DE,New Anglia, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Buckinghamshire Thames Valley LEP Big Lottery Fund Opt In,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the BTVLEP area there will be one project, Providing pathways to employment and wrap-around support to those furthest from the labour market.",01. Jan 14,31. Dez 19,600000,1200000,50%,EC4A 1DE,Buckinghamshire Thames Valley, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Department for Work and Pensions ( DWP CFO),ESF 2014-2020 Provision,ESF,"The project will deliver provision that will be a participant led package of tailored employment and employability support to help reduce worklessness amongst disadvantaged people. Whilst on the provision participant barriers to work will be addressed by Key Workers. Through a combination of mentoring, meaningful interventions, practical activities undertaken and effective signposting the optimum number of participants will move in to sustained employment. Participants who do find work will receive continued support to improve the chances of becoming sustained employment. This provision will prioritise the hardest to help and who are furthest from the labour market. It is therefore anticipated that more intensive support will be required.",01. Jan 14,31. Okt 20,3000000,6000000,50%,SA11 1LY,Greater Cambridge/Peterborough, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Department for Work and Pensions ( DWP CFO),ESF 2014-2020 Provision,ESF,"The aim of this project is to help unemployed and economically inactive people enter and sustain employment. Through the provision of flexible and personalised packages of support, the project will enhance engagement and work readiness activity, as well as help to ensure sustained job outcomes for the target groups including those disadvantaged people who face multiple barriers to work.  Whilst unemployment levels generally are relatively low and are falling, there is still a need to support those who are not in employment back into meaningful employment and help them to sustain employment. This provision will prioritise the hardest to help and who are furthest from the labour market. It is therefore anticipated that more intensive support will be required.",01. Jan 14,31. Okt 20,2000000,4000000,50%,SA11 1LY,Hertfordshire, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Department for Work and Pensions ( DWP CFO),ESF 2014  2020 Provision,ESF,"This Provision will aim to tackle the worklessness of disadvantaged individuals who have been unemployed or inactive for three months or more. The Provider will engage with Participants to identify and address barriers to work using a range of specialist support/provision, improving the Participants chances of securing and sustaining employment at the earliest opportunity.  This provision will prioritise the hardest to help claimants and who are furthest from the labour market and it is therefore anticipated that more intensive support will be required.",01. Jan 14,31. Dez 20,10000000,20000000,50%,SA11 1LY,South East, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility.    "
Big Lottery Fund (CFO),Building Better Opportunities - D2N2,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the D2N2 LEP, this project is made up of three BBO activities, one focusing on financial inclusion, one on multiple and complex needs and one targeting worklessness for women returners, older people who are long term unemployed and young people.",01. Jan 14,31. Dez 19,7835000,15670000,50%,EC4A 1DE,D2N2, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities  Greater Lincolnshire,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Greater Lincolnshire LEP, this project is made up of four distinct BBO activities; supporting employment, engagement into learning, money and debt management, supporting the economically inactive.",01. Jan 14,31. Dez 19,2500800,4166667,60%,EC4A 1DE,Greater Lincolnshire, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities - Leicester and Leicestershire ,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within Leicester and Leicestershire LEP, this project is made up of five distinct strands of activity, focusing on family and financial and digital inclusion and holistic, rural and under 24s social inclusion with the result of moving individuals towards and into employment.",01. Jan 14,31. Dez 19,7050000,14100000,50%,EC4A 1DE,Leicester and Leicestershire, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Big Lottery Fund (CFO),Building Better Opportunities - Northamptonshire,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within the Northamptonshire LEP, this project is made up of three distinct activities, focussing on financial inclusion, improving social and economic inclusion and overcoming barriers to employment.",01. Jan 14,31. Dez 19,1500000,3000000,50%,EC4A 1DE,Northamptonshire, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
