Name des Begünstigten ,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens ,Beginn des Vor-habens ,Ende des Vor-habens ,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens ,Unions-Kofinan- zierungssatz  pro Prioritäts-achse  ,Postleitzahl des Vorhabens ,Land ,Bezeichnung der Interventionskategorie
Bildungswerk der Thüringer Wirtschaft e.V.,Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft gemäß Losliste Nr. 20,"„Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 in der Gebietskörperschaft Eisenach“    Für das Los 20 agiert gebietskörperschaftübergreifend ein Netzwerk, welches sich als Trägerverbund aus erfahrenen Bildungsdienstleistern zusammensetzt. Ergänzt wird die bereits langjährige Netzwerkarbeit durch die enge Zusammenarbeit mit der Handwerkskammer Südthüringen, der Industrie- und Handelskammer Erfurt, der Agentur für Arbeit Suhl, den Schulen, der regionalen Wirtschaft und anderen engagierten Akteuren (z.B. Jugendämter, Beratungsstellen, Berufseinstiegsbegleiter) in Anlehnung an vergleichbare Zusammenarbeitsstrukturen auf Grundlage der „Landesstrategie zur praxisnahen Berufsorientierung in Thüringen“ .    Zielgruppe/Teilnehmende Schulen:  Schüler folgender Regelschulen: 4., 5. und. 6. Staatl. Regelschulen Eisenach, Oststadtschule Eisenach  Schüler d. Gymnasien: Ernst-Abbe Gymnasium, Elisabeth Gymnasium Eisenach (Teiln. MINT).    Teilnehmer/Berufsfelder:  199 Regelschüler der 7.-9. Klassen (inkl. der Schüler mit Förderbedarf aus den Regelschulen)  170 Gymnasiasten (Mint) in der Klassenstufe 9.    Je nach Schulart können die Schüler aus mehreren Berufsfeldern wählen (siehe Liste der tatsächlich angebotenen Berufsfelder). Für Schüler/Schülerinnen der Regelschulen stehen 8 Berufsfelder zur Auswahl. In der 7.Klasse (Berufsfelderkundung) durchlaufen die Schüler der Regelschulen alle drei Bildungsträger (SBH Südost GmbH, Ziola GmbH und BWTW), in der SBH 18 Std., in der Ziola und dem BWTW jeweils 6 Std. Ab der 8. Klasse (Berufsfelderprobung) werden die Schüler entsprechend Berufsfelder auf die drei Bildungsträger aufgeteilt (siehe Anlage zum Antrag - Übersicht Schülerzahlen). Für die Zielgruppe 2.2.2 stehen 5 Berufsfelder zur Auswahl, wobei diese durch verschiedene Orientierungsbausteine untersetzt sind und in Klassenstufe 9 bei allen 3 Trägern durchgeführt werden (16h SBH Südost GmbH, je 6 Std. BWTW und Ziola).    Maßnahmeorte:  Bildungswerk der Thüringer Wirtschaft e.V., Karlsplatz 20 in Eisenach sowie bei der Ziola GmbH, Eisenach und SBH Südost GmbH, Marksuhl OT Wilhelmsthal    Laufzeit des Projektes:  01.09.2015 bis 31.07.2016 (Schuljahre 2015/16)    Zielsetzung:  Zielstellung unseres Projektes ist die Erhöhung der Berufswahlkompetenz der Schüler an Thüringer allgemeinbildenden Schulen zur Vorbereitung auf eine Berufsausbildung in den Bereichen Technik und Gesundheits- und Sozialbereich sowie in Bereichen der im Trendatlas 2020 ermittelten Thüringer Wachstumsfelder.    Inhalt:  Die Schüler der Regelschulen Klassenstufe 7-9 führen im Rahmen der Umsetzung der Bausteine in den einzelnen Berufsfeldern in der Klassenstufe 7 die Berufsfelderkundung und ab Klassenstufe 8 die Berufsfelderprobung durch. Mit zunehmender Sicherheit in ihrer Berufswahlentscheidung ermöglichen wir den Schülern mit unserer Begleitung die Möglichkeit, Berufsfelderprobung in einem regionalen Unternehmen zu absolvieren. Die angebotenen Berufsfelder lassen am Ende des Berufswahlprozesses eine Integration / Vermittlung in Industrie-, Handwerks- oder Berufe des Gesundheitswesens zu. Es wird angestrebt, dass 20% der Schüler/innen der Klassenstufe 8 die Möglichkeit nutzen, die Berufsfelderprobung im Unternehmen durchzuführen. Die Schüler, welche die 3. Berufsfelderprobung in Klassenstufe 9 absolvieren, haben die Möglichkeit sowohl beim Bildungsträger als auch im Unternehmen eine praxisnahe Berufsorientierung durchzuführen.    Die Schüler/Schülerinnen von Gymnasien der Klassenstufe 9 erhalten in ihrer Schülerbiographie einmal für 30 Zeitstunden die Möglichkeit praktische Erfahrungen zu sammeln.    Bildungswerk der Thüringer Wirtschaft e.V. Los 20 SFAM150064 11.09.2015",01.09.2015,31.07.2016,"20.454,60",80.00%,"99817 Eisenach, Thür",DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Bildungswerk der Thüringer Wirtschaft e.V.,Expertenbesuche zur Wirksamkeit der praxisnahen Berufsorientierung,"Die Thüringer Schulen benötigen für eine gute Arbeit im Bereich der Berufsorientierung eine qualifizierte Rückmeldung von Experten aus der Schulverwaltung, aus der Arbeitsverwaltung und aus der Wirtschaft. Zudem soll sichergestellt werden, dass die praxisorientierten berufsorientierenden Maßnahmen für die Schüler einen guten Start in die Ausbildung befördern und im Sinne der  Fachkräftesicherung für Thüringen wirksam werden. Diese Aufgabe kann die Schulseite nicht allein gewährleisten.   Unterstützung von Seiten der Arbeitsverwaltung und von Seiten der Unternehmen ist dazu notwendig. Für die Berufsorientierung ist die Sicht der ausbildenden Wirtschaft unabdingbar. Diese Beweggründe sind Anlass, dass die Landesarbeitsgemei nschaft SCHULEWIRTSCHAFT Wirtschaft als einzige paritätisch organisierte, kooperative und unabhängige Institution, die  gemeinsam von Wirtschaft und Schule getragen wird, diese Aufgabe gern übernimmt. SCHULEWIRTSCHAFT verfügt über die Unterstützung der Arbeitsagenturen und der Kammern und ist als thüringenweites Netzwerk an regionalen Arbeitskreisen organisiert, das ehrenamtliches Engagement befördert.  Weiteres Ziel ist, diese Initiative in die Allianz zur Berufsausbildung und Fachkräftesicherung  einzubringen. Der Evaluationsprozess zur Berufsorientierung im Projekt „Expertenbesuche zur Wirksamkeit der  praxisnahen Berufsorientierung“ wird vom operativ tätigen Partner BWTW durchgeführt und  beinhaltet:  • Eine wertschätzende Art und Weise der Zusammenarbeit mit den Schulen  • Einen Evaluationsprozess und Rückmeldung an die Schulen von einem unabhängigen, paritätisch besetzten, externen Expertengremium  • Die Einbeziehung von Experten aus den Bereichen Schule, Schulverwaltung, Arbeitsverwaltung und ausbildende Wirtschaft, Kammern einzubeziehen in den Prozess  • Die Mitarbeit vor allem von ehrenamtlich tätigen Unterstützer (Stärkung des Ehrenamtes)  • Eine Verbindung des Evaluationsprozesses mit einer Zertifizierung der BO an den Schulen  • Die Einbeziehung vorhandener und bewährter Instrumente zur Evaluation im Bereich der Berufsorientierung aus dem bundesweiten Kontext  • Die Verbindung der Evaluation der Berufsorientierung mit dem Verfahren „Eigenverantwortliche  Schule“ zur nachhaltigen Sicherung des Prozesses (Nachhaltigkeitsprinzip). Der Evaluationsprozess ist dreistufig ausgerichtet:  1. Stufe: für alle Schulen verbindliches online-tool zur Selbsteinschätzung (gute Berufsorientieru ng).  2. Stufe: qualifizierter Evaluationsprozess unter Einbindung des externen Blicks durch Experten u. a. aus der Wirtschaft. Hier sollten die bisher noch nicht erprobten Bewerbungsunterlagen des bundesweiten Siegel-Netzwerkes zum Einsatz kommen. Die Schulen erhalten eine qualifizierte Rückmeldung (Fremdeinschätzung).  3. Stufe: die Krönung guter Berufsorientierung soll durch das Berufswahl-Siegel erfolgen. Dieses wird (extern — außerhalb des Förderprojektes) von der Landesarbeitsgemeinschaft SCHULEWIRTSCHAFT vergeben. Die Verleihungsveranstaltung wird durch  SCHULEWIRTSCHAFT ausgerichtet.  Erfolgsindikatoren:  • Mit dem Projekt sollen alle weiterführenden Schulen des Freistaates erreicht werden.  • Die Selbsteinschätzung wird online von einem Pädagogen möglichst jeder Schule vorgenommen.  • Das Schulgespräch in Stufe 2 erfolgt zwischen Experten und Schulvertretern (Schüler und Lehrer). Ziel sind ca. 50 Schulen jährlich  • Stetiges und wachsendes Engagement von Experten für die Qualität der BO an Schulen  • Kontinuierliche Qualitätssteigerung der schulischen Beruflichen Orientierung durch Einführung eines standardisierten Verfahrens",01.01.2016,31.12.2017,"177.177,92",80.00%,99094 Erfurt,DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Bildungswerk der Thüringer Wirtschaft e.V.,Maßnahme zur Senkung des Anteils von Schülerinnen und Schülern ohne Schulabschluss - Regelschule Seebach,"Maßnahmeziel und –inhalt unter Berücksichtigung der „Landesstrategie BO“  Das Ziel der Senkung des Anteiles der Schülerinnen und Schüler, welche ohne Abschluss die Schule verlassen, soll erreicht werden durch eine individuelle, systemisch orientierte Arbeit mit Schülern ab Klassenstufe 5. Dabei soll durch verschiedene Ansätze und Methoden die Freude an schulischen Aktivitäten durch die Erzielung nachhaltige Erfolgserlebnisse beim Lernen (wieder) hergestellt werden.    Erwartete Ergebnisse bzw. Ableitung der Erfolgsindikatoren  Das Grobziel der Maßnahme besteht in der Senkung des Anteils von Schülerinnen und Schülern ohne Schulabschluss. Dazu bedarf es weiterer messbarer Feinziele. Konkret sollen mindestens 80% der Schüler mit individuellen Problemlagen wieder in ihre Ursprungsklassen integriert werden.  Die entsprechende Dokumentation unserer Arbeit ist Voraussetzung für eine eindeutige Abrechenbarkeit.    Zielgruppe / Anzahl der Teilnehmer / Schularten  unmittelbare Zielgruppe:  Schüler, bei denen der Hauptschulabschluss gefährdet ist. Da die eingesetzten sozialpädagogischen Fachkräfte nach dem systemischen Ansatz arbeiten, sprechen die Unterstützungsleistung zudem auch Lehrer, Eltern und alle in den Alltag des Schülers eingebetteten Personen an. Absprachen zur Teilnahme der Schüler werden im Rahmen von Lehrer- / Elterngesprächen im Beisein unserer Mitarbeiter getroffen.    mittelbare Zielgruppe:  Im Rahmen der Entwicklung einer offenen bzw. (teilweise) gebundenen Ganztagsgestaltung erhalten alle Schüler ab Klassenstufe 5 der Regelschule Seebach die Möglichkeit, in Teilprojekten mitzuwirken. Dies erfolgt auf freiwilliger Basis.    Maßnahmeorte  • Regelschule „Johannes Dicel“, Friedrich-Engels-Ring 1, 99846 Seebach  • Bildungswerk der Thüringer Wirtschaft e.V., Karlsplatz 20, 99817 Eisenach  Laufzeit  01.02.2016 – 31.07.2018",01.02.2016,31.07.2018,"198.379,65",80.00%,"99817 Eisenach, Thür",DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Bildungswerk der Thüringer Wirtschaft e.V.,Maßnahme zur Senkung des Anteils von Schülerinnen und Schülern ohne Schulabschluss - Regelschule Wutha-Farnroda,"Maßnahmeziel und –inhalt unter Berücksichtigung der „Landesstrategie BO“  Das Ziel der Senkung des Anteiles der Schülerinnen und Schüler, welche ohne Abschluss die Schule verlassen, soll erreicht werden durch eine individuelle, systemisch orientierte Arbeit mit Schülern ab Klassenstufe 5. Dabei soll durch verschiedene Ansätze und Methoden die Freude an schulischen Aktivitäten durch die Erzielung nachhaltige Erfolgserlebnisse beim Lernen (wieder) hergestellt werden.    Erwartete Ergebnisse bzw. Ableitung der Erfolgsindikatoren  Das Grobziel der Maßnahme besteht in der Senkung des Anteils von Schülerinnen und Schülern ohne Schulabschluss. Es sollen dabei mindestens 80% aller betroffenen Schüler wieder in ihre Herkunftsklassen integriert werden.   Die entsprechende Dokumentation unserer Arbeit ist Voraussetzung für eine eindeutige Abrechenbarkeit.    Darstellung der Einbindung in das Gesamtkonzept der betreffenden Gebietskörperschaft  Die Projektkoordination bzw. die Beurteilung der Förderfähigkeit der betreffenden Schule erfolgt durch das Thüringer Ministerium für Bildung, Jugend und Sport.    Zielgruppe / Anzahl der Teilnehmer / Schularten  Die Maßnahme richtet sich in erster Linie an alle Schüler, die schulverweigerndes Verhalten, entweder aktiv oder passiv, an den Tag legen. Somit sind Zielgruppe all jene Schüler:   • deren Leistungen und Verhalten perspektivisch Probleme bei der Erreichung eines Schulabschlusses erkennen bzw. vermuten lassen,  • die pädagogischen /sonderpädagogischen Förderbedarf haben sowie  • mit Migrationshintergrund, bei denen aufgrund der fehlenden oder ungenügenden Sprachkenntnisse und weiteren Integrationshemmnissen ein erfolgreichen Schulab-schluss gefährdet ist.    Im Rahmen der Entwicklung einer offenen bzw. (teilweise) gebundenen Ganztagsgestaltung erhalten alle Schüler ab Klassenstufe 5 der Regelschule Wutha die Möglichkeit, in Teilprojekten mitzuwirken. Dies erfolgt auf freiwilliger Basis.    Maßnahmeorte  • Regelschule Wutha-Farnroda, Am Rotberg 33, 99848 Wutha-Farnroda  • Bildungswerk der Thüringer Wirtschaft e.V., Karlsplatz 20, 99817 Eisenach  Laufzeit  01.03.2016 – 31.07.2018",01.03.2016,31.07.2018,"188.953,32",80.00%,"99817 Eisenach, Thür",DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Bildungswerk der Thüringer Wirtschaft e.V.,Weiterbildung innerbetriebliche Demografieberaterin / innerbetrieblicher Demografieberater,"Durch insgesamt 7 Weiterbildungen, die modular aufgebeaut sind, soll strategische Personalentwicklung vermittelt werden, die auf die Erfordernisse der demografischen Veränderungsprozesse gerichtet ist.  Die Weiterbildung Bemografieberter/in an Mitarbeitende und Selbständige mit Personalveranwortung aber auch an AN mit Multiblikatorenfunktion in Unternehmen.",01.03.2016,31.12.2017,"37.128,00",80.00%,07743 Jena,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Bildungszentrum Handel und Dienstleistungen Thüringen g GmbH,Überbetriebliche Ergänzungslehrgänge für 340 Personen,"Die Zielsetzung der Maßnahme ist die Vermittlung ausbildungsrelevanter Inhalte entsprechend der durch die IHK bestätigten Ausbildungsmodule der überbetrieblichen Ergänzungslehrgänge und Zusatzqualifikationen für die Berufe des Einzelhandels und des Berufs Automobilkaufmann/frau. Die überbetrieblichen Ergänzungslehrgänge haben sich zum festen Bestandteil unseres Bildungsangebotes für die Einzelhandels- und Dienstleistungsunternehmen der Regionen Erfurt, Weimar und Gotha entwickelt. Durch zahlreiche Firmenkontakte und intensive Beratungsgespräche erhalten die Unternehmer Kenntnis über die vielseitigen und individuellen Fördermöglichkeiten innerhalb der Ausbildung. Daraus entwickeln wir die Maßnahmeplanung und den Projektablauf für den laufenden Förderzeitraum.  Die Zielgruppe sind Auszubildende der Berufe Verkäufer, Kaufleute im Einzelhandel des 1., 2. und 3. Ausbildungsjahres.  Die Durchführung der Ergänzungsausbildung erfolgt durch erfahrene Ausbilder und Dozenten. Nach bisherigen Erfahrungen sind die Teilnehmenden sehr interessiert und bestätigen, dass die Ergänzungslehrgänge eine große Unterstützung bei der Realisierung der dualen Ausbildung sind. Durch die Unternehmen wurde uns auch in der Vergangenheit bestätigt, dass die Vermittlung der Modulinhalte stets praxisnah ist.",01.01.2015,31.08.2015,"10.200,00",80.00%,99094 Erfurt,DE,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege"
Bildungszentrum Handel und Dienstleistungen Thüringen g GmbH,Überbetriebliche Ergänzungslehrgänge für 61 Personen,"Die Zielsetzung der Maßnahme ist die Vermittlung ausbildungsrelevanter Inhalte  entsprechend der durch die IHK bestätigten Ausbildungsmodule der  überbetrieblichen Ergänzungslehrgänge für die Berufe des Einzelhandels und  verschiedener Berufe im gewerblich-technischen Bereich (Fachkraft  Lebensmitteltechnik/ Berufe im gastronomischen Bereich).  Die überbetrieblichen Ergänzungslehrgänge haben sich zum festen Bestandteil  unseres Bildungsangebotes für die Einzelhandels- und Dienstleistungsunternehmen  der Regionen Erfurt, Weimar und Gotha entwickelt. Durch zahlreiche Firmenkontakte  und intensive Beratungsgespräche erhalten die Unternehmer Kenntnis über die  vielseitigen und individuellen Fördermäglichkeiten innerhalb der Ausbildung. Daraus  entwickeln wir die Maßnahmeplanung und den Projektablauf für den laufenden  Förderzeitraum.  Die Zielgruppe sind u.a. Auszubildende der Berufe Verkäufer, Kaufleute im  Einzelhandel und Koch des 1., 2. und 3. Ausbildungsjahres.  Die Durchführung der Ergänzungsausbildung erfolgt durch erfahrene Ausbilder und  Dozenten. Nach bisherigen Erfahrungen sind die Teilnehmenden sehr interessiert  und bestätigen, dass die Ergänzungslehrgänge eine große Unterstützung bei der  Realisierung der dualen Ausbildung sind.  Durch die Unternehmen wurde uns auch in der Vergangenheit bestätigt, dass die  Vermittlung der Modulinhalte stets praxisnah ist.",24.08.2015,14.08.2016,"9.225,00",80.00%,99094 Erfurt,DE,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege"
Bildungszentrum Handel/Gewerbe/ Freie Berufe e.V.,KLEEBLATT - das Familienprojekt im Unstrut-Hainich-Kreis (TIZIAN 4),"Das Ziel des Projekts Kleeblatt ist die Verringerung der Kinderarmut im Unstrut-Hainich-Kreis. Das Trägernetzwerk KLEEBLATT will die Menschen da abholen, wo sie gerade stehen und mit ihnen ihre persönliche Situation analysieren, persönliche Ziele, Wünsche und Bedarfe feststellen und Lösungswege gemneinsam erarbeiten und aufzeigen sowie Handlungskompetenz vermitteln und trainieren.",01.01.2015,31.12.2017,"180.981,28",80.00%,99974 Mühlhausen/Thüringen,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Bildungszentrum Handel/Gewerbe/ Freie Berufe e.V.,ausblick. individuelle Integrationsbegleitung im Unstrut-Hainich-Kreis,"Die Trägerkooperation, bestehend aus der AWT Akademie für Wirtschaft und Technologie GmbH, der Berufsfortbildungswerk GmbH, dem Bildungswerk der Thüringer Wirtschaft e.V., dem Bildungszentrum Handel/Gewerbe/Freie Berufe e.V. sowie dem Landratsamt UHK setzt seit 2010 das Integrationsprojekt ausblick im Unstrut-Hainich-Kreis sehr erfolgreich um.    Das Projekt hat das Ziel, die Teilnehmer durch eine individuelle, stärken- und vertrauensbasierte Begleitung und Unterstützung auf eine Integration in den Arbeitsmarkt vorzubereiten. das Aufgabenspektrum umfasst vor allem die Förderung der Wiederherstellung, den Erhalt sowie die Verbesserung der Beschäftigungsfähigkeit und die Integration in Arbeit, in arbeitsmarktpolitische Maßnahmen, Schule/Ausbildung, in den zweiten Arbeitsmarkt oder Qualifizierungsmaßnahmen. Die individuelle bedarfsgerechte Unterstützung, Beratung, Betreuung, Begleitung sowie Initiierung und Pflege von Integrationsnetzwerken unter Einbeziehung der bestehenden Angebote in der Region sind dafür wichtige Bestandteile.    Die Projektpartner stellen sich dem gesetzten Ziel, mind. 33% aller TN in den 1. Arbeitsmarkt bzw. in Ausbildung zu integrieren. Bei mindestens 86% der TN wird eine Verbesserung ihrer beruflichen oder persönlich-sozialen Situation angestrebt.",01.01.2015,31.12.2016,"128.153,23",80.00%,99974 Mühlhausen/Thüringen,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Bildungszentrum Handel/Gewerbe/ Freie Berufe e.V.,Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft Unstrut-Hainich-Kreis,"1. Zielgruppe/Anzahl der Teilnehmer/Schularten  Zielgruppe der Maßnahme sind Schülerinnen und Schüler der Klassen 7 bis 9 der Regel-, Gemeinschafts- und Gesamtschulen, die Förderschulen ab Klasse 7 und die Gymnasien, Klasse 9, des Unstrut- Hainich-Kreises.    2. Maßnahmeziel und –inhalt unter Berücksichtigung der „Landesstrategie Berufsorientierung“  • fachlich-inhaltliche Umsetzung des in der ESF-Schulförderrichtlinie vom 25.02.2015 gemäß des im Teil A unter Punkt 1.1.2 genannten Zieles, der Erhöhung der Berufswahlkompetenz der Schülerinnen und Schüler an weiterführenden allgemein bildenden Schulen in Thüringen, insbesondere zur Vorbereitung auf eine Ausbildung in den Bereichen Technik sowie Gesundheits- und Sozialpflege bzw. eines Studiums im ingenieurwissenschaftlichen Bereich  • Beachtung der in der „Landesstrategie zur praxisnahen Berufsorientierung“ festgelegten Prämissen und der regionalen Voraussetzungen und Bedingungen     Regel-, Gemeinschafts-, Gesamt- und Förderschulen:    Klassenstufe 7:  Berufsfelderkundung innerhalb einer Woche in fünf angegebenen Berufsfeldern  Klassenstufe 8:  Berufsfelderprobung in Praxisräumen/Fachkabinetten der beteiligten Träger oder Betrieben/Unternehmen der Region  Klassenstufe 9: Berufsfelderprobung beim Träger oder in Unternehmen ausschließlich für die Schüler, die in ihrer Berufswahl/Berufsrichtung noch nicht gefestigt sind    Schüler mit sonderpädagogischen Förderbedarf:  Klassenstufe 7: Berufsfelderkundung von mindestens fünf Berufsfeldern innerhalb einer Woche   Klassenstufe 8: Berufsfelderprobung von jeweils 5 Tagen pro Berufsfeld  Klassenstufe 9: vertiefende Berufsfelderprobung in einem vom Schüler ausgesuchten Berufsfeld (15 Tagen)    Gymnasien:  Die teilnehmenden Schüler der Klassenstufe 9, 10 und 11 streben ein Studium im mathematisch-naturwissenschaftlich-technischen Bereich bzw. eine Aufnahme einer technisch orientierten Ausbildung an. Es werden Berufsfelderkundungen und Berufsfelderprobungen durchgeführt. Es nehmen ausschließlich Schüler teil, welche ein MINT-Studium oder eine MINT-Ausbildung anstreben. Eine Auswahl der Schüler trifft die Schule.    3. Darstellung der Einbindung in das Gesamtkonzept der betreffenden Gebietskörperschaft  Das Bildungszentrum e.V. als Mitglied des Bildungsverbundes übernimmt die Koordination, Abrechnung und Verteilung der finanziellen Mittel. Ein Mitarbeiter des Bildungszentrums wird als Projektkoordinator eingesetzt und ist Ansprechpartner für alle Träger im Verbund. Aus den Verbundpartnern wird jeweils ein Mitarbeiter für den Maßnahmeablauf in den jeweiligen Schulen berufen. Diese Mitarbeiter stehen im engen Kontakt zum Projektkoordinator. Regelmäßige Absprachen, persönlich oder telefonisch, und monatliche Treffs zur Auswertung gelaufener Maßnahmen und Organisation bzw. Koordination kommender Maßnahmen werden für sie verbindlich festgelegt. Die verantwortlichen Mitarbeiter sind auch für den Kontakt zu den jeweiligen Schulen zuständig (Schulleitung, BOK-Lehrer/Beratungslehrer, Schüler).  Regelmäßiger Kontakt besteht ebenso zu den Berufsberatungsfachkräften sowie Studienberater der Agentur für Arbeit. Diese werden maßgeblich in das Projekt einbezogen.    Insbesondere Metallberufe, Berufe im Gesundheits- und Sozialwesen, im Bereich Handel/Lager, aber auch Elektronik/Elektrotechnik sind seitens der Unternehmen im Unstrut-Hainich-Kreis gefragte Ausbildungsberufsfelder.   Insgesamt elf Berufsfelder, in denen MINT-Berufe verankert sind, werden vom Bildungsverbund Unstrut-Hainich für die Schulen der Region angeboten: Metalltechnik, Holztechnik, Farbe/Raumgestaltung, Gesundheit/Soziales/Pflege/Labor,Lager/Logistik,Medien/Medientechnik,Ernährung/Hauswirtschaft/ Gastronomie, Gartenbau, Kosmetik/Körperpflege, Elektrotechnik Elektronik, Bau/Bautechnik.    4. Maßnahmeorte  Als Maßnahmeorte werden Mühlhausen und Bad Langensalza benannt.    5. Laufzeit  Das Projekt findet statt in der Zeit vom 01.09.2015 bis 31.07.2017",01.09.2015,31.07.2016,"435.180,61",80.00%,99974 Mühlhausen/Thüringen,DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
