projekttitel,start_dato,slut_dato,ordning,Indsatsområde,budget,eu,tas_projekt_besk,region,cvr,navn,vejnavn,postnr,bynavn,parter,
Program for specialiseret rådgivning og virksomhedsudvikling for fødevarevirksomheder,30.10.2009,31.12.2013,ERDFM,Innovation og videndeling,"10699763,87","2016628,09","Med det formål at øge innovationskompetencerne i de små og mellemstore fødevarevirksomheder, via nye rådgivningskoncepter, har Vækstforum Midtjylland udbudt et program for specialiseret rådgivning og virksomhedsudvikling, der bl.a. skal have følgende indvirkning på fødevarevirksomhederne:Identifikation af udviklingspotentialerOverkomme fødevareteknologiske og produktionsmæssige barriererEtablering af samarbejder med videnaktørerIgangsættelse af udviklingssamarbejder på tværs af værdikæderProgrammet henvender sig til såvel den økologiske som den konventionelle fødevaresektor.Programmet indeholder tilbud, der modsvarer den enkelte fødevarevirksomheds behov og situation (potentiale). Tilbuddene består af adgang til tilskud til specialiseret rådgivning/virksomhedsudvikling (medfinansiering af honorar ifb. eks. brug af privat rådgiver, GTS-institut og/eller forsknings-/videnmiljø). Mere specifikt kan dette udspecificeres i følgende produkter:¿Problemknuser¿ Rådgiverteams En vigtig del af programmets formål er at udvikle nye rådgivningstiltag og innovationsfremmende initiativer, der på den ene side er nyskabende ift. indholdet i de øvrige regionale virksomhedsudviklingsprogrammer og på den anden side har en særlig adresse til fødevarevirksomhedernes situation og behov. Der skal således være mulighed for at der kan udvikles helt nye tværgående tilbud, som er skræddersyet til den enkelte virksomheds behov. Som eksempler på denne type tilbud kan nævnes:¿Fødevare-partnerskab¿ - udvikling og afprøvning af et initiativ, hvor større, erfarne virksomheder inden for fødevaresektoren i bred forstand bistår små og mindre erfarne virksomheder med at realisere udviklingspotentialer¿Food-race¿ - udvikling og afprøvning af et sammenhængende udviklingsforløb, hvor deltagervirksomhederne via en vekselvirkning mellem eget arbejde, adgang til hjælp fra rådgivere/specialister og deltagelse i en række camps får konkre-tiseret og realiseret udviklingspotentialer¿Intensiv virksomhedsudvikling¿ ¿ udvikling og afprøvning af komprimerede udviklingsseancer over to ¿ tre dage, hvor deltagerne via et intensivt forarbejde får lejlighed til at præsentere og arbejde med sit potentiale sammen med de bedste indenlandske og udenlandske eksperter",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,VIFU - Videncenter for Fødevareudvikling.,
Innovativt netværk for fleksibel fjernvarme,19.01.2009,30.06.2014,ERDFN,Innovation og videndeling,"10840383,2","5420006,44","Gennem netværksaktiviteter og projektering af 4 designprojekter - Thisted, Aalborg, Brønderslev og Jammerbugt - inden for såvel distributions- som produktionssiden at kortlægge, hvorledes en optimering af det nordjyske fjernvarmesystem kan realiseres med henblik på følgende: at udbygge og videreudvikle de nordjyske kompetencer inden for kollektiv varmeforsyning på såvel forsknings-, undervisnings-, rådgivnings-, producent- som leverandørsiden, at inddrage nye og vedvarende energikilder med skyldig hensyntagen til lokale forhold, og overordnet set i forhold til klimaproblematikken - eksempelvis geothermi, solvarme, biogas, vind, m.v. - med det resultat for øje at udfase de fossile brændsler, at udvikle model/modeller og metode/metoder og software, der kan optimere energiudnyttelsen og dermed sikre en fornuftig selskabsøkonomi samt har som målsætning, at de nationale krav om begrænsning af C02-udledningen som minimum bliver opfyldt, at gøre dette udviklingsarbejde operationelt med henblik på efterfølgende kommercielle aktiviteter nationalt og i forhold til andre regioner i Europa, og dermed udbygge grundlaget for systemeksport af viden og produkter, samt ikke mindst formidle viden og resultater fra projektet som helhed.",Nordjylland,29189420,Aalborg Kommune,Boulevarden 13,9000,Aalborg,Aalborg Universitet. Aalborg Universitet. Aalborg Kommune. Brønderslev Varme A/S. THISTED VARMEFORSYNING A M B A. Fjerritslev Fjernvarme.,
TeleCare Nord,09.07.2012,31.08.2015,ESFN,Anvendelse af ny teknologi,"10906040,92",4370000,"TeleCare Nord er et tværsektorielt samarbejde mellem de nordjyske kommuner, praktiserende læger og Region Nordjylland om Telemedicin for KOL-patienter. Formålet er, gennem brug af telemedicin, at understøtte patient empowerment og styrke patientens kompetencer til egenomsorg. Gennem øget patienttryghed og fastholdelse af sundhedstilstand opstår et mindre behov for sundhedsvæsenets ydelser. Herved opnås en samfundsøkonomisk effekt. TeleCare Nord er det første fuldskala projekt med Telemedicin i Danmark og har derfor betydelig national interesse. Med denne ansøgning suppleres projektet med aktiviteter, der sigter på en større grad af forankring af viden og erfaring i en erhvervsmæssig kontekst, og som sikrer, at TeleCare Nord bidrager til at styrke Nordjylland som telemedicinsk fyrtårn. Desuden sikres, at resultaterne for den forskningsmæssige viden, der forankres på Aalborg universitet, og den praksiserfaring, der indlejres i alle nordjyske kommuner, hos de praktiserede læger og hos Region Nordjylland, bidrager til at styrke og tiltrække det velfærdsteknologiske erhverv til Nordjylland. Aktiviteterne er; En kompetenceindsats, som bidrager til, at de sundhedsprofessionelle kan påtage sig rollen som ambassadører for øget anvendelse af telemedicin og velfærdsteknologi. En interaktions- og vidensdelingsindsats, som bidrager til innovation og markedsmodning omkring telemedicinske løsninger.",Nordjylland,29190941,Region Nordjylland,Niels Bohrs Vej 30,9220,Aalborg Øst,Aalborg Universitet. Aalborg Kommune. Brønderslev kommune.,
Dit hus,15.08.2008,31.07.2012,ERDFK,Innovation og videndeling,"10906270,24","5345208,25","Projektet ""Dit hus"" handler om at etablere mulighed for intelligent styring af boligens energiforbrug gennem udvikling af prototypen på en såkaldt ""home port."" Via denne port skabes adgang til en koordineret styring af boligens forskellige delsystemer til styring og overvågning af energi m.v. Nøglebegreber i projektet er sameksistens af forskellige teknologier - et fælles servicelag - i det private hus. Formålet med en sådan sameksistens er at mindske energiudgifter og miljøbelastning.",Konkurrenceudsat pulje,29102384,Aalborg Universitet,Selma Lagerlöfsvej 300,9220,Aalborg Øst,Alexandra Instituttet A/S. Fonden Center for Software Innovation. Zense Technology A/S.,
Global Vækst Syddanmark,31.08.2012,28.02.2015,ESFD,Innovation og videndeling,"11017187,16","5098909,04","Global Vækst Syddanmark er et internationaliseringsprojekt for små- og mellemstore virksomheder (SMV) inden for Vækstforums forretningsområder samt underleverandører til disse. Projektet fokuserer på at øge SMV´ernes internationale konkurrenceevne og skabe omsætnings- og beskæftigelsesvækst. Projektet indeholder to primære aktiviteter: 1) Klar til Eksport, der er en modningsfase for de virksomheder, der ikke umiddelbart har eksporterfaring, og dermed får en viden om de særlige udfordringer og muligheder, de har og dermed styrker deres muligheder for at kunne eksportere. 2) Vækst via Internationalisering fokuserer på at sikre, at SMV'erne får det kompetenceløft, som netop er deres udfordring i forhold til det globale marked ¿ herunder eksempelvis netværksforløb sammen med andre virksomheder med lignende udfordringer. Der forventes 50 deltagende virksomheder i Klar til Eksport, og 25 deltagende virksomheder (eller 25-50 ledende medarbejdere) i Vækst via Internationalisering. Den forventede effekt af projektet er at øge de deltagende virksomheders viden og kompetencer for at sikre en større internationaliseringsgrad og eksporthandel ¿ og dermed samlet set bidrage til øget konkurrenceevne for virksomhederne inden for forretningsområdet. SMV'ere der gennemfører Vækst via Internationalisering forventes i gennemsnit at øge sin eksportandel med dobbelt så mange procentpoint som en sammenlignelig kontrolgruppes eksportandel. .",Syddanmark,30089448,Væksthus Syddanmark,Forskerparken 10 C,5230,Odense M,Foreningen EU og Internationalt samarbejde i Syddanmark .,
SustainHort - Energioptimering i gartnerier,14.03.2012,31.12.2014,ERDFD,Innovation og videndeling,"11019430,12","5434770,25","SustainHort - energioptimering i gartnerier. Formålet med projektet er at udvikle og indsamle viden i branchen for teknologileverandører af energibesparende udstyr og anlæg til gartnerisektoren samt at intensivere markedsføringen i ind- og udland. Projektet skal fokusere på at få eksisterende og nye idéer implementeret samt at udvikle finansieringsværktøjer, der kan fremme investeringsmulighederne bl.a. baseret på EPC (Energy Performance Contracting) og ESCO-princippet. Herudover skal projektet medvirke til at udvikle det strategiske beredskab hos leverandører bl.a med henblik på at udvikle nye eksportmarkeder. Med kendte og tilpassede teknologier er det muligt at reducere energiforbruget i gartnerier med op til 40% og på længere sigt, forudsat fortsat fokus på teknoloigudvikling og brug af vedvarende energi, at reducere energiforbruget på årsbasis yderligere.",Syddanmark,27542158,Den erhvervsdrivende fond Sustainagri,Sanderumvej 16 B,5250,Odense SV,CLEAN. Hortiadvice Scandinavia A/S.,
East Metal i Nakskov,07.01.2013,31.03.2015,ERDFS,Innovation og videndeling,"11099668,82","1109966,88","East Metal har siden 1997 udført underleverandøropgaver på primært tunge, komplekse stålkonstruktioner og -komponenter for danske virksomheder. Virksomheden beskæftiger over 500 medarbejdere på to moderne, ISO-certificerede fabrikker i Letland. Realiseringen af dette projekt betyder, at der vil ske en omstilling og nytænkning af virksomhedens hidtidige produktionsprocesser. I fremtiden vil de tunge stålopgaver, som kun kan fragtes med skib eller specialtransport blive delvist produceret i Letland, fragtet til Nakskov og derefter færdiggjort i nyrenoverede bygninger på 1.100 m2 i Nakskov Havn. Formålet med dette projekt er således at etablere produktions- og montage facilitieter i Nakskov.",Sjælland,34881383,EAST Metal Nakskov A/S,Skibsværftsvej 46,4900,Nakskov,,
Modtagelse og fastholdelse af udenlandsk arbejdskraft,15.09.2008,29.02.2012,ESFM,Udvikling af menneskelige ressourcer,"11105640,42","5539028,98","Projektets formål er ""modtagelse og fastholdelse af udenlandsk arbejdskraft"". Det organiseres ud fra et konsortium, der består af Ringkøbing Fjord Erhvervsråd, Nordvestjysk Erhvervsråd og Erhvervsrådet Herning & Ikast-Brande som partnere. Erhvervsrådene indgår i et samarbejde omkring projektets aktiviteter med de kommuner, som de dækker - Lemvig undtaget. Indsatsen for at lette virksomhedernes modtagelse og integration udenlandsk af arbejdskraft omfatter 6 indsatsområder:1. Vejledning og bistand i forbindelse med udenlandske arbejdskrafts ankomst til landet.2. Bistand til den udenlandske arbejdskraft i forbindelse med anskaffelse af bolig og boligindretning.3. Integration af den udenlandske arbejdskraft på arbejdspladsen.4. Integration af den udenlandske arbejdskraft i lokalsamfundet.5. Etablering af mødeforum for og netværk forvirksomheder og myndigheder.6. Fastholdelse af den udenlandske arbejdskraft.Indsatsen for at understøtte og udvikle den offentlige modtagelse og integration af den udenlandske arbejdskraft i lokalsamfundet omfatter 3 hovedområder:I) Udvikling og organisering af den kommunale modtagelse af udenlandsk arbejdskraft.II) Udvikling af en kommunal integrationspolitik målrettet udenlandsk arbejdskraft.III) Etablering af netværk, der fremmer den kommunale modtagelses- og fastholdelsespolitik.Effekten af indsatsen vil være, at arbejdsstyrken bliver udvidet med udenlandsk arbejdskraft, der kan opveje dels den demografiske udvikling og manglen på arbejdskraft.Virksomhederne og den udenlandske arbejdskraft skal tilbydes en mere struktureret tilgang til informationer og støtte. Endvidere at der tegner sig et klart billede af de aktører, der kan hjælpe dem med specifikke problemstillinger.Redskabs- og metodeudviklingen skal være af en sådan kvalitet, at flere virksomheder motiveres til at søge udenlandsk arbejdskraft og at denne kan fastholdes og integreres i området. Koordineringen af aktører i projektet vil skabe en synenergi og videnspredning, der vil minimere risikoen for suboptimering.Bilag: ""Behovet for udenlandsk arbejdskraft - samlet rapport"" RBR Midtjylland juni 2008",Midtjylland,26397928,Foreningen Ringkøbing Fjord Erhvervsråd,Bredgade 77,6940,Lem St,Struer kommune. Ringkøbing-Skjern Kommune. Ikast-Brande Kommune. Herning Kommune. Holstebro Kommune. Erhvervsrådet Herning og Ikast-Brande. Nordvestjysk Erhvervsråd V.M.B.A..,
Destinationsudvikling Sønderjylland,14.03.2012,31.12.2014,ERDFD,Innovation og videndeling,"11234776,38","5523620,12","Sønderjylland har ifølge analyser udført af Visitsyddanmark gode perspektiver og udviklingsmuligheder som en destination. En forudsætning for at kunne indfri dette potentiale er dog dannelsen af en DMO. De fire sønderjyske kommuner Haderslev, Sønderborg, Tønder og Aabenraa ønsker med ansøgningen til Destinationsudvikling Sønderjylland at igangsætte en proces, der skal lede hen til den endelige etablering af Destination Sønderjylland. Projektet er tænkt i to sideløbende forløb. Et DMO dannende forløb, der beskæftiger sig med det organisatoriske arbejde i forhold til dannelsen af en DMO samt et aktivitets forløb, der arbejder med at udpege og udvikle de fælles styrkepositioner, der ligger i det sønderjyske område. Derudover vil en stærk DMO på den danske side af grænsen være en væsentlig spiller i forhold til det fremtidige turismeudviklingssamarbejde hen over grænsen.",Syddanmark,32816940,Sønderborg Erhvervs- og Turistcenter,Perlegade 9,6400,Sønderborg,Tønder Kommune. Haderslev Kommune. Turistforeningen for Aabenraa og omegn.,
Fashion Accelerator,15.05.2008,31.08.2011,ERDFK,Innovation og videndeling,"11237780,75","5534077,91","Dansk mode har et betydeligt vækstpotentiale, som udspringer af et større antal modevirksomheder med et markant kreativt potentiale og en modeuge, der er Nordeuropas største modebegivenhed for B2B markedet. Modebranchen betegnes som en national klynge og er Danmarks 4. største eksporterhverv, hvor eksporten trækkes af de få globale konfektionsvirksomheder. De mange mindre kreative modevirksomheder skal håndtere en stigende konkurrence og et mættet hjemmemarked. De står derfor over for en internationaliseringsfase. Fashion Accelerator understøtter nationale og regionale initiativer om Danmark som kreativ nation.Projektet tager udgangspunkt i virksomhedens parathed og ændrer med sin screening af modebranchens vækstvirksomheder fokus til efterspørgerens behov. De skræddersyede tilbud i en kritisk fase for virksomheden hjælper med at accelerere udviklingen og tilføre helt afgørende kompetencer og netværk.Modebranchen har begrænset netværks- og samarbejdsrelationer ligesom de ikke i tilstrækkeligt omfang har forretningsmæssige kompetencer. Formålet er at skabe et netværk, der som innovationsmiljø for danske modevirksomheder udvikler forretningskompetencer, viden om branding og design, giver adgang til viden om og indsigt i den internationale modebranche, og som kan få en mentor med international forretningserfaring i modebranchen tilknyttet den enkelte virksomhed. Netværksaktiviteterne gennemføres som Master Class med internationale oplægsholdere, som workshops med videnudveksling og idégenerering og som seminarer og korte temamøder med fokus på inspiration og konkret læring.Det innovative netværk Fashion Accelerator indeholder desuden et internationalt best practise forløb i Fashion Management på European School of Economics kombineret med review board, international salgstræning og international positionering. De erfaringer som projektets deltagere opnår anvendes sammen med uddannelsesinstitutionerne til at udvikle uddannelsesforløb i forretningsudvikling, Fashion Management og internationalisering, som implementeres på de eksisterende videregående uddannelser på alle niveauer.Det er projektets mål at min. 40 modevirksomheder deltager og min. 20 mentorer med betydelig international og forretningsmæssig kompetence tilknyttes virksomhederne. Den enkelte virksomhed får desuden tilknyttet en coach, fra Væksthus Hovedstadsregionen eller Væksthus Midtjylland, som løbende holder virksomheden fast på vækst og udvikling.",Konkurrenceudsat pulje,29832978,Væksthus Hovedstadsregionen,Gribskovvej 4,2100,København Ø,Væksthus Midtjylland. Dansk Mode & Textil.,
Projekt Strategisk Værtskab,05.06.2012,30.04.2015,ERDFD,Innovation og videndeling,"11267231,76","5494999,81","Med Projektet forsøges kongresbearbejdning bragt ind på vidensinstitutioner/klyngers dagsorden, hvor indsatsen gøres til en kerneaktivitet i internationaliseringsbestræbelserne i Syddanmark. Her bliver det afgørende at skabe rammer for det innovative samspil mellem klynger, vidensinstitutioner, værtsbyer og aktører. Med Projektet vil vi: Skabe forretningen: Strategisk prioritering og øget opbakning til potentielle værter fra værternes egen organisation vil give mere dedikerede og mere ressourcestærke værter. Vinde forretningen: Innovativ og skræddersyet aktivering af oplevelser og services hele vejen rundt om arrangementet vil give mere konkurrencedygtige tilbud til internationale beslutningstagere. For at støtte op omkring det at skabe og vinde forretningen, vil Projektet gennemføre flg. aktiviteter: 1) Forankre Kongresstrategi: Prioritering og support af kongresindsats i viden- og klyngemiljøer. 2) Dyrke Byernes Værtskab: Bredere opbakning, tættere samspil og konceptudvikling ml. aktører. 3) Motivere Ambassadørkorps: Understøtte prioritering, ekspertise, videndeling og motivation. 4) Videreudvikle Supportfunktion: Service- og kommunikationsplatform samt support til kongresværter. Ultimativt er målet med projektet at vinde min. 5 konferencer p.a. med en forventet meromsætning på 9 mio. kr. p.a. Effekt: Øget omsætning - også i delbrancher; afledt effekt ift. global videndeling, promovering af Syddanmark som videns- og værtsdestination, kompetenceløft af aktører m.m.",Syddanmark,29189900,Vejle Kommune,Banegårdspladsen 6,7100,Vejle,Den erhvervsdrivende fond Inspiring Denmark.,
Demens i hjemmet,08.04.2009,30.06.2013,ERDFD,Innovation og videndeling,"11279063,32","5617870,76","Dette projekt har to overordnede mål. Det ene er at skabe nye produkter, der kan understøtte demente i eget hjem. Disse produkter vil indeholde et erhvervspotentiale, da der bliver tale om nye produkter der understøtter hidtil uerkendte behov. Dette vil have den sideeffekt, at brugerne får mulighed for at være med til at forbedre deres egne vilkår og opretholde livskvaliteten i eget hjem. Både pga. udsigterne til øget livskvalitet og værdighed og pga. det stærkt stigende antal demente er der et stort potentiale for danske virksomheder i at være de første til at komme med gode løsninger på dette område.Det andet formål er at afprøve og forfine selve den proces, det er, at bedrive brugerdreven innovation, for gennem praktisk afprøvning at blive bedre til at bedrive brugerdreven innovation.",Syddanmark,56976116,Teknologisk Institut,Forskerparken 10,5230,Odense M,Designskolen Kolding. Vejle Kommune. Odense Kommune. Esbjerg Kommune. Socialstyrelsen. Math Magicians. Care 4 All. PlayAlive A/S.,
Attraktive Virksomheder,01.10.2008,31.08.2012,ESFS,Udvikling af menneskelige ressourcer,"11328923,68","4906417,41","Projekt ""Attraktive Virksomheder"" består af 3 delprojekter: 1) Øget synliggørelse af erhvervslivets gevinster ved at ansætte højtuddannede og øget synliggørelse af sjællandske virksomheders attraktivitet for jobsøgende, 2) En videreudvikling af indsatsen for at assistere virksomhederne med ansættelse af højtuddannede og 3) En omfattende indsats for, at virksomhederne på Sjælland kan gøre sig mere attraktive overfor potentielt jobsøgende videnmedarbejdere.Alle 3 delprojekter er afgørende elementer i Vækstforum Sjællands valgte strategi om ""Videnoverførsel til Virksomhederne"", og det er vigtigt for synergieffekten, at de igangsættes samtidigt.Det er også vigtigt af hensyn til gennemslagskraften, at projektet strækker sig over lang tid. Der er stadig mange virksomheder, som ikke har opdaget de nationale tilbud som AkademikerKampagnen og Regionale Videnpiloter. Det tager tid.Projektet dækker geografisk hele Region Sjælland, og der er draget megen omsorg for at sætte ""Det Bedste Hold"" til opgaverne.Der nedsættes en styregruppe bestående af Akademikernes Centralorganisation (med Akademikerkampagnen og Kampagnebasen), Region Sjælland Kommunikation, Syddansk Universitet, KarriereCentret, RUC, Væksthus Sjælland, DI, Dansk Erhverv, Håndværksrådet og Erhvervs- og Videncenter Vestsjælland ¿ direktør Frits Mønsted.Styregruppens medlemmer leverer ikke ydelser og er ikke netværksdeltagere. Styregruppens rolle er alene at følge projektets fremdrift.Det samlede projektbudget er på ca. 9,8 mio. kr.",Sjælland,30089464,Den Erhvervsdrivende Fond Væksthus Sjælland,Marienbergvej 132,4760,Vordingborg,Syddansk Universitet. Erhvervs- og Videncenter Vestsjælland.,
Etablering af regionalt Symbiosesekretariat,01.12.2010,30.11.2014,ERDFS,Innovation og videndeling,"11354865,56","5639403,01","Kalundborg, Holbæk og Odsherred kommuner er gået sammen om at etablere et kommunalt drevet symbiosesekretariat, der skal styrke erhvervsudviklingen og tiltrække arbejdspladser til de 3 kommuner og regionen ved at bygge videre på Kalundborg Symbiosens unikke tilgang til miljømæssig og kommercielt bæredygtig genanvendelse af energi og restfraktioner. Den Industrielle Symbiose i Kalundborg er i dag et netværkssamarbejde mellem en række virksomheder og Kalundborg Kommune, hvor virksomhederne drager kommerciel nytte af hinandens restfraktioner eller sidestrømme, idet restproduktet fra en virksomhed er en ressource for en anden virksomhed i netværket. Muligheden for at udnytte Symbiosen, og princippet om genbrug af sidestrømme og restfraktioner, som et regionalt vækst- og beskæftigelseslokomotiv er blevet påpeget i en række analyser i de senere år og Symbiosen er - med rette - genstand for megen international opmærksomhed, hvor den er blevet et benchmark og pejlemærke for projekter, der søger at genanvende restfraktioner og sidestrømme i et kredsløb som det er tilfældet i Kalundborg.Etableringen af 2. generations bioethanolanlægget, Inbicon, i Kalundborg var blandt andet betinget af, at Symbiosen åbner mulighed for at sidestrømme kan modtages og afsættes i forbindelse med produktionen. Inbicon var også anledningen til, at Kalundborg Kommune i 2008 - med støtte fra Vækstforum Sjælland ¿ oprettede Cluster Biofuels Denmark (CBD), som sidenhen har iværksat projekter, hvor forskellige slags biomasse søges forædlet til 2. generations biobrændstoffer - se bilag 2.Erfaringerne fra CBD´s 2-årige virke som facilitator og fødselshjælper til projekter i tilknytning til Inbicon og Symbiosen har været med til at understrege, at der er betydelige virksomheds-, samfunds- og miljømæssige gevinster ved at skabe de bedst mulige rammevilkår for at: identificere nye restfraktioner og sidestrømme, der fremmer symbiosekonceptets anvendelse regionalt og lokalt udvide symbiosekonceptets geografiske udstrækning ved at gøre det attraktivt for virksomheder fra andre dele af regionen at benytte sig af principper og metoder bag Symbiosensynliggøre Symbiosekonceptet, idet det er selve symbiosetilgangen og de principper den hviler på, der er med til at afføde nye projekter og ikke nødvendigvis tilstedeværelsen af særlige produktionsmiljøer, eller erhvervsklyngerunderstøtte symbiosekonceptet ved at etablere en facilitator- og iværksætterfunktion, der kan identificere nye værdikæder, bære ideer videre, rejse funding og tage initiativer, der inspirer til at virksomheder og andre relevante aktører i regionen selv etablerer symbiose-samarbejder.På den baggrund er Kalundborg, Holbæk og Odsherred Kommune gået sammen om at etablere et symbiosesekretariat, der skal identificere nye restfraktioner og sidestrømme, udvide symbiosekonceptets geografiske udstrækning, synliggøre symbiosekonceptet potentiale i regionen og fungere som facilitator- og iværksætter med henblik på etablere flere symbioseinspirerede samarbejder til gavn for erhvervsudviklingen og miljøindsatsen i regionen. En vigtig opgave for symbiosesekretariatet bliver at indgå i sammenhænge, hvor de principper og metoder for recirkulation og genanvendelse, der ligger til grund for Symbiosen, profileres og synliggøres mere målrettet i omverden med henblik på at tiltrække såvel nationale som internationale samarbejdspartnere og kompetencer til regionen. Målet er at regionen udnytter sin nuværende styrkeposition og udvikler sig til Danmarks førende kompetencecenter inden for genanvendelsen af restfraktioner og symbiotiske platforme med udgangspunkt i konceptet bag den eksisterende Industrielle Symbiose.",Sjælland,29189595,Kalundborg Kommune,Holbækvej 141 B,4400,Kalundborg,Odsherred Kommune. Holbæk Kommune.,
Oplevelsesledelse i Yderområder,01.04.2008,31.08.2012,ESFB,Innovation og videndeling,"11384034,92","5399956,42","Med dette projekt ønsker Center for Regional og Turismeforskning (CRT) at bringe sin forskningsbaserede viden indenfor erhvervsudvikling i yderområder, turisme, fødevarer og oplevelse, samt sit netværk på universitetsniveau i anvendelse til at uddanne lokale og andre aktører på det private og offentlige arbejdsmarked. Gennem en forskningsmæssig forankring og sammenlagt med Bornholms særlige geografi og særlige erhvervsøkonomiske forudsætninger, vil Bornholm gennem dette projekt udvikle en platform til at være både leverandør og modtager af uddannelser på universitetsniveau. Projektets målsætning er at gøre Bornholm til vidensproducent til- og vidensmodtager fra danske og internationale universiteter. Forudsætningerne for dette er: ¿ At CRT er en associeret partner i Øresundsuniversitetet, og dermed har adgang til samtlige 12 universiteter i regionen. ¿ At der findes et marked for efter- og videreuddannelser, med udgangspunkt i yderområders særlige forudsætninger. ¿ At der allerede er udviklet et indhold og en samarbejdsstruktur mellem CRT, Roskilde Universitetscenter og Syddansk Universitet, der sigter mod at dække dette uddannelsesbehov. ¿ At Danvifo er en aktiv og væsentlig partner i projektet. ¿ At CRT lokalt udvikler i samarbejde med Bornholms Akademi, Danvifo, Bornholms Erhvervsskole. ¿ At der med succes har været gennemført og afprøvet et 1-årigt uddannelsesforløb på masterniveau for 25 bornholmske ledere og udviklere; ¿Innovationsledelse i Yderområder¿, 2007. ¿ At den afledte effekt af uddannelsen har været direkte målbar gennem projekter som: etablering af Serviceskolen, kompetenceudvikling i AOF-regi, virksomhedsstrategier, kulturprojekter, invitation fra Zentropa til udvikling af Bornholm som filmø og en række regional- og erhvervssamarbejder med Hong Kong/Kina formidlet via studierejse. ¿ At udvikling i IT- og bredbåndsteknologier nu tillader distanceundervisning i en hidtil ukendt kvalitet og med nye pædagogiske læringsformer. Projektets forventede resultat: I projektets 3½-årige periode skal der udvikles en model for hvordan universitets- og forskningsbaserede uddannelsesaktiviteter kan spille en rolle både nationalt og i forhold til Øresundsregionen. Endelig skal der, med et bornholmsk udgangspunkt, udvikles netbaseret uddannelse. Effekten af dette vil være, at de danske yderområder vil få tilbudt uddannelse på masterniveau, der tager udgangspunkt i regionernes særlige vilkår, samt at Bornholm og andre regioner sikres lettere adgang til videre- og efteruddannelse på universitetsniveau.",Bornholm,19716406,Center for Regional- og Turismeforskning,Stenbrudsvej 55,3730,Nexø,Teknologisk Institut. Roskilde Universitet.,
Sjællandske erhvervsskoler: flere og nye praktikpladser,01.01.2011,30.09.2014,ESFS,Udvikling af menneskelige ressourcer,"11528282,04","5764141,02","I løbet af de kommende år vil de store årganges tilbagetrækning fra arbejdsmarkedetføre til en markant mangel på faglærte. Beskæftigelsesregion Hovedstaden og Sjælland vurderer, at Region Sjælland inden for det næste årti vil mangle op imod 30.000 faguddannede personer. Formålet med projektet er gennem et målrettet opsøgende arbejde at fremskaffe et markant større antal nye praktikpladser. Disse praktikpladser etableres i virksomheder, der har godkendelse fra de faglige udvalgt til at tage elever i praktik, men ikke - eller kun sporadisk - benytter disse godkendelser, samt i nyetablerede virksomheder. I region Sjælland er der på alle erhvervsuddannelsesområder ca. 8.800 godkendelser, men i enkelte brancher benyttes kun 20% af godkendelserne. Projektets aktiviteter vil primært rette sig mod virksomheder, der har godkendelser, men som ikke gør brug af disse. Med udgangspunkt i praktikpladsstatistikken vælges uddannelser, hvor virksomhederne med ubrugte tilladelser systematisk opsøges gennem en koordineret indsats med deltagelse af samtlige erhvervsskoler i Region Sjælland. En indsats, hvor der bliver udvekslet erfaringer omkring mulige tiltag, som viser sig brugbare inden for de forskellige brancher.Første kampagnerundeMed udgangspunkt i branchelister tilrettelægges en kampagnerunde. Ved kontakten til virksomhederne lægges der vægt på at identificere hvilke procedurer og serviceydelser, der er behov for at opnå etablering af flere praktikaftaler. Denne kontakt til virksomhederne forventes at skabe yderlig fokus på praktikpladsmulighederne og derigennem medvirke til at nogle af virksomhederne i støtte omfang ansætter lærlinge.Midtvejsevaluering og workshopEfter den første kampagnerunde afholdes en midtvejsevaluering, der vurderer resultaterne af de enkelte branchekampagner og identificerer behov for tilpasninger både med hensyn til informationsmaterialer og sikring af motivation og fastholdelse af virksomhederne som leverandører af praktikpladser. Anden kampagnerundeI henhold til midtvejsevalueringen konklusioner og anbefalinger rulles anden kampagnerunde ud til de sjællandske virksomheder.",Sjælland,27328598,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster",Kringelborg Alle 7,4800,Nykøbing F,Selandia Center for Erhvervsrettet Uddannelse. Roskilde Handelsskole. EUC Sjælland. EUC Nordvestsjælland. Zealand Business College. Den Selvejende Institution Køge Handelsskole og Handelsgymnasium. Uddannelsescentret i Roskilde. Roskilde Tekniske skole.,
