Projektas,Kodas,Pareiškėjas/ Vykdytojas,Paraiškos būsena,Projekto vertė paraiškoje,Prašomas finansavimas,Projekto išlaidų suma,Finansavimas,Išmokėta finansavimo suma,Sutarties pasirašymo data
Investicijos į inovatyvios medicininės įrangos kūrimą,J05-LVPA-K-01-0274,"UAB ""Esco Medical""",Paraiškos vertinimas,812647.09,557988.16,0,0,0,
Multifunkcinė robotizuota celė,J05-LVPA-K-01-0277,"UAB ""Novameta""",Nesudaryta sutartis,0,0,0,0,0,
Automatinės lokomotyvų signalizacijos bei traukinio galinio vagono daugiafunkcinio įrenginių  sukūrimas,J05-LVPA-K-01-0285,"UAB ""Belam LT""",Nesudaryta sutartis,0,0,0,0,0,
"UAB ""Fractomus"" naujų produktų ir MTEP infrastruktūros sukūrimas",J05-LVPA-K-01-0288,"UAB ""Fractomus""",Nesudaryta sutartis,0,0,0,0,0,
Inovatyvių produktų kūrimas,J05-LVPA-K-01-0291,"Elitnet, UAB",Paraiškos vertinimas,1576809.28,843518.75,0,0,0,
"Naujos IT paslaugos, skirtos transporto draudimo rizikos valdymui panaudojant telemetrinius duomenis, prototipo sukūrimas",J05-LVPA-K-01-0072,"UAB ""Finance engineering""",Paraiškos vertinimas,125999.54,82537.73,0,0,0,
"E-paslaugų kūrimui, teikimui ir valdymui skirtos programinės įrangos produktų bandomųjų versijų (prototipų) sukūrimas",J05-LVPA-K-01-0075,"UAB ""INSOFT""",Nesudaryta sutartis,0,0,0,0,0,
"""Išmanaus transporto eismo kontrolės ir monitoringo technologijos MTEP""",J05-LVPA-K-01-0078,"""Altas IT"", UAB",Paraiškos vertinimas,1362965.23,948009.95,0,0,0,
"Žvejybos pramonės atliekų (tinklai, virvės) perdirbimo technologijos sukūrimas",J05-LVPA-K-01-0086,"UAB ""Ortmeta""",Paraiškos vertinimas,1900404.09,1193161,0,0,0,
"Naujos kartos boro trąšų, mažinančių medžiagų nuostolius, kūrimas",J05-LVPA-K-01-0089,"UAB ""Vitera Baltic""",Nesudaryta sutartis,0,0,0,0,0,
Pardavimų proceso valdymo sistemos kūrimas,J05-LVPA-K-01-0092,"MB ""Di Lodi""",Nesudaryta sutartis,0,0,0,0,0,
Apdarinių sienų plokščių modulių ir jų jungčių prototipų sistemų vystymas ir pritaikymas,J05-LVPA-K-01-0095,"Uždaroji akcinė bendrovė ""STATICUS""",Nesudaryta sutartis,0,0,0,0,0,
Nauja technologija kietų kristalinių medžiagų kiekybinei analizei naudojant FTIR-ATR analitinį metodą,J05-LVPA-K-01-0098,"UAB ""Sprana""",Nesudaryta sutartis,0,0,0,0,0,
"""Geležinkelio traukos riedmenų  universalių simuliatorių, gamybos metodų integracijos su stabdžių įranga tyrimas ir prototipo sukūrimas",J05-LVPA-K-01-0106,"UAB ""Neokon-Baltija""",Nesudaryta sutartis,0,0,0,0,0,
Daugiafunkcių kompresinių priemonių hipertrofinių randų gydymui sukūrimas,J05-LVPA-K-01-0109,Uždaroji akcinė bendrovė ORTOPEDIJOS KLINIKA,Paraiškos vertinimas,549019.03,375120.81,0,0,0,
Automatizuoto verslo procesų modeliavimo ir diagnostikos moksliniai tyrimai,J05-LVPA-K-01-0111,"InCapital Consulting, UAB",Nesudaryta sutartis,0,0,0,0,0,
"AB ""Rėkyva"" substratų su naujomis medžiagomis technologijų eksperimentinė plėtra",J05-LVPA-K-01-0114,"Akcinė bendrovė ""RĖKYVA""",Nesudaryta sutartis,0,0,0,0,0,
Karjeros modeliavimas pasitelkiant informacines technologijas,J05-LVPA-K-01-0117,"Uždaroji akcinė bendrovė ""BLUE BRIDGE""",Nesudaryta sutartis,0,0,0,0,0,
Ultratrumpieji impulsai ateities technologijoms (TRUST),J05-LVPA-K-01-0125,"Uždaroji akcinė bendrovė ""Ekspla""",Paraiškos vertinimas,1204104,836163.97,0,0,0,
"UAB ""Laumetris"" Išmaniojo vandenvežio kūrimas",J05-LVPA-K-01-0130,"Uždaroji akcinė bendrovė ""LAUMETRIS""",Nesudaryta sutartis,0,0,0,0,0,
Inovatyvios nanodalelių gamybos linijos sukūrimas/diegimas,J05-LVPA-K-01-0132,"UAB ""Rho nano""",Paraiškos vertinimas,1910750.22,1283255,0,0,0,
"UAB „Sharecruit"" investicijos į MTEP",J05-LVPA-K-01-0135,UAB Sharecruit,Paraiškos vertinimas,502334,323248.35,0,0,0,
"Inovatyvių,  biologiškai vertingų, funkcionaliųjų maisto  produktų prototipų kūrimas praturtintų agrožaliavomis – moliūgų miltais",J05-LVPA-K-01-0006,UAB PERFECTUM OPUS,Nesudaryta sutartis,0,0,0,0,0,
Lietuvos kompetencijų ir įgūdžių sisteminio valdymo ir analizės įrankių sukūrimas,J05-LVPA-K-01-0009,"UAB ""Nacionalinis švietimo centras""",Paraiškos vertinimas,299794.34,142407.49,0,0,0,
Optomechaninių sistemų lazerio spindulio fomavimui plokštumoje kūrimas,J05-LVPA-K-01-0011,"Uždaroji akcinė bendrovė ""Optolita""",Nesudaryta sutartis,0,0,0,0,0,
Antioksidacinių aktyvumu pasižyminčiu veikliųjų medžiagų išskyrimas iš svarainio bei antioksidacinio komplekso vystymas ir pritaikymas,J05-LVPA-K-01-0014,UAB Biokosmetikos manufaktūra,Nesudaryta sutartis,0,0,0,0,0,
IŠMANIOSIOS ENERGIJOS APSKAITOS SISTEMOS,J05-LVPA-K-01-0017,"UAB ""ELGAMA-ELEKTRONIKA""",Paraiškos vertinimas,684422.33,312310.39,0,0,0,
Kompleksinės įgalinančio strateginio mąstymo vertinimo metodikos sukūrimas,J05-LVPA-K-01-0025,"UAB ""Adduco""",Nesudaryta sutartis,0,0,0,0,0,
Inovatyvių LED apšvietimo produktų kūrimas ir MTEP infrastruktūros plėtra ,J05-LVPA-K-01-0028,"UAB ""ENIM""",Nesudaryta sutartis,0,0,0,0,0,
Inovatyvios robotinės matavimo sistemos ir jų optiniai komponentai,J05-LVPA-K-01-0030,"UAB ""PRECIZIKA METROLOGY""",Paraiškos vertinimas,686379.84,484131.19,0,0,0,
Naujos prostatos vėžio diagnostikos priemonės (NPVDP),J05-LVPA-K-01-0032,"UAB ""Diagnolita""",Paraiškos vertinimas,502262.82,343152.17,0,0,0,
Antimikrobinis preparatas Pseudomonas aeruginosa infekcijų gydymui,J05-LVPA-K-01-0035,"UAB ""Nomads""",Paraiškos vertinimas,545376.63,381763.66,0,0,0,
"Pažangių taikomųjų technologijų sukūrimas ir pritaikymas asmens bei visuomenės sveikatai, panaudojant giluminį geoterminį vandenį",J05-LVPA-K-01-0043,"UAB ""Kiltas""",Nesudaryta sutartis,0,0,0,0,0,
"Funkcionaliojo maisto, skirto skirtingų žmonių grupių specifiniams poreikiams tenkinti, prototipų kūrimas",J05-LVPA-K-01-0046,"Uždaroji akcinė bendrovė ""Rūta""",Paraiškos vertinimas,431937.12,330588.06,0,0,0,
Inovatyvaus naujo gaminio kūrimas UAB „Elinta“,J05-LVPA-K-01-0049,"Uždaroji akcinė bendrovė ""Elinta""",Paraiškos vertinimas,424440.37,278204,0,0,0,
Važiuoklės bazėje gaminamo autobuso hibridinio kėbulo kūrimas,J05-LVPA-K-01-0052,"UAB ""ALTAS komercinis transportas""",Paraiškos vertinimas,711621.28,433782.27,0,0,0,
"Inovatyvių odontologijos koncepcijų ""skaitmeninis pacientas"" ir ""protingos medžiagos"" tyrimai, praktinis klinikinis pritaikymas ir produktų sukūrimas",J05-LVPA-K-01-0055,"UAB ""PRODENTUM""",Paraiškos vertinimas,759958.44,397047.31,0,0,0,
Mokomojo uosto veiklos ir efektyvumo vertinimo bei kompetencijų ugdymo imitacinio modelio sukūrimas,J05-LVPA-K-01-0063,"UAB ""INFORMACINĖ RAIDA""",Paraiškos vertinimas,333325.4,234008.19,0,0,0,
Hibridinė energijos kaupimo sistema,J05-LVPA-K-01-0066,UAB HES Sistemos,Paraiškos vertinimas,2647856,1684856,0,0,0,
"Išmani energijos vartojimo efektyvumo vertinimo, apskaitos ir valdymo sistema",J05-LVPA-K-01-0069,"Akcinė bendrovė ""Axis Industries""",Paraiškos vertinimas,1502228.23,735323.22,0,0,0,
Integralios slaugos ir socialinės globos paslaugų plėtra Biržų rajone,08.4.1-ESFA-V-418-02-0001,Viešoji įstaiga Biržų rajono socialinių paslaugų centras,Įgyvendinimas,412006.56,412006.56,412006.56,412006.56,0,2016-05-16
"""Integralios pagalbos teikimas Vilniaus mieste""",08.4.1-ESFA-V-418-03-0001,Biudžetinė įstaiga Vilniaus miesto socialinės paramos centras,Įgyvendinimas,767250,767250,767250,767250,0,2016-05-30
",,Integrali socialinės globos ir slaugos pagalba į namus''",08.4.1-ESFA-V-418-02-0002,Radviliškio parapijos bendruomenės socialinių paslaugų centras,Įgyvendinimas,139500,139500,139500,139500,0,2016-05-16
INTEGRALIOS PAGALBOS PLĖTRA TELŠIŲ RAJONE,08.4.1-ESFA-V-418-02-0003,Telšių socialinių paslaugų centras,Įgyvendinimas,209250.86,209250.86,209250.86,209250.86,0,2016-05-16
Integralios pagalbos teikimas Tauragės rajono gyventojams,08.4.1-ESFA-V-418-02-0004,Tauragės rajono savivaldybės administracija,Įgyvendinimas,279000,279000,279000,279000,0,2016-05-16
Lietuvos gamtos ir kultūros paveldo objektų(išteklių) pristatymas tikslinėms atvykstamojo turizmo rinkoms,05.4.1-LVPA-V-812-01-0001,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,1186602,1186602,1186602,1186602,0,2016-06-08
Lietuvos gamtos ir kultūros paveldo objektų (išteklių) pristatymas svarbioms atvykstamojo turizmo rinkoms,05.4.1-LVPA-V-812-01-0002,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,891220,891220,891218.68,891218.68,0,2016-06-06
Lietuvos gamtos ir kultūros paveldo objektų (išteklių) pristatymas vietinio turizmo rinkoje,05.4.1-LVPA-V-812-01-0003,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,883143.71,883143.71,883058.71,883058.71,0,2016-06-06
"Kaišiadorių miesto Prezidento A.M. Brazausko parko sutvarkymas ir pritaikymas rekreaciniams, poilsio ir sveikatinimo poreikiams",07.1.1-CPVA-R-905-21-0001,Kaišiadorių rajono savivaldybės administracija,Įgyvendinimas,979068.2,880539.71,979068.2,880539.71,0,2016-09-20
"Lietuvos gamtos ir kultūros paveldo objektų (išteklių) pristatymas Italijos, Prancūzijos, Ispanijos, Belgijos, Nyderlandų atvykstamojo turizmo rinkoms",05.4.1-LVPA-V-812-01-0004,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,1143987.79,1143987.79,1143987.79,1143987.79,0,2016-07-04
Moksliniai tyrimai skirti inovatyvių debesijos sprendimų kūrimui (3rdCLOUD),01.2.1-LVPA-K-823-01-0001,Virtustream LT UAB,Įgyvendinimas,3685870.98,1842935.49,3374049.75,1396108.04,0,2016-09-28
Aplikacijų kūrimo platformų tobulinimas,01.2.1-LVPA-K-823-01-0002,"UAB ""EXADEL LT""",Nesudaryta sutartis,3846037.45,1695830.82,0,0,0,
Personalizuotos programuojamosios interneto reklamos tarp skirtingų įrenginių pateikimo technologijos,01.2.1-LVPA-K-823-01-0003,"Adform Lithuania, UAB",Įgyvendinimas,3902991.2,1600178.44,2374247.76,933255.06,0,2016-09-22
Biomedicininė elektroninė įranga poinsultinei stebėsenai,01.2.1-LVPA-K-823-01-0004,UAB GRUPPO FOS LITHUANIA,Įgyvendinimas,857183.86,602325.83,719412.03,503269.68,0,2016-10-21
UAB „DIO NAVI R&D CENTER“ MTEP ODONTOLOGIJOS SRITYJE,01.2.1-LVPA-K-823-01-0005,"UAB ""DIO Navi R&D center""",Nesudaryta sutartis,1081585.03,363606,0,0,0,
"Integruota biologinės ir sveikatos stebėsenos ir analizės sistema „Genome Clinic"" (GenClinic)",01.2.1-LVPA-K-823-01-0006,Eagle Genomics Ltd.,Nesudaryta sutartis,2685885.1,1839011.82,0,0,0,
Hibridinio elektronikos spausdinimo tyrimų ir taikymų centro įkūrimas (BeTab),01.2.1-LVPA-K-823-01-0007,"UAB ""Fredus""",Nesudaryta sutartis,12970954.49,6853817.68,0,0,0,
"Tarptautinių transporto koridorių valdymo technologijų optimizavimas įmonėje ""Gollner Spedition""",01.2.1-LVPA-K-823-01-0008,"Uždaroji akcinė bendrovė ""GOLLNER SPEDITION""",Nesudaryta sutartis,739628.75,294333.92,0,0,0,
"UAB ""Eumina"" MTEPI infrastruktūros plėtra",01.2.1-LVPA-K-823-01-0009,"UAB ""Eumina""",Nesudaryta sutartis,2484708,1118119,0,0,0,
Išmaniosios geležinkelio  transporto valdymo sistemos SafeTrain  prototipo sukūrimas,01.2.1-LVPA-K-823-01-0010,"UAB ""Galima""",Nesudaryta sutartis,2789621,1975994.73,0,0,0,
"Investicijos į instrumentus, skirtus audiovizualinių media vaizdų kūrimui.",01.2.1-LVPA-K-823-01-0011,Mo-Sys Engineering Ltd ,Nesudaryta sutartis,2361695,1610577,0,0,0,
"""FLARY sistemos moksliniai tyrimai ir eksperimentinė plėtra""",01.2.1-LVPA-K-823-01-0012,Tiltan Software Engineering Ltd.,Nesudaryta sutartis,3011001.57,1986432.02,0,0,0,
Išmaniojo ventiliuojamo čiužinio technologijos moksliniai tyrimai ir prototipo kūrimas,01.2.1-LVPA-K-823-01-0013,"UAB ""FabricAir""",Nesudaryta sutartis,6220877.71,3609477,0,0,0,
Begarsio ventiliacijos difuzerio technologijos kūrimo moksliniai tyrimai ir prototipo kūrimas,01.2.1-LVPA-K-823-01-0014,"UAB ""FabricAir""",Nesudaryta sutartis,6655717.03,3765670,0,0,0,
Išmanaus paslaugų teikimo technologinio metodo EldheSmart sukūrimas senjorams,01.2.1-LVPA-K-823-01-0015,UAB Inovacijų plėtros centras,Nesudaryta sutartis,223919.67,80470.31,0,0,0,
Išmanioji logistikos valdymo sistema,01.2.1-LVPA-K-823-01-0016,"UAB ""Ateities inovacijos""",Nesudaryta sutartis,1141707.93,746138.05,0,0,0,
MTEP infrastruktūros įdiegimas inovatyvioms botaninių žaliavų biorafinavimo technologijoms ir funkcionaliesiems ingredientams iš jų kurti ir įdiegti,01.2.1-LVPA-K-823-01-0017,UAB ENDOBIOTECH,Nesudaryta sutartis,4534359.04,2153315,0,0,0,
Nacionalinės mokslo populiarinimo sistemos plėtra ir įgyvendinimas,09.3.3-ESFA-V-711-02-0001,Lietuvos mokslų akademija,Įgyvendinimas,1303238.6,1303238.6,1303238.6,1303238.6,0,2016-05-20
Studijų prieinamumo didinimas,09.3.1-ESFA-V-708-01-0001,Valstybinis studijų fondas,Įgyvendinimas,7240500,7240500,7189254.73,7189254.73,0,2016-06-22
Dirbkime kartu su romais - naujos darbo galimybės ir iššūkiai ,08.3.1-ESFA-V-412-01-0001,VIEŠOJI ĮSTAIGA ROMŲ VISUOMENĖS CENTRAS,Įgyvendinimas,868860,868860,868860,868860,0,2016-07-21
Lietuvos gamtos ir kultūros paveldo objektų (išteklių) pristatymas tolimosioms atvykstamojo turizmo rinkoms,05.4.1-LVPA-V-812-01-0005,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,1240196.95,1240196.95,1240096.95,1240096.95,0,2016-07-15
Transeuropinio tinklo kelio E262 (Kaunas–Zarasai–Daugpilis) plėtra. Dangos rekonstravimo III etapas.,06.1.1-TID-V-501-01-0004,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,Įgyvendinimas,39008831.04,33157506.38,39008831.04,33157506.38,0,2016-07-15
Eismo saugos ir aplinkosaugos priemonių diegimas 2014–2020 m. TEN-T keliuose. I etapas,06.1.1-TID-V-501-01-0005,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,Įgyvendinimas,22576884.33,19056997,21915686.1,18628333.18,0,2016-09-13
Transeuropinio tinklo kelio E67 (VIA BALTICA) plėtra. Dangos rekonstravimo II etapas.,06.1.1-TID-V-501-01-0006,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,Įgyvendinimas,20908331.99,16114457.83,20908331.99,16114457.83,0,2016-08-19
"Lietuvos gamtos ir kultūros paveldo objektų (išteklių) pristatymas Švedijos, Norvegijos, Suomijos ir Danijos atvykstamojo turizmo rinkoms",05.4.1-LVPA-V-812-01-0006,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,1021291.9,1021291.9,1021091.9,1021091.9,0,2016-07-20
Neformaliojo vaikų švietimo paslaugų plėtra,09.2.2-ESFA-V-729-01-0001,Lietuvos mokinių neformaliojo švietimo centras,Įgyvendinimas,10459692.28,10346892.28,10459692.28,10346892.28,0,2016-04-29
"Lietuvos gamtos ir kultūros paveldo objektų pristatymas bei reklama Lietuvos ir užsienio šalių int. portaluose, soc. tinklalapiuose ir leidiniuose",05.4.1-LVPA-V-812-01-0007,Valstybinis turizmo departamentas prie Ūkio ministerijos,Įgyvendinimas,860160.5,860160.5,860123.82,860123.82,0,2016-07-20
Mokinių akademinių gebėjimų atpažinimo ir jų ugdymo kokybės plėtra,09.2.2-ESFA-V-707-01-0001,Specialiosios pedagogikos ir psichologijos centras,Įgyvendinimas,1492886.6,1448100,1492886.6,1448100,0,2016-10-06
Sėkmingo verslo kelias: nuo konsultacijų iki bendradarbiavimo,03.1.1-LVPA-V-815-01-0001,"VšĮ ""Versli Lietuva""",Paraiškos vertinimas,1448100,1448100,0,0,0,
ATLIEKŲ (ĮSKAITANT PAVOJINGŲJŲ) TYRIMŲ (IDENTIFIKAVIMO) LABORATORIJOS ĮRENGIMO POREIKIO NUSTATYMO GALIMYBIŲ STUDIJA,05.2.1-APVA-V-010-01-0002,Aplinkos apsaugos agentūra,Įgyvendinimas,58581,58581,58581,58581,0,2016-08-30
Pasvalio miesto viešosios infrastruktūros plėtros II etapas,07.1.1-CPVA-R-903-51-0001,Pasvalio rajono savivaldybės administracija,Įgyvendinimas,335994.47,310794.88,335994.47,310794.88,0,2016-09-23
"Gamybinės teritorijos, esančios Krantinės g., Kupiškio mieste, konversija, prielaidų privačioms investicijoms sudarymas",07.1.1-CPVA-R-905-51-0001,Kupiškio rajono savivaldybės administracija,Įgyvendinimas,121993.15,115893.49,121993.15,115893.49,0,2016-08-29
Socialinio būsto fondo plėtra Kupiškio rajono savivaldybėje,08.1.2-CPVA-R-408-51-0001,Kupiškio rajono savivaldybės administracija,Įgyvendinimas,302951,248568,302951,248568,0,2016-09-02
Socialinio būsto plėtra Jurbarko rajono savivaldybėje,08.1.2-CPVA-R-408-71-0001,Jurbarko rajono savivaldybės administracija,Įgyvendinimas,297849,253171,297849,253171,0,2016-08-25
"Dalies pastato, esančio Dariaus ir Girėno g. 19A, Pajūrio mstl., Šilalės r., pritaikymas socialinio būsto fondo plėtrai",08.1.2-CPVA-R-408-71-0002,Šilalės rajono savivaldybės administracija,Įgyvendinimas,557789.41,474120,557789.41,474120,0,2016-09-01
Biržų rajono savivaldybės socialinio būsto fondo plėtra,08.1.2-CPVA-R-408-51-0002,Biržų rajono savivaldybės administracija,Įgyvendinimas,400741.9,340630,400741.9,340630,0,2016-09-23
Socialinio būsto fondo plėtra Rokiškio rajono savivaldybėje,08.1.2-CPVA-R-408-51-0003,Rokiškio rajono savivaldybės administracija,Įgyvendinimas,350182.66,297655.26,350182.66,297655.26,0,2016-08-25
"Transeuropinio tinklo kelio E67 (VIA BALTICA) plėtra. Ruožo Kaunas–Marijampolė plėtra. I etapas. Kelio A5 ruožo nuo 35,40 iki 45,15 rekonstravimas",06.1.1-TID-V-501-01-0007,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,Įgyvendinimas,31568791.65,26833472.9,31568791.65,26833472.9,0,2016-09-01
Socialinio būsto fondo plėtra Tauragės rajono savivaldybėje,08.1.2-CPVA-R-408-71-0003,Tauragės rajono savivaldybės administracija,Įgyvendinimas,1467582,1247444,1467582,1247444,0,2016-09-30
Socialinio būsto fondo plėtra Pakruojo rajono savivaldybės teritorijoje,08.1.2-CPVA-R-408-61-0002,Pakruojo rajono savivaldybės administracija,Įgyvendinimas,337562,286927.7,337562,286927.7,0,2016-08-03
Socialinio būsto fondo plėtra Šiaulių miesto savivaldybėje,08.1.2-CPVA-R-408-61-0004,Šiaulių miesto savivaldybės administracija,Įgyvendinimas,2518175,2140448,2518175,2140448,0,2016-09-01
Pasvalio rajono savivaldybės socialinio būsto fondo plėtra,08.1.2-CPVA-R-408-51-0004,Pasvalio rajono savivaldybės administracija,Įgyvendinimas,276101.55,234686.3,276101.55,234686.3,0,2016-08-23
Socialinio būsto fondo išplėtimas Radviliškio rajono pažeidžiamiausioms gyventojų grupėms,08.1.2-CPVA-R-408-61-0005,Radviliškio rajono savivaldybės administracija,Įgyvendinimas,676134.84,574714.61,676134.84,574714.61,0,2016-09-01
"Kompleksinis Marijampolės miesto teritorijos prie Vytauto, P. Armino, Aušros, V. Kudirkos ir Mindaugo gatvių viešųjų erdvių sutvarkymas",07.1.1-CPVA-V-902-01-0004,Marijampolės savivaldybės administracija,Paraiškos vertinimas,859516,795051,0,0,0,
Socialinio būsto fondo plėtra Šiaulių rajone,08.1.2-CPVA-R-408-61-0001,Šiaulių rajono savivaldybės administracija,Įgyvendinimas,442003.27,375702.77,442003.27,375702.77,0,2016-08-02
Kompleksinis Joniškio miesto daugiabučių gyvenamųjų namų kvartalų sutvarkymas,07.1.1-CPVA-R-903-61-0001,Joniškio rajono savivaldybės administracija,Įgyvendinimas,533449.02,370354,533449.02,370354,0,2016-09-23
Socialinio būsto fondo plėtra Joniškio rajone ,08.1.2-CPVA-R-408-61-0003,Joniškio rajono savivaldybės administracija,Įgyvendinimas,849555.8,483327.15,849555.8,483327.15,0,2016-09-19
"AB ""Achema"" elektros skirstymo sistemos modernizavimas",04.4.1-LVPA-K-106-01-0002,"Akcinė bendrovė ""Achema""",Įgyvendinimas,3951133,1975566.5,3951133,1975566.5,0,2016-08-03
Socialinio būsto fondo plėtra Pagėgių savivaldybėje,08.1.2-CPVA-R-408-71-0004,Pagėgių savivaldybės administracija,Įgyvendinimas,203981,173383.85,203981,173383.85,0,2016-09-02
Apleistos teritorijos Tauragės miesto  buvusiame kariniame miestelyje viešųjų pastatų sutvarkymas ir pritaikymas bendruomenės poreikiams,07.1.1-CPVA-V-902-01-0005,Tauragės rajono savivaldybės administracija,Paraiškos vertinimas,1605314.7,945568,0,0,0,
Didinti būsto prieinamumą pažeidžiamoms gyventojų grupėms Akmenės rajono savivaldybėje,08.1.2-CPVA-R-408-61-0006,Akmenės rajono savivaldybės administracija,Įgyvendinimas,144822.98,123099.53,144822.98,123099.53,0,2016-09-06
Socialinio būsto fondo plėtra Panevėžio rajono savivaldybėje,08.1.2-CPVA-R-408-51-0005,Panevėžio rajono savivaldybės administracija,Įgyvendinimas,490998.82,417348.99,490998.82,417348.99,0,2016-09-22
"Aplinkosaugos vadybos sistemos ISO 14001:2015 diegimas UAB ""Fire Experts"" įmonėje",03.3.2-LVPA-K-832-01-0002,"UAB ""Fire Experts""",Įgyvendinimas,6900,3450,6319,3159.5,0,2016-10-10
"APLINKOS APSAUGOS VADYBOS SISTEMOS SUKŪRIMAS, ĮGYVENDINIMAS IR SERTIFIKAVIMAS",03.3.2-LVPA-K-832-01-0003,"AB ""NAUJOJI RINGUVA""",Įgyvendinimas,6450,3225,6450,3225,0,2016-10-14
Socialinio būsto plėtra Kelmėje,08.1.2-CPVA-R-408-61-0007,Kelmės rajono savivaldybės administracija,Įgyvendinimas,500024,425020.4,500024,425020.4,0,2016-09-28
Elektroninio sąskaitų faktūrų posistemio (i.SAF) sukūrimas ,02.3.1-CPVA-V-529-01-0001,Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos,Įgyvendinimas,2856000,2856000,2856000,2856000,0,2016-04-29
Elektroninių važtaraščių (i.VAZ) posistemio sukūrimas,02.3.1-CPVA-V-529-01-0002,Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos,Įgyvendinimas,1655201,1655201,1655201,1655201,0,2016-04-29
ELEKTROS SKIRSTOMŲJŲ TINKLŲ MODERNIZAVIMAS IR PLĖTRA DIEGIANT IŠMANIUOSIUS SPRENDIMUS,04.4.1-LVPA-K-106-01-0001,"AB ""Energijos skirstymo operatorius""",Įgyvendinimas,15144721,7572360.5,15144721,7572360.5,0,2016-08-02
"""Šakių rajono savivaldybės socialinio būsto plėtra""",08.1.2-CPVA-R-408-41-0001,Šakių rajono savivaldybės administracija,Įgyvendinimas,382769.3,325350.08,382769.3,325350.08,0,2016-09-05
Socialinio būsto fondo plėtra Utenos rajono savivaldybėje,08.1.2-CPVA-R-408-91-0001,Utenos rajono savivaldybės administracija,Įgyvendinimas,498295,423550.75,498295,423550.75,0,2016-08-11
"UAB ""Novameta"" produktyvumo didinimas diegiant didelio poveikio technologijas",03.3.1-LVPA-K-841-01-0001,"UAB ""Novameta""",Paraiškos vertinimas,2115229,740330,0,0,0,
Vilkaviškio rajono savivaldybės socialinio būsto fondo plėtra,08.1.2-CPVA-R-408-41-0002,Vilkaviškio rajono savivaldybės administracija,Įgyvendinimas,766202.27,570785.99,766202.27,570785.99,0,2016-09-30
Socialinio būsto fondo plėtra Anykščių rajono savivaldybėje,08.1.2-CPVA-R-408-91-0002,Anykščių rajono savivaldybės administracija,Įgyvendinimas,301122.82,255954.39,301122.82,255954.39,0,2016-09-05
"Bendrabučio tipo pastato, esančio Visagine, Kosmoso g. 28, patalpų pritaikymas socialinio būsto įrengimui ",08.1.2-CPVA-R-408-91-0003,Visagino savivaldybės administracija,Įgyvendinimas,429341.5,364940.27,429341.5,364940.27,0,2016-09-12
"Pramoninio pastato Ignalinoje, Gėlių g. 13, pritaikomo socialiniam būstui, pertvarkymo užbaigimas ir socialinių būstų įsigijimas",08.1.2-CPVA-R-408-91-0004,Ignalinos rajono savivaldybės administracija,Įgyvendinimas,431079.82,366417.84,431079.82,366417.84,0,2016-09-30
Socialinio būsto fondo plėtra Molėtų rajono savivaldybėje,08.1.2-CPVA-R-408-91-0005,Molėtų rajono savivaldybės administracija,Įgyvendinimas,577222.22,490585,577222.22,490585,0,2016-09-01
Socialinio būsto fondo plėtra Marijampolės savivaldybėje,08.1.2-CPVA-R-408-41-0003,Marijampolės savivaldybės administracija,Įgyvendinimas,1911927.92,1543577.9,1911927.92,1543577.9,0,2016-08-26
Tarptautinių aplinkosaugos vadybos sistemų pritaikymas UAB Hoda gamybos praktikoje,03.3.2-LVPA-K-832-01-0001,UAB Hoda,Įgyvendinimas,6500,3250,6500,3250,0,2016-10-10
Socialinio būsto plėtra Kalvarijos savivaldybėje,08.1.2-CPVA-R-408-41-0004,Kalvarijos savivaldybės administracija,Įgyvendinimas,310380.9,263823.76,310380.9,263823.76,0,2016-09-05
Socialinio būsto fondo plėtra Zarasų rajono savivaldybėje,08.1.2-CPVA-R-408-91-0006,Zarasų rajono savivaldybės administracija,Įgyvendinimas,344844.84,293118,344844.84,293118,0,2016-09-15
Kazlų Rūdos savivaldybės socialinio būsto plėtra,08.1.2-CPVA-R-408-41-0005,Kazlų Rūdos savivaldybės administracija,Įgyvendinimas,151518.99,128791.14,151518.99,128791.14,0,2016-08-29
Vandentiekio ir nuotekų tinklų plėtra Prienų rajone (Balbieriškyje) II etapas,05.3.2-APVA-V-013-01-0001,"Uždaroji akcinė bendrovė ""Prienų vandenys""",Įgyvendinimas,387316.83,367950.99,387316.83,367950.99,0,2016-07-01
Vandens tiekimo ir nuotekų tvarkymo infrastruktūros plėtra Varėnos rajone (Naujuosiuose Valkininkuose),05.3.2-APVA-V-013-01-0002,"Uždaroji akcinė bendrovė ""Varėnos vandenys""",Įgyvendinimas,898443.74,853521.55,898443.74,853521.55,0,2016-06-17
