Name,Bezeichnung des Vorhabens,"Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens in €","Unions-Kofinanzierungssatz","Kofinanzierung aus anderen öffentlichen Mitteln",PLZ,Land,Interventionsbereich,"Finanzierungsform",Art des Gebietes,"Territoriale Umsetzungsmechanismen","Sekundäres ESF-Thema"
Schulverband Neutraubling,Praxisklasse 2015/2016,"Ziel ist es, in Kooperation mit außerschulischen Partnern und durch eine auf die Leistungsmöglichkeit dieser SchülerInnen abgestimmte schulische und außerschulische Förderung ihrer Persönlichkeitsentwicklung, den Erwerb von Grundwissen zu unterstützen.",01.09.2015,31.08.2016,"92.612,57",22%,78%,93073,Bayern/DE,115,1,2,7,6
Schulverbund Maintal Gemeinde Sennfeld,Praxisklasse für die Mittelschule Sennfeld - Schulverbund Maintal,Spezifische Förderung mit hohen berufsbezogenen Praxisanteilen / auf Defizitbehebung angel. Unterricht / sozialpäd. Begleitung > Schüler/innen sollen zu positiver Lern- u. Arbeitshaltung geführt und in das Berufsleben eingegliedert werden.,01.09.2015,31.08.2016,"102.869,00",30%,70%,97526,Bayern/DE,115,1,2,7,6
Stadt Aichach,Praxisklassen an Schulen,"- Vorbereitung der Schüler auf Praktika
- Vor- und Nachbereitung der Praktika und Praxistage
- Vernetzung und Kooperation mit anderen Institutionen, Lehrkräften und Betrieben
- Unterstützung bei der Berufswahl
- Training von sozialen Kompetenzen
- Gruppenpädagogische Angebote
- Gespräche bzw. Entwicklungen von Perspektiven bei Nichteinmünden in Arbeit oder Ausbildung ",01.09.2015,31.08.2016,"101.440,00",30%,70%,86551,Bayern/DE,115,1,2,7,6
Stadt Altötting,Praxisklasse,"Die Praxisklasse richtet sich an Hauptschüler im letzten Jahr ihres Schulbesuchs, die aufgrund ihrer mangelnden Leistungsbereitschaft und unzureichenden schulischen Leistungen keine Aussicht haben, den Hauptschulabschluss zu erreichen.",01.09.2015,31.08.2016,"84.259,00",16%,84%,84503,Bayern/DE,115,1,2,7,6
Stadt Amberg,Praxisklasse an der Mittelschule Ammersricht,"Es soll versucht werden, dass alle Teilnehmer der P-Klasse einen erfolgreichen Schulabschluss mit Ausbildungsplatz erhalten.",01.09.2015,31.08.2016,"112.470,00",28%,72%,92224,Bayern/DE,115,1,2,7,6
Stadt Aschaffenburg - Amt 40,Praxisklasse an der Schönbergschule Aschaffenburg im Schuljahr 2015/16,"Die Praxisklasse richtet sich an MittelschülerInnen, die aufgrund ihrer bisherigen unzureichenden schulischen Leistungen und mangelnden Leistungsbereitschaft die Schule ohne Abschlus zu verlassen drohen. ",01.09.2015,31.08.2016,"85.531,33",19%,81%,63741,Bayern/DE,115,1,1,7,6
Stadt Bad Kissingen,Praxisklasse 2015/2016 an der Anton-Kliegl-Mittelschule in Bad Kissingen,"Die Praxisklasse richtet sich an Hauptschüler, die keine oder nur geringe Aussicht haben den Hauptschulabschluss zu erreichen. Mit ihr soll die Aussicht auf einen Berufsausbildungsplatz verbessert werden. ",01.09.2015,31.08.2016,"109.463,00",28%,72%,97688,Bayern/DE,115,1,2,7,6
Stadt Deggendorf,Praxisklassen an Mittelschulen,"Schülerinnen und Schülern der Mittelschule mit großen Lern- und Leistungsrückständen sollen durch eine passgenaue Förderung in der Praxisklasse die Voraussetzungen für den Erwerb eines Schulabschlusses erlangen und einen schulischen oder beruflichen Anschluss erreichen, um den Anforderungen des Ausbildungs- und Arbeitsmarktes gerecht zu werden.",01.09.2015,31.08.2016,"102.267,53",30%,70%,94447,Bayern/DE,115,1,2,7,6
Stadt Erlenbach a. Main,Praxisklasse an der Barbarossa-Mittelschule Erlenbach a. Main,Förderung von Schülerinnen und Schülern mit großem Lern- und Leistungsrückständen die durch spezifische Förderung zur positiven Lern- und Arbeitshaltung geführt und durch Kooperation mit der Wirtschaft und Betrieben (Praktika) in das Berufsleben begleitet werden.,01.09.2015,31.08.2016,"117.908,39",26%,74%,63906,Bayern/DE,115,1,2,7,6
Stadt Karlstadt,Praxisklasse an der Konrad-von-Qeurfurt Mittelschule Karlstadt,"Die Praxisklasse ist ein Modell der Förderung von Schülern der Mittelschule Karlstadt mit großen Lern- und Leistungsrückständen. Diese Schüler sollen durch spezifische Förderung zu einer positiven Lern- und Arbeitshaltung geführt und durch die Kooperation mit Betrieben in Form von Praktika in das Berufsleben begleitet werden.",01.09.2015,31.08.2016,"102.791,48",30%,70%,97753,Bayern/DE,115,1,2,7,6
Stadt Kelheim,Praxisklasse an der Wittelsbacher Mittelschule im Schuljahr 2015/2016,"Leistungsschwache Jugendliche, die am Ende der 7. oder 8. Jahrgangsstufe
kaum Aussichten auf einen erfolgreichen Schulabschluss haben, erhalten
durch intensive schulische und sozialpädagogische Begleitung die Chance
für einen Einstieg ins Berufsleben.",01.09.2015,31.08.2016,"101.491,00",31%,69%,93309,Bayern/DE,115,1,2,7,6
Stadt Schweinfurt,Praxisklasse Frieden-Mittelschule Schweinfurt,"Die Praxisklasse richtet sich an Schülerinnen und Schüler im letzten Jahr ihres Schulbesuches. Aufgrund ihrer mangelnden Leistungsbereitschaft und unzureichender schulischer Leistungen haben diese keine Aussicht, den Mittelschulabschluss zu erreichen. Die Einstellung der Jugendlichen zum Arbeiten und Lernen verändern und die Aussichten auf einen Berufsausbildungsplatz verbessern.",01.09.2015,31.08.2016,"103.060,00",28%,72%,97421,Bayern/DE,115,1,1,7,6
Stadt Straubing,Praxisklasse ,"Ein Modell der Förderung von Schülerinnen und Schülern, die durch eine Kette von Misserfolgen und durch demotivierende Lebensumstände für schulisches Lernen nur noch schwer zu erreichen und deshalb große Lern- und Leistungsrückstände aufweisen. ",01.09.2015,31.08.2016,"95.021,05",24%,76%,94315,Bayern/DE,115,1,2,7,6
Zweckverband Schulzentrum EI-Schottenau,Praxisklassen an Mittelschulen,"Durch eine passgenaue Förderung in dieser Praxisklasse werden große Lern- und Leistungsrückstände der Schülerinnen und Schüler egalisiert, damit ein schulischer oder beruflicher Anschluss, evtl. auch mit dem Erwerb eines Schulabschlusses, erreicht wird.",01.09.2015,31.08.2016,"114.500,00",27%,73%,85072,Bayern/DE,115,1,2,7,6
Zweckverband Schulzentrum Haßfurt,Praxisklassen an Mittelschulen - Kurs 1,"Ziel ist es, in Kooperation mit außerschulischen Partnern und durch eine auf die Leistungsmöglichkeit dieser SchülerInnen abgestimmte schulische und außerschulische Förderung ihrer Persönlichkeitsentwicklung, den Erwerb von Grundwissen zu unterstützen. ",01.09.2015,31.08.2016,"104.791,51",30%,70%,97437,Bayern/DE,115,1,2,7,6
Zweckverband Schulzentrum Haßfurt,Praxisklassen an Mittelschulen - Kurs 2,Die Einstellung der Jugendlichen zum Arbeiten und Lernen soll verbessert werden. Damit steigen die Aussichten auf einen Arbeitsplatz.,01.09.2015,31.08.2016,"106.291,51",29%,71%,97437,Bayern/DE,115,1,2,7,6
bfz gGmbH,Managing Change / Bamberg / 04.01.2016,"Ziel der modularen Seminarreihe ist es, Handlungskompetenz und Motivation bei Führungskräften und bei Mitarbeitern zu erweitern, damit sie den neuen Handlungsanforderungen ihres Arbeitsumfelds und den zukünftigen Herausforderungen kompetent begegnen und diese sicher bewältigen können. ",26.01.2016,16.11.2016,"35.300,67",50%,0%,96052,Bayern/DE,106,1,1,7,8
Caritasverband für die Diözese Würzburg e.V.,Praxisbez. Kompet.-/Qual.entw. soz. Einrich. durch Ausbildung zum Qual.beauftr.,"Ziel ist die Verbesserung von Wissen über Informations-, Wissens- und Projektmanagement sowie Kommunikation bei Teilnehmern/Management/Organisationen. Die Steigerung und Sicherung der Qualität in Pflegeunternehmen erhöht die Beschäftigungschancen u. sichert Arbeitsplätze.",26.10.2015,29.04.2016,"18.325,71",50%,0%,97072,Bayern/DE,106,1,1,7,1
COREEN GmbH,PersoSTAR Regensburg,"Das Qualifizierungs- und Trainingsprojekt setzt an den Problemlagen kleiner und mittlerer Unternehmen an und ist speziell auf ihre Anforderungen zugeschnitten. Firmenübergreifende Seminare und Arbeitsgruppen sowie firmenindividuelle Trainings bieten den Teilnehmenden praxisnahe Wissensgrundlagen, Instrumente und Erfahrungsaustausch zu zentralen Themen der strategischen Personalarbeit.",01.04.2015,30.09.2016,"484.029,42",50%,0%,,Bayern/DE,106,1,7,7,1
Ges. f. Innovationsforschung und Beratung mbH,BiqSTAR Bayreuth,"Das Gruppenprojekt richtet sich speziell an kleine und mittlere Unternehmen und beinhaltet praxisorientierte Qualifizierungsmaßnahmen sowie firmenindividuelle Umsetzungscoachings. Den Teilnehmenden Fach- und Führungskräften werden Schritt für Schritt die methodischen, organisatorischen und führungsrelevanten Grundlagen in den Bereichen Früherkennung und Innovationsmanagement vermittelt.",01.04.2015,30.09.2016,"497.898,28",50%,0%,,Bayern/DE,106,1,7,7,1
Gesundheitsakademie - health & more - e.V.,Geprüfte Fachkraft Lohn & Gehalt,"Der Lehrgang vermittelt theoretisches und praktisches Fachwissen auf dem Gebiet der Lohnbuchhaltung und gliedert sich wie folgt auf: 
Modul 1: Lohn und Gehalt 1
Modul 2: Lohn- und Gehaltsabrechnung 2 
Modul 3: Lohn und Gehalt EDV ",03.03.2015,26.11.2015,"33.556,86",45%,0%,84048,Bayern/DE,106,1,2,7,1
Kreishandwerkerschaft Nordoberpfalz,Mit System zum Erfolg - erfolgreiche Unternehmensführung heute! - Grundkurs,"Verbesserung der Kompetenzen eines Unternehmers oder Führungskraft in folgenden Bereichen: Vertriebstechnik, innerbetriebliche Organisation, Arbeitsorganisation, Personalführung, Marketing, Kundenorientierung und Ausbildungskompetenz",25.11.2015,13.05.2016,"43.166,35",35%,0%,92224,Bayern/DE,106,1,2,7,1
RSG Bad Kissingen GmbH & Co. KG,Fachwirt/in im Gesundheits- und Sozialwesen,"Im Gesundheitswesen spielen betriebswirtschaftliche Qualifikationen eine zunehmend bedeutende Rolle. Aus diesem Grund soll der angebotene Lehrgang ""Fachwirt/in im Gesundheits- und Sozialwesen (IHK)"" eine Weiterqualifizierung ermöglichen.",21.01.2015,31.10.2016,"114.594,99",50%,0%,97688,Bayern/DE,106,1,2,7,1
RSG Bad Kissingen GmbH & Co. KG,Fachwirt/in im Gastgewerbe,Im Gastronomiebereich spielen betriebswirtschaftliche Qualifikationen eine zunehmend bedeutende Rolle. Aus diesem Grund soll der von uns angebotene Lehrgang Fachwirt/in im Gastgewerbe (IHK) eine Weiterqualifizierung ermöglichen. ,20.01.2015,31.10.2016,"138.284,06",50%,0%,97082,Bayern/DE,106,1,1,7,1
RSG Bad Kissingen GmbH & Co. KG,Qualitätsmanagement-Beauftragte/r und Interne/r Qualitätsauditor/in (IHK),"Im Gesundheitswesen spielen betriebswirtschaftl. Qualifikationen eine zunehmende Rolle. Dies gilt aktuelle insbesondere für ein effizientes Qualitätsmanagement, das von Kliniken, Praxen und weiteren Dienstleistungsunternehmen gefordert wird. Kompetente Mitarbeiter/innen in diesem Bereich sind somit entscheidend für die Sicherung der Wettbewerbsfähigkeit der Unternehmen. ",10.03.2015,16.07.2015,"11.108,66",48%,0%,97688,Bayern/DE,106,1,2,7,1
RSG Bad Kissingen GmbH & Co. KG,Qualitätsmanagement-Beauftragte/r und Interne/r Qualitätsauditor/in,"Im Gesundheitswesen spielen betriebswirtschaftliche Qualitikationen eine zunehmend bedeutende Rolle. Dies gilt aktuell insbesondere für ein effizientes Qualitätsmanagement, das von Kliniken, Praxen und weiteren Dienstleistungs-unternehmen gefordert wird. Kompetente Mitarbeiter/innen in diesem Bereich sind somit entscheidend für die Sicherung der Wettbewerbsfähigkeit der Unternehmen. ",15.03.2016,05.07.2016,"18.894,20",50%,0%,97688,Bayern/DE,106,1,2,7,1
Strategische Partnerschaft Sensorik e.V.,Weiterbildung zum Industrietechnologen 4.0,"Durch die Weiterbildung zum Industrietechnologen 4.0 (IHK) sollen die Mitarbeiter befähigt werden, verantwortungsvolle Tätigkeiten im ingenieursnahen Bereich bzw. an Schnittstellen in den Unternehmen zu übernehmen, vor allem im Zusammenhang mit Digitalisierung und Industrieller Kommunikation.",01.02.2016,29.12.2017,"364.551,45",49%,0%,93053,Bayern/DE,106,1,1,7,1
Strategische Partnerschaft Sensorik e.V.,Fit For Future,"Ziel des Projektvorhabens FIT FOR FUTURE ist es, Unternehmen und insbesondere KMU bei der Entwicklung und Förderung der vertrieblichen und führungsrelevanten Kompetenzen ihrer berufserfahrenen, technischen Fach- und Führungskräfte zu unterstützen und nachhaltig Arbeitsplätze in der Sensorik und Sensorik nahen Branchen in der Region Niederbayern/ Oberpfalz zu sichern.",13.07.2015,14.06.2017,"337.007,09",50%,0%,93053,Bayern/DE,106,1,1,7,1
vhs Mainburg,Microsoft Certified Solutions Expert,"Die vermittelten Kompetenzen befähigen IT-Fachkräfte dazu, den Service für die Microsoft-basierte IT-Infrastruktur zu gewährleisten und zu entwickeln. Die TN erwerben nach einem vorgegebenen Lehrplan mit den aktuellen Software-Versionen sowie dem Entwickler-Paket ""TechNet"" Kenntnisse der Hard- und Software und erhalten eine gezielte Vorbereitung auf die von Microsoft vorgegebenen Prüfungen. ",30.09.2015,26.07.2017,"93.988,68",50%,0%,84048,Bayern/DE,106,1,2,7,1
ARGE der VHSn im Landkreis Hof e. V.,Qualifizierung im kaufmännischen Bereich - Modul 2,Die Zielsetzung des Projekts ist die Verbesserung der Vermittlungs- und Eingliederungschancen von Arbeitslosengeld II-Beziehern/Bezieherinnen in den ersten Arbeitsmarkt.,13.04.2015,11.09.2015,"107.755,24",45%,50%,95028,Bayern/DE,109,1,2,7,1
ARGE der VHSn im Landkreis Hof e. V.,Qualifizierung im Bereich Handel und Verkauf,Die Zielsetzung des Projekts ist die Verbesserung der Vermittlungs- und Eingliederungschancen von Arbeitslosengeld II-Beziehern/Bezieherinnen in den ersten Arbeitsmarkt.,08.06.2015,27.11.2015,"87.726,63",49%,45%,95028,Bayern/DE,109,1,2,7,1
Avanta München e.V.,Avanta Steps 12,"Avanta Steps 12 bereitet praxisnah mit IHK-zertifizierten Qualifizierungsbausteinen des Berufs Kaufleute für Büromanagement und dem Europäischen Computerführerschein auf vielfältige Einsatzmöglichkeiten in der Bürowirtschaft vor. 
Innerhalb von 12 Monaten erwerben die Teilnehmenden in 2 Gruppen Fachtheorie, Fachpraxis (Projektarbeiten) und praktische Fertigkeiten im Betriebspraktikum.",16.03.2015,15.03.2016,"458.778,00",50%,44%,81829,Bayern/DE,109,1,1,7,1
Avanta München e.V.,Avanta Steps 13,"Avanta Steps 13 bereitet praxisnah mit IHK-zertifizierten Qualifizierungsbausteinen des Berufs Kaufleute für Büromanagement und dem Europäischen Computerführerschein auf vielfältige Einsatzmöglichkeiten in der Bürowirtschaft vor. Innerhalb von 9 Monaten erwerben die Teilnehmenden in 2 Gruppen Fachtheorie, Fachpraxis (Projektarbeiten) und praktische Fertigkeiten im Betriebspraktikum.",01.12.2015,31.08.2016,"356.258,27",50%,42%,81829,Bayern/DE,109,1,1,7,1
BDP Peters GmbH,HauRein!-1 Qualifizierung Hauswirtschaft / Reinigung HAS,Erwerbsfähige langzeitarbeitslose Frauen und Männer in ihrer Ausbildungs- und Arbeitsfähigkeit stärken und die (Re-)Integration in den ersten Arbeitsmarkt durch eine Qualifizierung im Berufsfeld Hauswirtschaft oder Reinigung zu realisieren.,21.09.2015,09.06.2016,"154.778,03",50%,44%,97437,Bayern/DE,109,1,2,7,1
BDP Peters GmbH,BQSE-1 Berufliche Qualifizierung zur Servicefachkraft Einzelhandel LIF,Erwerbsfähige Langzeitarbeitslose in ihrer Ausbildungs- und Arbeitsfähigkeit stärken und die (Re-)Integration in den Arbeitsmarkt durch die kaufmännische Qualifizierung realisieren.,21.09.2015,17.06.2016,"118.009,40",49%,45%,96215,Bayern/DE,109,1,2,7,1
Berufsbildungszentrum Augsb.d.Lehmbaugr.gGmbH,BQE Metall 2015 (KE),Durch verschiedene Module werden Fach- und Schlüsselkompetenzen i. S. e. arbeitsplatzbezogenen Kompetenz-Sets im Berufsfeld Versorgungstechnik / Metallbau vermittelt und im Praktikum vertieft. Die Arbeitsmarktintegration wird unterstützt durch Bewerbungstraining und Integrationscoaching. Sozialpädagogische Betreuung trägt zum Abbau persönlicher Handicaps und zur Stabilisierung bei. ,20.04.2015,18.12.2015,"179.973,95",50%,45%,87439,Bayern/DE,109,1,1,7,1
Berufsbildungszentrum Augsb.d.Lehmbaugr.gGmbH,BQE Metallbau & Versorgungstechnik 2015 (AUG),"Adressaten sind erwerbsfähige, erwachsene Langzeitarbeitslose und erwerbsfähige Erwachsene im ALG-II Bezug. 
Im Projekt werden anhand verschiedener Qualifizierungsmodule Fach- und Schlüsselkompetenzen im Sinne eines arbeitsplatzbezogenen Kompetenz-Sets für eine Beschäftigung im Berufsfeld Anlagen-/Versorgungstechnik / Metallbau vermittelt. Die beim Träger erworbenen Kenntnisse und Fertigkeiten werden im Praktikum angewendet und vertieft. Zudem werden die Teilnehmer durch Trainings für Bewerbung, Sozial- und Medienkompetenz auf eine Arbeitsaufnahme vorbereitet und bei der Arbeitsmarktintegration unterstützt. Sozialpädagogische Betreuung trägt zum Abbau persönlicher Handicaps und zur Stabilisierung bei. Mittels dieser ganzheitlichen Herangehensweise verbunden mit weiteren Projektaufgaben (z.B. arbeitsmarktbezogene Orientierung und Aktivierung,  Mentoring, Networking) werden die Arbeitsmarktschancen der Teilnehmer deutlich erhöht.",06.04.2015,18.12.2015,"169.433,00",50%,45%,86152,Bayern/DE,109,1,1,7,1
Berufsförderungswerk München gemeinn. GmbH,EBI-Q ,"Das Projekt EBI-Q bietet Langzeitarbeitslosen und anderen leistungsgeminderten benachteiligten Menschen mit erhöhtem Unterstützungsbedarf ein Gesamtkonzept, sich fachlich zu qualifizieren und durch sozialpädagogische Fördermaßnahmen die soziale und personale Kompetenz (wieder-)herzustellen. .",30.03.2015,18.12.2015,"177.102,45",46%,49%,,Bayern/DE,109,1,7,7,1
Berufsfortbildungswerk des DGB GmbH,Assistentin in der Hauswirtschaft und Pflege ,"22 erwachsene, erwerbsfähige  langzeitarbeitslose Frauen und Männer mit verschiedenen Problemlagen der Stadt und Landkreis Rosenheim werden auf eine berufliche Tätigkeit vorbereitet  und damit die Chancen auf dem 1. Arbeitsmarkt zu verbessern. Zertifizierungsquote 80%",15.06.2015,22.04.2016,"203.126,00",44%,52%,83022,Bayern/DE,109,1,1,7,1
Berufsfortbildungswerk des DGB GmbH,Sachbearbeiter im betrieblichen Rechnungswesen und Büro,"20 erwerbsfähige Langzeitarbeitslose Frauen und Männer der Stadt und des Landkreises Rosenheim im Bereich betriebliches Rechnungswesen qualifizieren, um ihre Chancen auf Integration in den ersten Arbeitsmarkt zu verbessern. Zertifizierungsquote mind. 80%",11.05.2015,11.03.2016,"193.144,72",45%,50%,83022,Bayern/DE,109,1,1,7,1
Berufsfortbildungswerk des DGB GmbH,Assistentin in der Hauswirtschaft und Altenbetreuung mit Betreuungskraft,"20erwachsene, erwerbsfähige  langzeitarbeitslose Frauen und Männer mit verschiedenen Problemlagen des Landkreises Traunstein werden auf eine berufliche Tätigkeit vorbereitet  und damit die Chancen auf dem 1. Arbeitsmarkt zu verbessern. Zertifizierungsquote 80%.",08.06.2015,15.04.2016,"171.730,76",47%,48%,83278,Bayern/DE,109,1,2,7,1
bfz gGmbH,be fit im Bereich Verkauf / Pflege - Erding,"Das Projekt beinhaltet folgende Bausteine:
Orientierungsphase
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Auswertung und Abschluss",11.05.2015,23.12.2015,"152.127,49",48%,47%,85435,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualif. Metall- u. Schweißtech. / 16.03.15 / Deggendorf ,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Fachrechnen
Spezifische Fachqualifizierung im Bereich Metall
Gabelstaplerfahrausweis
Praktikum
Abschluss
Die spezifische Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Grundlagen der Metallbearbeitung"" und ""Grundlagen Schweißen"" des zugrunde liegenden Ausbildungsberufs ""Metallbauer/in"". ",16.03.2015,30.09.2015,"192.083,97",43%,53%,94469,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung Lager / Nürnberg / 16.03.15,"Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.
Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Auswertung und Abschluss
Die spezifische Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Lagerhaltung"" und ""Kommissionierung"" und „Lagern von Gütern“ des zugrunde liegenden Ausbildungsberufes ""Fachlagerist/in, Fachkraft für Lagerlogistik"".
Darüber hinaus besteht die Möglichkeit, den Gabelstaplerschein nach BGG 925 zu erwerben.",16.03.2015,21.09.2015,"133.981,66",50%,44%,90429,Bayern/DE,109,1,1,1,1
bfz gGmbH,Qualifizierung Metall-Elektro / Nürnberg / 16.03.15,"Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.
Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Praktikumsvorbereitung und Abschluss
Die spezifische Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Grundlagen der Metallbearbeitung"" des zugrunde liegenden Ausbildungsberufes ""Industriemechaniker/in"" und ""Montage, Demontage und Installation"" des zugrunde liegenden Ausbildungsberufes ""Elektroniker/in"" sowie Unterrichtung im Bewachungsgewerbe nach §34 a GEWO.",16.03.2015,02.11.2015,"158.755,91",50%,44%,90429,Bayern/DE,109,1,1,1,1
bfz gGmbH,Qualifizierung im Bereich Lager - Metall / Neu-Ulm / 07.04.15,"Das Projekt beinhaltet: fachübergreifende und allg. Fachqualifizierung, spez. Fachq. in den Bereichen Lager und Metall, Gabelstaplerschulung, Praktikum, Abschluss. Die spez. Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Basisqualifikation Metalltechnik"" und ""Transport von Waren - Verpackungstechniken"" der Ausbildungsberufe ""Fertigungsmechaniker/in"" bzw. ""Fachlagerist/in"".",07.04.2015,11.09.2015,"97.000,98",50%,44%,89231,Bayern/DE,109,1,1,1,1
bfz gGmbH,BELT / Nürnberg / 13.04.15,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Praktikumsvorbereitung und Abschluss",13.04.2015,18.12.2015,"116.969,62",49%,45%,90429,Bayern/DE,109,1,1,1,1
bfz gGmbH,BAM / Nürnberg / 23.03.15,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Praktikumsvorbereitung und Abschluss
Die spezifische Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Lagerhaltung und Büroorganisation"" und  ""Küche und Arbeitsplanung""   des zugrunde liegenden Ausbildungsberufs ""Fachkraft im Gastgewerbe""
oder wahlweise
""Grundlagen des Warenverkaufs und der Warenlagerung"" und ""Servicebereich Kasse""  des zugrunde liegenden Ausbildungsberufes ""Kaufmann / -frau im Einzelhandel"".",23.03.2015,12.10.2015,"110.795,49",50%,40%,90429,Bayern/DE,109,1,1,7,1
bfz gGmbH,Neustart für Frauen / Regensburg / 20.04.15,"Das Projekt beinhaltet: fachübergreifende und allg. Fachqualifizierung, spezifische Fachqualifizierung im Bereich Verkauf, Praktikum, Auswertung und Abschluss. Die spezifische Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Verkaufsgespräche und Beratung"" und ""Verkaufsvorbereitung und Lagerung"" des zugrunde liegenden Ausbildungsberufs ""Verkäufer/in"".",20.04.2015,22.12.2015,"100.941,72",49%,45%,93059,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung Callcenter / Empfang / Nürnberg / 16.03.15,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Abschluss",13.04.2015,23.12.2015,"181.988,79",48%,46%,90429,Bayern/DE,109,1,1,7,1
bfz gGmbH,BerEiT / Erlangen / 04.05.15,"Das Projekt beinhaltet: fachübergreifende und allg. Fachqualifizierung, spez. Fachqualifizierung im Bereich Bürokommunikation, Praktikum, Abschluss. Die spez. Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Grundlagen Bürokommunikation"" und ""Textverarbeitung / Kaufmännischer Schriftverkehr"" des Ausbildungsberufs "" Bürokauffrau / -mann"".",04.05.2015,29.01.2016,"129.434,31",50%,45%,91052,Bayern/DE,109,1,1,1,1
bfz gGmbH,Qualifizierung Verkauf / Sicherheit / Mühldorf / 11.05.15,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Praktikumsbegleitender Unterricht
Abschluss",11.05.2015,05.11.2015,"101.750,40",50%,45%,84453,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung Facility / Metall / Rosenheim / 04.05.15,"Fachübergreifende, allg. und spez. Fachqualifizierung parallel in 2 Gruppen in den Bereichen Gebäudereinigung und Metall, Praktikum, Abschluss. Qualifizierungsbausteine ""Reinigen und Pflegen von textilen und nichttextilen Fußböden"" und ""Reinigen und Pflegen von Außenanlagen und Verkehrsflächen"" bzw.  ""Trennen und Umformen"" und ""Monatge, Demontage, Befestigungstechnik"".",04.05.2015,19.10.2015,"118.571,26",50%,45%,83022,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung Holz / Farbe / Miltenberg / 11.05.15,"Fachübergreifende, allg. und spez. Fachqualifizierung in den Bereichen Holz und Farbe, Praktikum, Abschluss. Die spez. Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Anreißen, Hobeln, Sägen"" des Ausbildungsberufs ""Holzmechaniker"" und ""Herstellen, Bearbeiten, Behandeln und Gestalten von Oberflächen"" des Ausbildungberufs ""Maler/in und Lackierer/in"". ",11.05.2015,13.10.2015,"88.363,67",50%,36%,63897,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung im Bereich Verkauf / Pflege / Altötting / 11.05.15,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung
Allgemeine Fachqualifizierung
Spezifische Fachqualifizierung
Praktikumsbegleitender Unterricht
Abschluss",11.05.2015,23.12.2015,"123.423,99",50%,44%,84503,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung im Bereich Lager / Augsburg / 21.05.15,"Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.",21.05.2015,16.02.2016,"180.637,10",49%,45%,86156,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung EDV/Lager / 08.06.15 / Miltenberg,Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,08.06.2015,08.12.2015,"87.716,94",45%,50%,63897,Bayern/DE,109,1,2,7,1
