"ProjektCode / 
code of operation",Name des Begünstigten / name of beneficiary,Bezeichnung des Vorhabens / operation name,Zusammenfassung des Vorhabens / operation summary,Datum des Beginns des Vorhabens / operation start date,Datum des Endes des Vorhabens/ operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation,"Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis",Regionalcode des Vorhabens / location indicator,Land / country,Bezeichnung der Interventionskategorie für das Vorhaben / name of category of intervention for the operation
2CAEAA_00257,"""Soziale Initiative"" - Gemeinnützige Gesellschaft mit beschränkter Haftung ",Jugendcoaching für außerschulische Jugendliche ,"We need you"" Jugendcoaching richtet sich an außerschulische jugendliche und junge Erwachsene die keine Ausbildung absolvieren oder in Kursen abbruchsgefährdet sind und an NEETS und Jugendliche und junge Erwachsene in den Justizvollzugsanstalten in OÖ",01.01.2017,31.12.2017,"1523873,99","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00048,FAB - Verein zur Förderung von Arbeit und Beschäftigung,BBE Deutsch 2015,Die BBE Deutsch bietet sozialpädagogische Beratung und Betreuung sowie Lernunterstützung und Prüfvorbereitung. Durch Beratung und Lernunterstützung sollen Lern- und Vermittlungshindernisse abgebaut werden.,01.07.2015,30.06.2016,178600,"50,00 %",131 - Wien (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00108,Bundeshandelsakademie und Bundesshandelsschule Bludenz,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Dieses Projekt dient der Verringerung und Verhütung des vorzeitigen Schulabbruchs und der Förderung des
gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und
Sekundarausbildung.",05.09.2016,31.08.2017,30800,"50,00 %",341 - Bludenz-Bregenzer Wald (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00237,Jugend am Werk Begleitung von Menschen mit Behinderung GmbH,Produktionsschule STAR,Die Produktionsschule STAR („Schule trifft Arbeitswelt“) schließt direkt an das Jugendcoaching an und unterstützt beim Übergang zwischen Schule und einer weiterführenden Ausbildung. Ziel ist der Eintritt in weiterführende Ausbildungen.,01.01.2016,31.12.2016,"713333,18","50,00 %","91601 - Wien, 16. Ottakring",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00161,DIE BERATER UNTERNEHMENSBE- RATUNGS GESELLSCHAFT M.B.H.,Jugendcoaching,"Im Rahmen des Jugendcoachings soll ein Austritt durch externe Unterstützung verhindert werden, und Jugendlichen, die bereits aus dem Schul- und Ausbildungssystem ausgestiegen sind, wieder in das Bildungssystem integriert werden. ",01.01.2017,31.12.2017,"91626,29","50,00 %","90101 - Wien,  1.Innere Stadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00102,BHAK/BHAS Feldbach,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durchführung einer ganzjährigen standortbezogenen verbindlichen Übung ""KOEL"" im SJ 2016/17
in einer Handelsschule und Handelsakademie ",05.09.2016,31.08.2017,69300,"50,00 %",224 - Oststeiermark (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00253,Die Wiener Volkshochschulen GmbH,VHS Jugendcoaching,Beratung und Begleitung am Übergang Schule-Beruf für ausgrenzungsgefährdete Jugendliche in den Bezirken 10 und 11 sowie in Justizanstalten und Sondererziehungsschulen,01.01.2017,31.12.2017,"1468547,41","50,00 %","90901 - Wien,  9. Alsergrund",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00044,context - Impulse am Arbeitsmarkt GmbH,"BBE ""step2job 2015"" Context","BBE mit Casemanagementansatz für BMS BezieherInnen sowie arbetismarktferne Personen. Ziele sind Beschäftigung am ersten oder zweiten Arbeitsmarkt, Beseitigung von schweren Vermittlunshemnissen und Qualifizierung.",01.07.2015,30.06.2016,"997146,19","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00207,"Lebenshilfe Salzburg, Verein für Menschen mit geistiger und mehrfacher Behinderung",Produktionsschule lebens.echt,"Die Produktionsschule lebens.echt ist ein Nachreifungsprojekt für Jugendliche und junge Erwachsene, in dem sie durch praktisches Training, Wissenswerkstatt, Bewegungsangebote und Coaching auf eine (Berufs-)Ausbildung vorbereitet werden.",01.01.2017,31.12.2017,"261046,83","50,00 %",50101 - Salzburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00017,BEST gemeinnützige BeschäftigungsgesmbH,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger BEST geschaffen.",01.04.2016,31.12.2016,"37180,69","50,00 %",225 - West- und Südsteiermark (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BABHA_00008,Caritas der Diözese Graz-Seckau,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger Caritas geschaffen.",01.04.2016,31.12.2016,"343284,04","50,00 %",220 - STEIERMARK (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00241,EINSTIEG - Bildung Beratung Qualifizierung GmbH,"Jugendcoaching nonAPS, NEETs","Jugendcoaching: Casemanagement  Beratung
Zielgruppen: Neets , AHS- und BHMS AbgängerInnen 
Standorte:
5020 Salzburg; 5400 Hallein; 5760 Saalfelden; 
5600 St. Johann; 5202 Neumarkt; 
Mobil:  
5580 Tamsweg; 5730 Mittersill; ",01.01.2016,31.12.2016,"948797,87","50,00 %",50101 - Salzburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00223,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),NÖ PS Weinviertel Ost,"Die Produktionsschule bietet Jugendlichen individualisierte Vorbereitungs-, Trainings- und Qualifizierungsangebote mit dem Ziel, der Erlangung einer individuellen Ausbildungsreife, um den nächsten passenden Schritt ins Berufsleben machen zu können.",01.01.2016,31.12.2016,"508732,56","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00192,"""Wiener Berufsbörse"", Verein zur Förderung der beruflichen Integration akut und ehemals suchtkranker Personen, sowie von Personen mit besonderen Bedürfnissen und Schwierigkeiten am Arbeitsmarkt (Abkürzung WBB)",Produktionsschule Jobmania,"Jugendliche, die Schwierigkeiten bei der Integration in den Arbeitsmarkt haben, werden im Rahmen der Produktionsschule Jobmania individuell gefördert. Ziel ist es, den Eintritt in weiterführende Ausbildungen zu schaffen.",01.01.2016,31.12.2016,"662274,47","50,00 %","90901 - Wien,  9. Alsergrund",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00248,CARITAS DER DIÖZESE ST.PÖLTEN,Jugendcoaching Waldviertel,"Massnahmenart: Jugendcoaching
Ort der Leistungserbringung: Waldviertel
Zielgruppen: Jugendliche gemäß Punkt 7. des Konzepts und Umsetzungsregelungen - Jugendcoaching",01.01.2017,31.12.2017,"655989,35","50,00 %",30201 - Sankt Pölten,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00235,ÖSB Consulting GmbH,Jugendcoaching Kärnten AHS/BMHS,"Das Jugendcoaching Kärnten AHS / BMHS berät, stärkt und unterstützt Jugendliche, am Übergang
zwischen Schule und Beruf, um Ausbildungsabbrüche zu verhindern und schulische oder berufliche
Perspektiven zu schaffen.",01.01.2016,31.12.2016,"344288,53","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00163,PRO MENTE: KINDER JUGEND FAMILIE GMBH,Produktionsschule Impuls Klagenfurt,Führen einer Produktionsschule mit individueller Begleitung für Jugendliche und junge Erwachsene in Klagenfurt,01.01.2017,31.12.2017,"706357,29","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABGA_00030,Caritasverband für Vorarlberg,start2work,"Arbeitsclearing, Casemanagement, Spracherwerb, Plan V neu, Karrierecoaching, Arbeits- und Bildungsintegration",01.01.2016,31.12.2017,1594260,"50,00 %",340 - VORARLBERG (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAFFB_00144,"Amt der Tiroler Landesregierung, Abteilung Gesellschaft und Arbeit","Studie ""Working Poor in Tirol""",Die Studie „Working Poor in Tirol“ soll eine Zielgruppen- und Bedarfsanalyse sowie darauf aufbauende und konkretisierende Handlungsempfehlungen beinhalten.,01.06.2016,31.05.2017,79650,"50,00 %",330 - TIROL (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00240,INTEGRATION NIEDERÖSTERREICH - VEREIN ZUR FÖRDERUNG DER STÄRKEN BEHINDERTER JUGENDLICHER,Jugendcoaching Industrieviertel,"Korrektur durch Sozialministeriumservice am 28.12.2015:
Maßnahmenart: Jugendcoaching
Ort der Leistungserbringung: Industrieviertel 
Zielgruppen: ausgrenzungsgefährdete Jugendliche",01.01.2016,31.12.2016,"1220036,71","50,00 %",30401 - Wiener Neustadt (Teil),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00133,HAK/HAS VBS Augarten Wien-2,S-1.4b Übergangsstufe im Bereich des kaufmännischen Schulwesens,Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund und Sekundarbildung.,05.12.2016,31.08.2017,"72617,3","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00012,Hausmasters - Dienstleistungs GmbH,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Dieses Netzwerkprojekt schafft zusätzliche stundenweise Transitarbeitsplätze für Bezieherinnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen in der Fa. Hausmasters Dienstleistungs GmbH.",01.04.2016,31.12.2016,"42188,21","50,00 %",224 - Oststeiermark (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00164,PRO MENTE: KINDER JUGEND FAMILIE GMBH,Produktionsschule Impuls Ost,"Führen einer Produktionsschule mit individueller Begleitung für Jugendliche und junge Erwachsene in Wolfsberg und Völkermarkt
",01.01.2017,31.12.2017,"362563,07","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00228,"""Antlas"" Ges.m.b.H.",Produktionsschule-Zentralraum,"Angebot für Jugendliche, die nach Beendigung der Schullaufbahn mehr Zeit und Unterstützung benötigen, um sich am Arbeitsmarkt zurecht zu finden.",01.01.2016,31.12.2016,"452777,12","50,00 %",31909 - Hofstetten-Grünau,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00121,HAK/HAS Schulen des BFI Wien-5,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ","Das Projekt umfasst zwei verpflichtende Teile:

1. Lernstandserhebung der Unterrichssprache Deutsch mittels eines Diagnoseverfahrens.

2. Ganzjährig durchgeführte 2-stündige Unverbindlichen Übung ""Unterrichtssprache Deutsch (USD)""",05.09.2016,31.08.2017,"84815,28","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00150,Lebenshilfe Ennstal,Produktionsschule,Nachreifungsprojekt für Jugendliche zur Erlangung der individuellen Ausbildungsreife. ,01.01.2016,31.12.2016,"197131,22","50,00 %",61259 - Liezen,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAFEA_00052,BFI Salzburg BildungsGmbH,Anerkennung non-formal erworbener Kompetenzen mit Lehrabschluss,„Du kannst was 2.0“ ermöglicht Erwerbstätigen ab 22 Jahren mit Berufspraxis den Lehrabschluss zur Verbesserung ihrer Erwerbssituation. In der Praxis erworbene Kompetenzen werden anerkannt und das fehlende Wissen durch Weiterbildung ergänzt.,01.09.2016,31.08.2022,"499596,98","50,00 %",320 - SALZBURG (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00098,BHAK/BHAS St. Johann/Pg.,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Einführung der verbindlichen Übung KOEL, in der eine gezielte Lernbegleitung, Lernberatung und Unterstützung bei Defiziten in allen Unterrichtsgegenständen angeboten wird.",12.09.2016,31.08.2017,38500,"50,00 %",322 - Pinzgau-Pongau (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00168,Jugend am Werk Begleitung von Menschen mit Behinderung GmbH,Produktionsschule STAR,Die Produktionsschule STAR („Schule trifft Arbeitswelt“) schließt direkt an das Jugendcoaching an und unterstützt beim Übergang zwischen Schule und einer weiterführenden Ausbildung. Ziel ist der Eintritt in weiterführende Ausbildungen.,01.01.2017,31.12.2017,"791398,85","50,00 %","91601 - Wien, 16. Ottakring",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00173,ÖSB Consulting GmbH,Jugendcoaching Kärnten AHS/BMHS,"Das Jugendcoaching Kärnten AHS/BMHS berät, stärkt und unterstützt Jugendliche am Übergang zwischen Schule und Beruf, um Ausbildungsabbrüche zu verhindern und schulische oder berufliche Perspektiven zu schaffen.",01.01.2017,31.12.2017,"448029,74","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00077,Bundeshandelsakademie und Bundeshandelsschule Wiener Neustadt,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ",Förderung der Fähigkeiten und Fertigkeiten der Schülerinnen und Schüler im Bereich der deutschen Grammatik und Rechtschreibung sowie der freien Rede in der deutschen Unterrichtssprache,05.09.2016,31.08.2017,30800,"50,00 %",122 - Niederösterreich-Süd (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00214,Caritas der Erzdiözese Wien (Caritasverband) gemeinnützige Gesellschaft mit beschränkter Haftung,Jugendcoaching Weinviertel,"Die Caritas Wien wird im Zeitraum 01.01.2016 – 31.12.2020 in gewohnter Qualität, flächendeckend in der Region Weinviertel, Jugendliche ab dem 9. Schulbesuchsjahr im Rahmen des Jugendcoachings beim Übergang Schule - Arbeitswelt unterstützen.",01.01.2016,31.12.2016,"773859,97","50,00 %","91601 - Wien, 16. Ottakring",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00067,"WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser, Kurzbezeichnung WUK Werkstätten- und Kulturhaus",Teilprojekt Training WUK,"Die Projektinhalte des Jugendcolleges sind ein Deutschkursangebot, Basisbildung und Spezialmodule sowie eine  Bildungs- und Berufsberatung. Gender und Diversity sind ebenso wie Inklusionspädagogik eine Querschnittsmaterie in allen Bereichen. ",27.06.2016,26.06.2017,"735121,02","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BADEA_00028,ibis acam Bildungs GmbH,job.art,"  Schnuppern & Informationsgespräch
  praktisches Arbeiten in den Fachbereichen Upcycling (Zell am See) oder Textil (Bischofshofen)
  begleitende Workshops, Veranstaltungen und Exkursionen
  Case-Management
",01.06.2016,31.05.2019,"399210,61","50,00 %",322 - Pinzgau-Pongau (NUTS),AUSTRIA,"110 - Sozioökonomische Eingliederung marginalisierter Bevölkerungsgruppen, wie etwa der Roma"
2CAEAA_00221,LEBENSHILFE TIROL GEMEINNUETZIGE GES.M.B.H.  ,Produktionsschule Osttirol,"Die Produktionsschule Osttirol unterstützt Jugendliche bis maximal 24 Jahre am Übergang von der Schule in den Beruf. Ziel der Maßnahme ist, die Jugendlichen für die jeweils individuell höchst mögliche Ausbildung vorzubereiten.",01.01.2016,31.12.2016,"162692,71","50,00 %",70101 - Innsbruck,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00114,HAK/HAS Schulen des BFI Wien-5,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durchführung der Unverbindlichen Übung ""Kompentenzorientiertes eigenverantwortliches Lernen (KOEL).",05.09.2016,31.08.2017,115500,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00155,dafür gem. GmbH,Jugendcoaching 2016,"Flächendeckende Beratung, Begleitung und Betreuung vom Ende der Pflichtschule bis zur Integration in ein weiterführendes Ausbildungssystem",01.01.2016,31.12.2016,"1328178,54","50,00 %",80302 - Hohenems,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00191,JUGEND AM WERK STEIERMARK GMBH,Jugendcoaching 2016,"Jugendcoaching für die Bezirke Voitsberg, Deutschlandsberg und Leibnitz. Standort Deutschlandsberg, Zielgruppe sind Jugendliche",01.01.2016,31.12.2016,"460502,37","50,00 %",60101 - Graz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00090,Bundeshandelsakademie und Bundeshandelsschule Spittal a. d. Drau,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs bzw. Förderung des gleichen Zugangs zu einer hochwertigen Erziehung und Sekundarausbildung.,05.09.2016,31.08.2017,96250,"50,00 %",212 - Oberkärnten (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00202,"""Antlas"" Ges.m.b.H.",Produktionsschule-Zentralraum,"Angebot für Jugendliche, die nach Beendigung der Schullaufbahn mehr Zeit und Unterstützung benötigen, um sich am Arbeitsmarkt zurecht zu finden.",01.01.2017,31.12.2017,"453388,56","50,00 %",31909 - Hofstetten-Grünau,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00245,INTEGRATION NIEDERÖSTERREICH - VEREIN ZUR FÖRDERUNG DER STÄRKEN BEHINDERTER JUGENDLICHER,Jugendcoaching Industrieviertel,"Maßnahmenart: Jugendcoaching
Ort der Leistungserbringung: Industrieviertel
Zielgruppe: Jugendliche gemäß Punkt 7. des Konzepts und Umsetzungsregelungen - Jugendcoaching",01.01.2017,31.12.2017,"1271281,57","50,00 %",30401 - Wiener Neustadt (Teil),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
