"Code","Title","Project Cost","Beneficiary","Line Ministry","Start Date","End Date","Non Technical Short Summary Of Project","Operational Programme","Fund","Operational Objective","Priority Axis","Focus Area Of Intervention","Project Objectives","Project Results","Project Purpose"
"ESF 2.72","EPITOME: Empowerment Programme for IT use: outreach for micro entrapreneurship","€323,482","Malta Communications Authority","Ministry for the Economy, Investment and Small Business","2010","2013","The EPITOME project will develop and deliver a training curriculum on ICT as a robust entrapreneurial tool. Besides enhancing the ICT skills , the curriculum will provide participants with a set of entrapreneurial-oriental skills with a view to improve the flexibility and competititvness of the Maltese worker in an increasingly challenging globalised economic environment.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase the participation rate in lifelong learning.","PA2 Investing in employability and adaptability of the workforce","OPIIPA2 Continuous training and education.","The overall objective of the project is to increase the number of adults acquiring sound ICT skills fooundation with a focus on entrapreneurship, thereby making them more employableand stimultation of competitiveness in the face of the economic changes and the increasingly thougher changes of globalisation.","1. By the end of the project, 300 individuals would have been trained professionally in the use of ICT as applied to the business environment and its specific requirements, and they would thus be better equipped to contribute in an economy faced by new business models and the challenges of globalisation. Moreover, the MCA will be in possession of a curriculum that may be updated overtime to reflect economic and technological developments. The direct socio-economic results will be more individuals who are ICT literate, more employable and adaptable, and more entrapreneurial. 2. It is expected that 30% of the applicants representing 50 micro-enterprises obtaining a qualification, will have implemented at least one new ICT-based business practice in their business operations. Being fully aware of the custumary resistance to change of micro-enterprises the implementation of such new practices may take several months to effectively materialise. In this light the MCA is committing itself to achieve this result in two phases, whereby 15% (equivalant to 25 micro-enterprises) will have adopted a new ICT business practice by the completion of the tracer study in December 2012 whilst the remaining 15% will have been achieved by June 2013 in a second tracer study funded directyly by MCA. 3. The MCA is also committing itself to provide training for 10 Gozitan participants in Gozo and that 3 of whom will have also implemented new business practices in their respective micro-enterprise by the completion date of the second phase of the tracer study. After the termination of the of training the participants will be followed up on a two-monthly basis or more frequently as deemed necessary until December 2012 in order to monitor the level of new business practice integration into their business processes. The level of ICT-usage if any, of each applicant/represented enterprise will be determined at the beginning of the course through a simple questioonaire, which will be used to benchmark the progress in terms of new business practices adopted. 4. The MCA commits itself to spend up to 0.5% of the total project budget (Eur1,800) on media productions dedicated to Gozo and on Gozitan Community radios. This campaign will be financed from the TV and radio spots publicity budget. 5. Guided by the experience gained during the implementation of the course and particularly by the conclusions of the tracer study the MCA is additionally committing itself to run two further modified reruns of the course on a cost recovery basis within 5 years following the completion of the Epitome project. These two courses may necessitate a revision in the original version of the curriculum to better suite the realities of the micro-enterprises then as well as to render the course more appealing to future participants - such modifications are difficult to anticipate at such an early stage but may well include a shorter course or course split in different modules.","The specific objecctives to be achieved by implementing the project are: 1. to identify the ICT and entrapreneurial training needs of the Maltese labour force; 2. to develop and deliver a training curriculum to address the skill gaps identified; 3. to create an e-learning portal for course materials, blogs and forums; 4. to support the course with seminars and publicity campaigns."
"ESF 2.85","Linking Industrial Needs and VET to Optimise Human Capital","€647,462","Malta College for Arts, Science and Technology","Ministry for Education and Employment","Q2 2010","Q1 2015","This project will address the current and anticipated educational needs of ten industrial sectors and identify the potential skill gaps and shortages of the present workforce. These lacunae will be addressed through the implementation of specific training, aimed at ensuring the availability of a flexible workforce capable of responding to new occupational needs, key competencies and future skills requirements.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To support the adaptability of undertakings [entities involved in economic activity, irrespective of legal form] through skills improvements and upgrading of workers.","PA2 Investing in employability and adaptability of the workforce","OPIIPA2 Continuous training and education.","The overall objective is to increase the number of persons trained with the aim of addressing emerging trends and developing in the labour market. This project will address Government's policy of targeting investment by providing appropriate and flexible skills to enable human resources to shift from declining to expanding and new sectors by improving the adaptability potential hence ensuring better employability.","1. Research conducted in ten sector groups, through a report generated for each sector will seek to identify skills, competences and qualifications that will be used as the basics to design tailor-made courses for each industrial sector; 2. Re-skilling of 20% of participants to enable them to take up new tasks in the same or different industry sector; 3. Up-skilling of 80% of participants to enable them to take up new tasks or perform better the same tasks within the eventual within the relevant industry; 4. Identify and address emerging trends and developing in the labour market by providing approximately 3,600 hours of training across 10 sectors.","1. To create a new component, Software, for the purchase of a software to conduct online surveys; 2. To record an increase in cost for Analyst."
"ESF 3.102","Inclusion for Employment","€8,220,680","Malta College for Arts, Science and Technology","Ministry for Education and Employment","2011","2015","MCAST shall review the curricula of its Pathway and Level 1-3 programmes to facilitate the progression of vulnerable students to higher level vocational programme and ultimately employment. This involves the review and design of syllabi with the required support, teaching material with relevant pedagogical skills, course accreditation and staff training.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The overall objective of this project is that of enhancing the employability of vulnerable groups.","The overall project results are:","1) Revised curricula and syllabi for vulnerable groups in view of their future employability;"
"ESF 3.105","Promoting the Social Inclusion of Disabled Persons with Challenging Behaviour","€377,927","Kummissjoni Nazzjonali Persuni bâ DiÅ¼abilitaâ","Ministry for the Family and Social Solidarity","2011","2015","The project provides training for staff working with disabled persons who have challenging behaviour and for family members. After the end of the training, the staff can train other staff within their respective organisations. The project includes a detailed study of the quality of life of disabled persons with challenging behaviour.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Innovative activities.","To train staff to support disabled persons with challenging behaviour and family members through individualised long-term plans and inclusion in mainstream services.","1. A 50% increase of professional staff members receiving training, awarded certification at level 6, in dealing with disabled persons with challenging behaviour .;",""
"ESF 3.113","Support and Sheltered Employment Training for Disadvantaged Groups including RDPs ","€1,497,074","Employment and Training Corporation","Ministry for Education and Employment","2011","2015","The Supported and Sheltered Employment Training for Persons with Disability Project will have a number of separate activities, whose objectives is to achieve a more inclusive labour market. It will promote an inclusive labour market by encouraging employers through specific services like learning support assistance during training, job coaching services and personal assistance allowance, in the recruitment and in the retention of employment of persons with disability. It will incentivise employers form the Voluntary sector to recruit persons form disadvantaged categories including persons with disability, as well as offering hands-on training opportunities in a supported or sheltered employment training environment for persons with disability with the aim of giving them employability skills.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","This project aims to promote an inclusive labour market by encouraging employers through specific support services in the recruitment and in the retention of employment of Persons with Disabilities","1. Increase disabled persons trained after being offered assistance ","1. The ESPD project focuses on The referred disadvantages groups by assisting them in finding and retaining employment "
"ESF 3.231","Youth Guarantee","€3,134,432","Active Labour Market Policy Counselling and Monitoring Committee","Ministry of Education and Employment","Q4 2013","Q2 2015","The Youth Guarantee offers an opportunity to those who are not in employment, education or training to either access the labour market or education. The Youth Guarantee targets young people of less than 25 years and supports them with training, job exposure and personalised assistance.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The Youth Guarantee will provide training, counselling and job exposure to NEETs thus endowing them with the necessary skills and competences to either access educational/training paths or enter/re-enter the labour market.","Provided that the same conditions would exist at the end of the project, the following results will be achieved: ","â¢ Equip NEETs with new and better skills and improve participation to lifelong learning. "
"ESF 3.42","An Independent Living Training Service for Disabled People in Malta","€398,794","Kummissjoni Nazzjonali ghal Persuni b'Dizabilita' (KNPD)","Ministry for the Family and Social Solidarity","2008","2011","This project will provide trainers working with disabled people with a training package that helps them prepare disabled people for increase independence. The training will include participation in courses aboard and visits by foreign experts to Malta. This training will be mainly (but not exclusively) addressed to occupational therapists and physiotherapists.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","To promote the participation of disabled people, especially those with mobility impairment, in the labour market and in community life by equipping trainers with the appropriate knowledge and skills. In turn, these trainers will be able to carry out specialised needs assessment trailing of assistive equipment and referrals to ETC for vocational training and employment opportunities for disabled persons.","Training of 4 driving instructors who will provide the training in adaptive driving/transport to disabled persons/carers. ","Trainers working with disabled people seeking to improve their knowledge and skills will be the target beneficiaries of this project. They will benefit from an increased level of expertise in assessing and training disabled people towards independence. They will also be able to fill in a gap in current service provision whereby disabled persons who need assistive equipment to increase their independence cannot obtain the necessary assessment and training in Malta."
"ESF 3.43","Dignity for Domestic Violence Survivors","€421,832","Commission on Domestic Violence","Ministry for the Family and Social Solidarity","2008","2012","This project aims to invest in the social structure pertaining to domestic violence through the training and sensitising of various professionals who come into contact with people experiencing or escaping domestic violence. The project will also seek to raise general public awareness on the matter with the aim to positively impact on the employability of the project's vulnerable target group.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The project seeks to ensure that domestic violence services are delivered in an effective and co-ordinated manner, thus effectively preventing social exclusion and encouraging labour market participation.","Professionals (circa 60) who come in contact with victims of domestic violence (including police, lawyers, the judiciary, social workers, doctors, nurses, psychologists, priests, politicians) will be sensitised about the need to address domestic violence effectively, about the importance of their role in this process, about the way this impacts the general economic and social well-being of the country, and about their ethical and professional duties in this regard. Professionals (9) who in direct contact with victims of domestic violence (particularly social workers within the shelters) will learn innovative ways of ensuring their social inclusion, including through labour market participation, through study visits. Service providers of domestic violence will be co-ordinated through a co-ordination plan which will ensure administrative and public efficiency. This will ensure that all the relevant service providers including, inter alia, social workers, job advisors, lawyers, psychologists, etc., work together in a coordinated manner, thus ensuring that the client receives an effective holistic service which will ultimately contribute to their re-inclusion in society and in the labour market. The general public (minimum 1,000) will become sensitised towards the need to create an enabling environment regarding the issue of domestic violence and how this can be addressed; information regarding the services available will be provided, thus ensuring social inclusion through, inter alia, labour market integration. The prevalence study will enable us to have a clear situation of the extent of the problem of domestic violence and its link to women's employment status. 15 victims/survivors will receive specialised training on the benefits and importance of employment and independent living, including on how to prepare a CV, attend an interview and other preparatory skills that will improve their chance of seeking employment. During the last twelve months of the project, as a result of the awareness campaign, it is expected that: 1. The number of hits on the website of the Commission will increase by 50%; 2. The number of referrals of domestic violence cases to Appogg or to shelters, will increase by 10%; 3. The number of phone calls related to domestic violence cases to helpline will increase by 10%; 4. 25 victims/survivors will be referred by social workers to the Employment and Training Corporation; 5. 2-4 workplace who do not already have a workplace policy statement on domestic violence, in place, will launch a domestic violence workplace policy statement of their own; 6. 2 other workplaces will offer a domestic violence workplace help and support unit within their HR department.","1. To scientifically quantify the incidence of domestic violence in Malta, and the link between the disadvantage and employment; 2. To ensure that target groups are aware of the services available to them in order to be able to seek the relevant help, which will also enhance their employability; 3. To assess the adequacy and efficiency of the available services, so as to increase the service user's prospects of overcoming this problem and becoming independent through economic self-sufficiency; 4. To ensure administrative efficiency by co-ordinating the services available; 5. To introduce innovative methodologies to achieve the above."
"ESF 3.47","Unlocking the Female Potential","€636,204","National Commission for the Promotion of Equality","Ministry for Social Dialogue, Consumer Affairs and Civil Liberties","2008","2013","Research will focus on learning and understanding what hinders women to get involved in training and employment. The key pillars of this project are aimed at incentivising and ensuring equal access to employment by sensitizing employers and encouraging them to acquire an âEquality markâ.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase the female participation rate.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Female participation in the labour market.","To increase the overall female employment rate by providing indirect incentives for work. As outlined in national policy documents and the EU Lisbon objectives this is necessary for the economic competitiveness of the state and sustainability for a sustainable welfare state. In addition, the project aims to provide policy makers with vital information through the research.","The Equality Mark Campaign shall be reaching out to businesses to certify themselves with the set of standards. This type of campaign is new to the local industry and it will be implemented during the time of economic crisis hence the following target is being envisaged: As a result of the Equality Mark Campaign, NCPE is envisaging that there will be 25 Certified Equality Mark Organisations as a result of this Project. Increase in Female Employment - the Project is intended to have an increase in female employment rate of 0.03%. This result is aimed to be achieved by assessing and distinguishing organisations already practicing Family Friendly measures and certifying them as True Equal Opportunities Employers. Consequently allowing such employers to use the developed Equality Mark Logo, which is the symbol used to demonstrate such certification.","The specific objectives aim towards the direct benefit of the respective target groups: 1. To understand the jobs/skills match for the inactive population, in order to ensure employability; 2. To create a need for businesses to become 'certified equal opportunities employers', to have a family-friendly environment at the workplace; 3. To incentivise the inactive to the labour market through better work arrangements available; 4. To further promote the need for a work/life balance both for men and women."
"ESF 3.48","Lifelong Learning for Enhanced Employability for Parents","€79,254","Foundation for Educational Services","Ministry for Education and Employment","2009","2012","The LLEEP Project aims to upskill parents, especially and primarily mothers-as-homemakers of young children to take on leadership and service roles in facilitating such up skilling and educational involvement in other parents. This leads to increased uptake in parental lifelong learning pathways which, together with concrete employment opportunities in the project, enhance employability for women from disadvantaged groups.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase the female participation rate.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Female participation in the labour market.","Developing opportunities for parents, especially mothers inactive in the labour market, to enable them to: become paents' trainers; take up leadership roles in the school/community; view themselves as lifelong learners. This will lead to the creation of part-time job opportunities that would enable parents to become active citizens whilst also contributing to the family income.","A. Training: 1 parent trainers' course; 10 parent leaders' courses, one per College; 2 lifelong learning portfolio facilitators' courses; 4 child minders' courses. B. Trained Persons: A minimum of - 10 trained parent trainers; 80 trained parent leaders; 40 trained childminders; 20 learning  portfolio facilitators; 600 parents conclude lifelong portfolio. C. Lifelong Learning: A minimum of: 15 parents use lifelong learning portfolio for access to further lifelong learning and/or employment. D. Employment (with respect to project related work but will not be paid from the project) A minimum of: 8 p/t trained parent trainers; 70 p/t trained parent leaders; 30 p/t trained child minders; 20 p/t learning portfolio facilitators. E. Further Employment: A minimum of: 5 parent trainers offered further employment outside the project lifetime; 20 parent leaders offered further employment outside the project lifetime; 20 child minders offered further employment outside the project lifetime; 10 learning portfolio facilitators offered further employment outside the project lifetime. In all cases, trained implies attendance of at least 80% of sessions and fulfilment of all out requirements such as assignments, practicals, etc.","This project will contribute to the creation and enhancement of opportunities for women's advancement especially in the vulnerable communities. It will increase skills-based training opportunities for women and attract women returnees to the labour market. Women's potential shall be developed through empowerment and training opportunities available through their role within the school and local community, which builds on the parents' own lifelong learning pathways. Although both parents should be involved in their children's education, it is overwhelmingly true that women have the main - sometimes the sole - responsibility in home-school links, particularly in vulnerable communities."
"ESF 3.52","Care Creates Change in People's Lives and the Environment","€575,084","WasteServ Malta Ltd","Ministry for Sustainable Development, the Environment and Climate Change","2008","2012","The project ""Care Creates Change"" departs from a zero waste concept and seeks to create employment opportunities in the area of creation of products from waste. In view of this, Wasteserv will train  victims of domestic violence, young school drop outs, asylum seekers, ex convicts and substance abusers in order to link them to employability in the resource (waste) sector.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The overall objective of this project is to contribute towards a higher labour market participation rate; achieve lower dependence on the welfare system; and adhere to the national employment priorities. This will be done by tapping into the employment opportunities found in the resource (waste) management sector for the project's target groups.","1. Comprehensive training for 100 trainees coming from five target groups as follows: victims of domestic violence, school drop outs, asylum seekers, ex convicts and substance abusers. These trainees are expected to be fully prepared  to integrate in the labour market at the end of the project. The aim is to have 30% of these trainees with secured work placement by the end of the project.","The main objective of this project is to contribute towards a higher labour market participation rate; achieve lower dependence on the welfare system; and adhere to the national employment priorities. This will be done by tapping into the employment opportunities founds in the resource (waste) management sector for the project's target groups."
"ESF 3.54","REACH: Opportunities Close to Home","€171,243","Kirkop Local Council","Ministry for Justice, Culture and Local Government (MJCL)","2008","2012","Vulnerable persons and inactive woman within the community will be trained to take up new opportunities in the ICT sector. The courses that this project aims to offer wil certify each participant with internationally recognised standards in ICT (ECDL) and Business Competence (CITY&GUILDS diploma in Secretarial and Business Administration) and therefore will have a positive impact on the employability of the persons addressed.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase the female participation rate.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Female participation in the labour market.","The overall objective of the project is to provide the target groups with ICT skills necessary to access the increasingly knowledge-based labour market, or be able to progress within it, thus increasing their quality of life.","By the end of the project, a number of persons who would until now be identified as forming part of a vulnerable group (60% of the total participants, including vulnerable women, parents, long term unemployed, persons receiving benefits) will gain certified ICT skills which will enable them to achieve any of the following results:","The purpose of the project is to provide the target groups with the following benefits:"
"ESF 3.56","Specialised Research on OHS and Development of OHS Accreditation System","€413,574","Occupational Health and Safety Authority (OHSA)","Ministry for Energy and Health (MEH)","Quarter 4 2008","Quarter 4 2011","This project involves a specialised research to determine the prevailing levels of OHS in Malta namely; sectoral OHS, occupational risks and the cost of poor OHS to the nation. The results will also assist in identifying future national OHS strategies and policies. An OHS accreditation system will be developed to support employers when designating third party OHS practitioners.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Addressing labour market distortions and ensuring that work pays.","The overall objective of this project is to improve the level of OHS in Malta through (1) research into the prevailing level of OHS to assist policy makers so as to allow more targeted interventions and (2) to ensure that OHS practitioners who tender their advice to employers are accredited and hence competent.","The research project will: (i) deliver OHS statistics on (a) occupational injuries, (b) physical ill-health and (c ) occupational guidance psychological ill-health, while determining the root causes of such injuries and ill-health at a macro level; (ii) generate data regarding level of access of workers to internal and external OHS services; (iii) cost calculate the prevailing risk levels of OHS to the nation and, (iv) draw up an OHS accreditation system to endorse third party OHS practitioners who offer services to employers.","The project aims to improve the overall levels of OHS in Malta and it is anticipated that the following target groups will benefit as follows: "
"ESF 3.60","Youth Employment Programme","€749,087","Employment Training Programme","Ministry for Education and Employment","2008","2013","The Youth Employment Programme is intended to increase the employability and labour market integration of young people, particularly early school-leavers, who would benefit from further training as well as greater knowledge of their rights and responsibilities at work.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The project is intended to increase the employability and labour market integration of youth by giving them the skills needed to overcome the barriers to enter, retain and progress within work. It is also intended to assist young people in work, to enhance their career prospects and to increase their awareness of their rights and responsibilities at work.","By the end of the project, the Employment Training Corporation (ETC) envisages thousands of young people to have come in contact and benefitted from the services offered. In total, it is expected to assist around 4860 young people. ETC will operate an open-door policy, whereby every young person feeling the need for guidance, counselling and training, will come to ask and benefit from such services. In addition, through this project it is expected that 23% of vulnerable people who attend the services provided under the project transfer to employment or further study 6 months after receiving assistance. Therefore this outreach should result in an increase in young persons being involved in lifelong learning and as well as an increase in employment of persons falling with the disadvantaged group.","The target group will benefit through this project in the following ways: 1. Clarification of career choices and pathways to achieve them; 2. Improved skills in areas related to their career choice; 3. Improved skills in areas related to their career choice; 4. Improved skills in seeking and applying for work; 5. Greater awareness of one's rights and obligations as a jobseeker and prospective employee; 6. Increased contact with employers, bettering their chances of finding work."
"ESF 3.61","E4L - Embark for Life - labour market integration of socially excluded youths","€576,827","Foundation for Social Welfare Services","Ministry for the Family and Social Solidarity","2008","2013","This project provided individualised intervention and skills-based work-groups to institutionalised youth, homeless youth or those inappropriate housing. The project will help these youth develop the necessary skills for their labour market integration, maintain suitable/stable employment, and minimise social exclusion by profiling beneficiaries; supporting them in setting into adequate living arrangements; accompany them to seek employment and their follow-up","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The project's overall objective is to support youth at risk of social exclusion in getting onto mainstream education and/or employment, thus helping them develop their social independence and starting their adult life.","The quantitative results reflect a wide range of youth coming from institutional settings (be it children's homes, mental health institutions, correctional facilities or rehabilitation residential programmes) as well as youth who are homeless due to various situations or who are inappropriate housing arrangement. Usually this results in their dependency on social benefits, and thus this project needs to target them also and provide them with the necessary help and channelling them to productive employment. A total of 140 young people will benefit directly from this project with the main aim of integrating them into mainstream labour market. Thus it can be said that youth with setting problems at large are targeted.  104 young people will participate committed in the service delivery and will receive assistance, 52 of which succeed in finding and keeping suitable employment. Other 36 youth who come from institutional care shall benefit from this project by the end of it. 18 males and 18 females will have received support and benefited of shelter and other services, out of which the project aims at 50% success in  placing full employment/furthering their studies  and independent living. The professional working with these clients throughout the project will reached a certain level of expertise, which will remain at the service of the same client cohort once the project comes to an end, even if with minimal in-house resources.",""
"ESF 3.62","ME2 - Integration of Persons with a Disability in the Labour Market","€1,173,010","Foundation for Social Welfare Services - Agenzija Sapport","Ministry for the Family and Social Solidarity (MFSS)","2008","2015","The project comprises various components with the aim to support disabled persons to enter the labour market, including train the trainers; training disabled persons and promoting their integration into the labour market and retention of jobs, supported and sheltered work exposure opportunities and support services to disabled persons and their primary caregivers, also for the latter to engage in education and employment.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","In line with the Government's strategy of focusing on assistance and investment aimed at an increasing employability potential of disabled persons, as referred to in the pre-budget document 2008, the project will train, expose to work, and place as many disabled persons in employment and coach them towards successful job retention. The project also includes sheltered employment opportunities for the severely disabled.","Project participants will be assessed to seek suitable and adaptable employment through the help of contracted service providers. In respect of job placements and work experiences, the ETC - being partners in this project - will ensure that all those who can benefit from the local schemes shall be facilitated accordingly. A total of 60 persons with a disability (40 females and 20 males) will have received training and evaluation of their skills and competences by the end of the project. This amount reflects the current gender distribution in the Day Centres for persons with disability. Out of these 60, 30 disabled persons will be placed in and supported to retain their employment. The 60 disabled persons receiving training will be those attending the day centres. A care plan for them will be prepared individually, according to their needs, by the professional staff contracted by the project. The other 130 persons reached by the community will be having different assistance since their needs are different and can thus will be reached and assisted in their own homes. No overlap between these two groups is envisaged by the Project Leader. A total of 130 disabled persons will be offered help in their own homes by the community workers contracted by the project. Out of these 130, 64 disabled persons will be placed in open/sheltered employment and/or assisted to integrate socially within the community. Another group of 40 severely disabled participants will be assisted through the sheltered employment pilot project, which aims at giving severely disabled, especially the intellectually disabled, a chance of contributing in employment. However, due to their disabilities, this will have to be done in a sheltered environment.","Disabled people are at a disadvantage on the open labour market compared to other people. Thus this project targets a particular group of disabled persons, assess their needs, strengths and abilities, evaluate and validate their skills and competences, and eventually place as many as possible in employment, thus promoting their independence, while at the same time helping them to contribute with their skills to the dynamic needs of the labour market. All this will be attained through the individual job coaching whose role shall be one of mentoring and supporting a project participants in gaining and keeping full employment."
"ESF 3.64","Employment Aid Programme","€14,108,916","Employment and Training Corporation","Ministry for Education and Employment","2009","2015","The Employment Aid Programme contributes towards the integration of disadvantaged persons and disabled persons in the labour market. It facilitates access to employment through financial assistance and upgrades the skills of those furthest away from the labour market through work experience. Employers will receive a grant equivalent to 50% of the wage costs in case of disadvantaged persons or 75% for the first and 60% for the subsequent second and third year (excluding NI) in the case of persons with disability, for a definite time period, depending on the target group.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","The Employment Aid Programme aims to promote inclusive labour market by encouraging employers to recruit disadvantaged persons and persons with disability.","Around 1,350 jobseekers will be employed through the assistance of the Aid Scheme, this will contribute to economic growth, whilst also reduce the number of registered unemployed and leave savings from social assistance benefits paid.","The Employment Aid Programme aims to: increase job opportunities for disadvantaged groups and disabled persons in the labour market; upgrade their skills   through work experience and therefore enhance their employment prospects; enhance the financial independence of disadvantaged persons and prevent social exclusion and marginalisation"
"ESF 3.66","Ic-Cavetta - Maltese literacy toolkit for employment and education inclusion","€103,209","Paulo Freire Institute","n/a","2009","2012","Ic-Cavetta project will develop a teaching tool kit for Maltese literacy skills and the delivery of training through this tool kit to educators and thereafter to adults with low levels of literacy and employment challenges. To support these adults, the project also involves the promotion of work values and the provision of computer orientations skills for this target group.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Promoting an inclusive society.","To increase Maltese literacy skills, computer orientation skills and work values among disadvantaged persons aged 16 to 60.","a. 13 to 20 trained teachers, educator and facilitators aware about literacy challenges in adults, equipped and informed on how to use the tool kit and involved in evaluating the tool kit.","The key purpose of the project is to enhance the employability of vulnerable groups with low employment rates and low levels of literacy to contribute to increasing the overall labour supply within the economy and greater social cohesion in Malta. It addresses educational weaknesses, which create challenges to access the labour market by disadvantaged groups and to improve facilitation in accessing education and lifelong learning which would eventually feed into improved prospects of finding employment. The project's purpose is also to ensure that adult training in provided by adequately trained and equipped personnel, especially personnel working with vulnerable groups."
"ESF 3.71","Impact Assessment on Mental Health Development for Employment Policy Development","€67,014","Richmond Foundation","","Q1 2009","Q2 2011","This project involves the carrying out of a study to identify the main obstacles and labour market distortions which need to be addressed to develop, improve or change policies and systems that contribute towards the access, integration, retention and progression in particular of disadvantaged groups, especially persons experiencing mental health difficulties","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To contribute towards the integration, retention and progression of disadvantaged groups in the labour market, whilst addressing labour market distortions.","PA3 Promoting and equal and inclusive labour market","OPIIPA3 Addressing labour market distortions and ensuring that work pays.","The overall objective of the project is to identify the main barriers of the persons who experience mental health difficulties in accessing, retaining or maintaining their employment.","The research will inform policy makers and other stakeholders such as employers about the main barrier in the labour market for persons who have mental ill health or are at risk of experiencing mental healthy difficulties. Training and written material will be provided to stakeholders to facilitate understanding of research results, recommendations and their implementation.",""
"ESF 4.152","Capacity Building for MCST","€250,763","Malta Council for Science and Technology","Ministry for Education and Employment","2011","2015","The project aims at improving current skills and developing new competencies as well as increasing the knowledge base and level of expertise of MCST staff. The","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To strengthen the efficiency and effectiveness of the public sector.","PA4 Strengthening of institutional and administrative capacity","OPIIPA4 Lifelong learning for the Public Sector","The project's overall objective is to develop MCST's competencies in order to enable the SPU to manage and operate the ICT as well as to implement projects in a more effective and efficient manner.","Results for project management training:","The SPU will be responsible for the NISC once it is opened..  The NISC will house a permanent exhibition of over 200 hands-on interactive exhibits, science shows & workshops & a planetarium.  No such centre has ever existed in Malta."
"ESF 4.159","Developing Quality Management in the Public Administration through CAF","€233,802","Management Efficiency Unit","Office of the Prime Minister","2011","2015","The project aims at developing the skills and competencies of public officers in the application of the Common Assessment Framework and central competencies within the MEU to lead CAF implementation in the Public Administration.  This will be achieved primarily through training and networking with experienced CAF users and experts.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To strengthen the efficiency and effectiveness of the public sector.","PA4 Strengthening of institutional and administrative capacity","OPIIPA4 Supporting Public Sector Reform","To strengthen the administrative capacity of the public administration to implement the Common Assessment Framework as a quality management system.","The key results of the project are:","o To develop the skills and competencies in the Public Sector through training and other initiatives for increased adoption of the CAF."
